date,description,amount,balance
2023-01-02 19:12:51,Fitr - Payment,$-181.10,"$9,872.99"
2023-01-03 09:27:40,Fitr - Payment,$-59.74,"$9,813.25"
2023-01-04 19:49:34,Fitr - Payment,$-194.75,"$9,618.50"
2023-01-08 13:25:57,Fitr - Payment,$-71.88,"$9,546.62"
2023-01-09 17:34:08,Fitr - Payment,$-70.93,"$9,475.69"
2023-01-10 18:47:49,youGrocery - Payment,$-129.50,"$9,346.19"
2023-01-19 21:38:57,Healthn - Payment,$-171.57,"$9,174.62"
2023-01-20 18:56:59,Fitr - Payment,$-144.20,"$9,030.42"
2023-01-21 08:53:53,Healthn - Payment,$-77.71,"$8,952.71"
2023-01-21 20:39:13,Fitr - Payment,$-23.00,"$8,929.71"
2023-01-22 18:15:28,StrongLink - Payment,$-185.55,"$8,744.16"
2023-01-23 12:17:30,Fitr - Payment,$-91.85,"$8,652.31"
2023-01-24 13:02:54,Healthn - Payment,$-39.30,"$8,613.01"
2023-01-25 09:29:44,AffordableHub - Payment,$-186.21,"$8,426.80"
2023-01-26 10:12:39,Healthn - Payment,$-130.85,"$8,295.95"
2023-01-26 20:19:28,Fitr - Payment,$-102.34,"$8,193.61"
2023-01-28 15:56:57,Fitr - Payment,$-45.90,"$8,147.71"
2023-01-31 16:03:15,Fitr - Payment,$-86.38,"$8,061.33"
2023-02-01 16:50:09,Fitr - Payment,$-109.21,"$7,952.12"
2023-02-02 20:09:02,Fitr - Payment,$-186.55,"$7,765.57"
2023-02-03 14:35:46,Healthn - Payment,$-93.44,"$7,672.13"
2023-02-05 20:07:48,Fitr - Payment,$-70.59,"$7,601.54"
2023-02-06 19:28:49,Healthn - Payment,$-91.77,"$7,509.77"
2023-02-08 09:11:57,Healthn - Payment,$-155.87,"$7,353.90"
2023-02-10 16:16:15,Healthn - Payment,$-186.56,"$7,167.34"
2023-02-12 19:43:40,Fitr - Payment,$-128.74,"$7,038.60"
2023-02-13 16:58:32,Fitr - Payment,$-156.61,"$6,881.99"
2023-02-17 08:52:36,Healthn - Payment,$-144.83,"$6,737.16"
2023-02-19 10:10:53,Fitr - Payment,$-159.68,"$6,577.48"
2023-02-20 20:09:39,Fitr - Payment,$-41.52,"$6,535.96"
2023-02-26 20:12:36,Fitr - Payment,$-174.80,"$6,361.16"
2023-03-01 21:27:13,Flexin - Payment,$-158.32,"$6,202.84"
2023-03-07 15:18:34,Fitr - Payment,$-32.57,"$6,170.27"
2023-03-08 15:49:11,Flexin - Payment,$-155.95,"$6,014.32"
2023-03-11 18:31:31,Fitr - Payment,$-189.38,"$5,824.94"
2023-03-12 19:18:41,Healthn - Payment,$-160.87,"$5,664.07"
2023-03-14 12:55:43,Fitr - Payment,$-85.10,"$5,578.97"
2023-03-15 15:21:35,Fitr - Payment,$-88.99,"$5,489.98"
2023-03-16 14:48:35,Healthn - Payment,$-163.38,"$5,326.60"
2023-03-18 20:05:08,Fitr - Payment,$-40.34,"$5,286.26"
2023-03-19 09:59:55,StrongLink - Payment,$-175.16,"$5,111.10"
2023-03-20 18:19:01,Fitr - Payment,$-144.48,"$4,795.91"
2023-03-20 18:40:14,Healthn - Payment,$-170.71,"$4,940.39"
2023-03-22 17:00:47,StrongLink - Payment,$-54.17,"$4,741.74"
2023-03-24 15:18:02,Foodr - Payment,$-43.45,"$4,698.29"
2023-03-27 18:48:08,Healthn - Payment,$-107.58,"$4,590.71"
2023-03-29 08:32:21,Fitr - Payment,$-158.20,"$4,432.51"
2023-04-04 21:50:10,Flexin - Payment,$-143.91,"$4,288.60"
2023-04-06 16:32:50,Fitr - Payment,$-75.84,"$4,212.76"
2023-04-08 10:32:34,Fitr - Payment,$-178.65,"$4,034.11"
2023-04-09 14:36:11,Fitr - Payment,$-132.20,"$3,901.91"
2023-04-11 19:34:54,Healthn - Payment,$-145.30,"$3,756.61"
2023-04-11 20:35:57,Fitr - Payment,$-31.38,"$3,725.23"
2023-04-14 21:13:46,Fitr - Payment,$-178.50,"$3,546.73"
2023-04-15 08:20:01,Healthn - Payment,$-52.26,"$3,494.47"
2023-04-18 13:13:18,Fitr - Payment,$-69.53,"$3,424.94"
2023-04-19 08:19:56,Healthn - Payment,$-121.87,"$3,303.07"
2023-04-23 12:05:56,Fitr - Payment,$-183.86,"$3,119.21"
2023-04-26 20:02:43,Fitr - Payment,$-192.75,"$2,926.46"
