date,to,from_,size,type_
2023-01-01 08:57:05,(191) 113-1480,(228) 995-2872,79 minutes,Inbound Call
2023-01-01 10:45:08,(191) 113-1480,(228) 995-2872,81 minutes,Outbound Call
2023-01-01 12:12:17,(709) 730-8579,(228) 995-2872,200 characters,Sent Text
2023-01-01 14:34:14,(709) 730-8579,(228) 995-2872,277 characters,Received Text
2023-01-01 16:33:36,(709) 730-8579,(228) 995-2872,34 minutes,Outbound Call
2023-01-01 20:27:40,(191) 113-1480,(228) 995-2872,316 characters,Sent Text
2023-01-02 09:30:29,(709) 730-8579,(228) 995-2872,327 characters,Received Text
2023-01-02 13:58:22,(709) 730-8579,(228) 995-2872,22 characters,Sent Text
2023-01-02 15:15:34,(191) 113-1480,(228) 995-2872,129 characters,Sent Text
2023-01-04 10:17:41,(709) 730-8579,(228) 995-2872,288 characters,Received Text
2023-01-04 13:03:01,(191) 113-1480,(228) 995-2872,164 characters,Sent Text
2023-01-04 13:40:54,(191) 113-1480,(228) 995-2872,12.5 MB,Received Media
2023-01-05 19:10:31,(709) 730-8579,(228) 995-2872,212 characters,Received Text
2023-01-05 19:27:53,(191) 113-1480,(228) 995-2872,71 minutes,Outbound Call
2023-01-05 19:39:53,(191) 113-1480,(228) 995-2872,344 characters,Sent Text
2023-01-06 08:50:00,(191) 113-1480,(228) 995-2872,124 characters,Received Text
2023-01-06 13:13:33,(709) 730-8579,(228) 995-2872,28 characters,Sent Text
2023-01-06 20:41:47,(709) 730-8579,(228) 995-2872,99 minutes,Inbound Call
2023-01-08 18:51:15,(709) 730-8579,(228) 995-2872,13.4 MB,Received Media
2023-01-08 20:24:26,(191) 113-1480,(228) 995-2872,319 characters,Received Text
2023-01-08 21:33:15,(191) 113-1480,(228) 995-2872,159 characters,Sent Text
2023-01-09 10:39:49,(191) 113-1480,(228) 995-2872,9.6 MB,Received Media
2023-01-09 14:52:38,(191) 113-1480,(228) 995-2872,183 characters,Sent Text
2023-01-10 16:17:00,(709) 730-8579,(228) 995-2872,44 minutes,Inbound Call
2023-01-11 14:13:17,(709) 730-8579,(228) 995-2872,72 characters,Received Text
2023-01-11 19:53:14,(191) 113-1480,(228) 995-2872,17 characters,Sent Text
2023-01-12 14:13:46,(191) 113-1480,(228) 995-2872,46 characters,Sent Text
2023-01-12 15:22:25,(191) 113-1480,(228) 995-2872,176 characters,Received Text
2023-01-12 18:12:42,(191) 113-1480,(228) 995-2872,5 minutes,Inbound Call
2023-01-12 19:28:47,(709) 730-8579,(228) 995-2872,156 characters,Sent Text
2023-01-13 19:03:29,(191) 113-1480,(228) 995-2872,79 characters,Sent Text
2023-01-15 09:33:38,(191) 113-1480,(228) 995-2872,99 minutes,Outbound Call
2023-01-15 10:48:57,(191) 113-1480,(228) 995-2872,21 minutes,Inbound Call
2023-01-16 09:16:12,(191) 113-1480,(228) 995-2872,7.0 MB,Received Media
2023-01-16 15:11:07,(191) 113-1480,(228) 995-2872,108 characters,Sent Text
2023-01-16 16:48:34,(191) 113-1480,(228) 995-2872,106 characters,Received Text
2023-01-16 21:19:51,(191) 113-1480,(228) 995-2872,10 minutes,Inbound Call
2023-01-17 08:01:42,(709) 730-8579,(228) 995-2872,32 minutes,Outbound Call
2023-01-17 09:18:07,(191) 113-1480,(228) 995-2872,245 characters,Sent Text
2023-01-17 11:34:00,(191) 113-1480,(228) 995-2872,35 minutes,Outbound Call
2023-01-17 11:55:34,(709) 730-8579,(228) 995-2872,186 characters,Sent Text
2023-01-18 15:00:16,(709) 730-8579,(228) 995-2872,36 minutes,Outbound Call
2023-01-18 17:57:43,(191) 113-1480,(228) 995-2872,46 characters,Sent Text
2023-01-19 18:33:30,(191) 113-1480,(228) 995-2872,22 characters,Received Text
2023-01-20 16:58:45,(709) 730-8579,(228) 995-2872,72 minutes,Outbound Call
2023-01-20 19:37:04,(191) 113-1480,(228) 995-2872,13 minutes,Outbound Call
2023-01-21 08:44:24,(191) 113-1480,(228) 995-2872,57 characters,Sent Text
2023-01-22 09:57:31,(191) 113-1480,(228) 995-2872,98 characters,Sent Text
2023-01-22 20:38:25,(709) 730-8579,(228) 995-2872,154 characters,Sent Text
2023-01-23 10:54:09,(709) 730-8579,(228) 995-2872,280 characters,Sent Text
2023-01-24 13:40:01,(191) 113-1480,(228) 995-2872,180 characters,Received Text
2023-01-24 19:34:10,(191) 113-1480,(228) 995-2872,169 characters,Sent Text
2023-01-24 21:34:38,(191) 113-1480,(228) 995-2872,12.4 MB,Received Media
2023-01-25 16:07:38,(191) 113-1480,(228) 995-2872,33 minutes,Inbound Call
2023-01-26 15:26:42,(709) 730-8579,(228) 995-2872,95 minutes,Outbound Call
