date,to,from_,size,type_
2023-01-01 11:57:24,(767) 178-0408,(725) 214-0320,282 characters,Received Text
2023-01-01 14:23:18,(881) 878-4218,(725) 214-0320,339 characters,Sent Text
2023-01-02 10:26:43,(767) 178-0408,(725) 214-0320,68 minutes,Outbound Call
2023-01-02 12:33:02,(881) 878-4218,(725) 214-0320,22 minutes,Inbound Call
2023-01-02 15:09:49,(767) 178-0408,(725) 214-0320,300 characters,Sent Text
2023-01-02 16:31:15,(164) 708-7268,(725) 214-0320,83 characters,Received Text
2023-01-03 10:41:06,(767) 178-0408,(725) 214-0320,58 characters,Sent Text
2023-01-03 12:24:55,(881) 878-4218,(725) 214-0320,281 characters,Received Text
2023-01-03 17:01:02,(164) 708-7268,(725) 214-0320,17.6 MB,Sent Media
2023-01-03 18:37:59,(164) 708-7268,(725) 214-0320,343 characters,Received Text
2023-01-03 20:09:16,(881) 878-4218,(725) 214-0320,56 minutes,Inbound Call
2023-01-04 14:46:50,(767) 178-0408,(725) 214-0320,168 characters,Received Text
2023-01-05 13:15:38,(767) 178-0408,(725) 214-0320,7 minutes,Outbound Call
2023-01-05 19:58:40,(164) 708-7268,(725) 214-0320,50 characters,Received Text
2023-01-06 12:52:11,(881) 878-4218,(725) 214-0320,87 characters,Sent Text
2023-01-06 17:31:53,(164) 708-7268,(725) 214-0320,195 characters,Sent Text
2023-01-06 18:11:46,(767) 178-0408,(725) 214-0320,97 characters,Received Text
2023-01-06 18:55:44,(767) 178-0408,(725) 214-0320,41 minutes,Inbound Call
2023-01-08 09:11:03,(881) 878-4218,(725) 214-0320,1.7 MB,Sent Media
2023-01-08 19:27:41,(767) 178-0408,(725) 214-0320,8.1 MB,Received Media
2023-01-08 19:38:00,(767) 178-0408,(725) 214-0320,4 characters,Sent Text
2023-01-09 09:53:30,(164) 708-7268,(725) 214-0320,173 characters,Received Text
2023-01-09 10:00:51,(767) 178-0408,(725) 214-0320,35 minutes,Outbound Call
2023-01-09 21:12:01,(164) 708-7268,(725) 214-0320,12.9 MB,Sent Media
2023-01-09 21:27:20,(164) 708-7268,(725) 214-0320,37 characters,Sent Text
2023-01-10 15:46:40,(164) 708-7268,(725) 214-0320,75 characters,Received Text
2023-01-10 16:56:47,(767) 178-0408,(725) 214-0320,336 characters,Received Text
2023-01-11 09:54:54,(164) 708-7268,(725) 214-0320,117 characters,Sent Text
2023-01-11 13:29:17,(767) 178-0408,(725) 214-0320,1 minutes,Outbound Call
2023-01-11 15:33:41,(881) 878-4218,(725) 214-0320,16.7 MB,Sent Media
2023-01-11 17:17:47,(767) 178-0408,(725) 214-0320,100 characters,Received Text
2023-01-12 15:40:07,(164) 708-7268,(725) 214-0320,10.8 MB,Received Media
2023-01-12 21:24:16,(164) 708-7268,(725) 214-0320,18 characters,Received Text
2023-01-13 08:52:50,(164) 708-7268,(725) 214-0320,42 characters,Received Text
2023-01-14 13:45:17,(881) 878-4218,(725) 214-0320,46 minutes,Outbound Call
2023-01-14 13:50:02,(767) 178-0408,(725) 214-0320,171 characters,Sent Text
2023-01-14 14:03:17,(164) 708-7268,(725) 214-0320,334 characters,Received Text
2023-01-14 18:40:28,(881) 878-4218,(725) 214-0320,211 characters,Received Text
2023-01-15 14:24:40,(881) 878-4218,(725) 214-0320,283 characters,Sent Text
2023-01-15 17:09:42,(164) 708-7268,(725) 214-0320,11.3 MB,Sent Media
2023-01-16 08:27:19,(881) 878-4218,(725) 214-0320,67 minutes,Outbound Call
2023-01-16 10:28:23,(164) 708-7268,(725) 214-0320,344 characters,Received Text
2023-01-16 14:29:06,(767) 178-0408,(725) 214-0320,249 characters,Sent Text
2023-01-16 17:26:39,(881) 878-4218,(725) 214-0320,293 characters,Received Text
2023-01-17 08:22:10,(164) 708-7268,(725) 214-0320,106 minutes,Outbound Call
2023-01-17 08:40:33,(164) 708-7268,(725) 214-0320,25 characters,Sent Text
2023-01-17 11:55:40,(881) 878-4218,(725) 214-0320,27 characters,Sent Text
2023-01-18 12:10:21,(164) 708-7268,(725) 214-0320,153 characters,Sent Text
2023-01-18 14:36:51,(164) 708-7268,(725) 214-0320,331 characters,Received Text
2023-01-18 16:15:02,(767) 178-0408,(725) 214-0320,215 characters,Received Text
2023-01-18 19:21:55,(767) 178-0408,(725) 214-0320,191 characters,Sent Text
2023-01-20 14:49:05,(767) 178-0408,(725) 214-0320,261 characters,Sent Text
2023-01-20 20:55:57,(164) 708-7268,(725) 214-0320,20 characters,Received Text
2023-01-20 21:10:34,(767) 178-0408,(725) 214-0320,324 characters,Received Text
2023-01-21 12:29:13,(881) 878-4218,(725) 214-0320,9.7 MB,Sent Media
2023-01-22 08:41:00,(881) 878-4218,(725) 214-0320,286 characters,Received Text
2023-01-22 15:00:35,(164) 708-7268,(725) 214-0320,28 minutes,Inbound Call
2023-01-22 17:16:58,(767) 178-0408,(725) 214-0320,8 minutes,Inbound Call
2023-01-22 21:10:16,(164) 708-7268,(725) 214-0320,89 minutes,Outbound Call
2023-01-23 13:27:32,(881) 878-4218,(725) 214-0320,117 minutes,Outbound Call
2023-01-23 14:46:34,(164) 708-7268,(725) 214-0320,17.2 MB,Sent Media
2023-01-23 14:58:32,(767) 178-0408,(725) 214-0320,192 characters,Received Text
2023-01-23 16:32:44,(767) 178-0408,(725) 214-0320,91 characters,Sent Text
2023-01-23 17:12:47,(881) 878-4218,(725) 214-0320,8.1 MB,Sent Media
2023-01-23 19:01:15,(881) 878-4218,(725) 214-0320,172 characters,Received Text
2023-01-24 09:56:59,(164) 708-7268,(725) 214-0320,15 minutes,Outbound Call
2023-01-24 11:22:42,(881) 878-4218,(725) 214-0320,56 minutes,Inbound Call
2023-01-24 20:21:08,(881) 878-4218,(725) 214-0320,204 characters,Sent Text
2023-01-24 20:37:50,(164) 708-7268,(725) 214-0320,11 characters,Received Text
2023-01-25 13:33:51,(164) 708-7268,(725) 214-0320,213 characters,Received Text
2023-01-25 18:42:40,(767) 178-0408,(725) 214-0320,9.4 MB,Sent Media
2023-01-25 21:12:36,(767) 178-0408,(725) 214-0320,102 characters,Received Text
2023-01-26 13:53:09,(881) 878-4218,(725) 214-0320,7.9 MB,Sent Media
2023-01-26 14:54:07,(164) 708-7268,(725) 214-0320,304 characters,Sent Text
2023-01-26 15:27:35,(767) 178-0408,(725) 214-0320,227 characters,Received Text
2023-01-26 15:52:55,(164) 708-7268,(725) 214-0320,29 minutes,Inbound Call
2023-01-27 09:13:40,(164) 708-7268,(725) 214-0320,228 characters,Received Text
2023-01-27 15:03:32,(767) 178-0408,(725) 214-0320,117 minutes,Inbound Call
2023-01-28 19:24:33,(881) 878-4218,(725) 214-0320,22 minutes,Inbound Call
2023-01-28 21:10:46,(767) 178-0408,(725) 214-0320,11.7 MB,Received Media
2023-01-29 09:24:51,(164) 708-7268,(725) 214-0320,106 minutes,Inbound Call
2023-01-29 14:56:53,(767) 178-0408,(725) 214-0320,225 characters,Sent Text
2023-01-29 18:23:27,(767) 178-0408,(725) 214-0320,91 characters,Received Text
2023-01-29 20:04:03,(881) 878-4218,(725) 214-0320,343 characters,Sent Text
2023-01-30 11:44:25,(164) 708-7268,(725) 214-0320,272 characters,Received Text
2023-01-30 20:19:14,(881) 878-4218,(725) 214-0320,95 characters,Received Text
2023-01-31 11:41:04,(164) 708-7268,(725) 214-0320,54 characters,Received Text
2023-01-31 16:10:30,(767) 178-0408,(725) 214-0320,283 characters,Sent Text
2023-02-01 08:04:46,(767) 178-0408,(725) 214-0320,74 characters,Sent Text
2023-02-01 16:01:08,(767) 178-0408,(725) 214-0320,37 minutes,Inbound Call
2023-02-02 09:33:19,(881) 878-4218,(725) 214-0320,60 minutes,Outbound Call
2023-02-02 11:11:14,(881) 878-4218,(725) 214-0320,137 characters,Received Text
2023-02-02 11:53:13,(881) 878-4218,(725) 214-0320,9.2 MB,Received Media
2023-02-02 15:47:13,(881) 878-4218,(725) 214-0320,76 minutes,Inbound Call
2023-02-02 21:19:41,(767) 178-0408,(725) 214-0320,151 characters,Received Text
2023-02-04 19:35:27,(164) 708-7268,(725) 214-0320,229 characters,Received Text
2023-02-05 10:53:17,(881) 878-4218,(725) 214-0320,180 characters,Received Text
2023-02-05 11:17:03,(767) 178-0408,(725) 214-0320,250 characters,Sent Text
2023-02-05 11:21:09,(767) 178-0408,(725) 214-0320,88 minutes,Inbound Call
2023-02-05 18:54:00,(881) 878-4218,(725) 214-0320,254 characters,Sent Text
2023-02-06 11:03:55,(164) 708-7268,(725) 214-0320,97 characters,Received Text
2023-02-07 15:17:38,(767) 178-0408,(725) 214-0320,16.1 MB,Sent Media
2023-02-08 10:21:46,(881) 878-4218,(725) 214-0320,114 minutes,Outbound Call
2023-02-08 18:01:37,(767) 178-0408,(725) 214-0320,40 minutes,Outbound Call
2023-02-08 18:26:02,(164) 708-7268,(725) 214-0320,313 characters,Sent Text
2023-02-09 19:14:20,(881) 878-4218,(725) 214-0320,62 minutes,Inbound Call
2023-02-09 20:17:22,(164) 708-7268,(725) 214-0320,228 characters,Received Text
2023-02-10 08:06:31,(767) 178-0408,(725) 214-0320,3 characters,Sent Text
2023-02-10 09:54:29,(767) 178-0408,(725) 214-0320,54 minutes,Outbound Call
2023-02-10 12:09:54,(881) 878-4218,(725) 214-0320,60 characters,Received Text
2023-02-10 21:01:00,(164) 708-7268,(725) 214-0320,90 minutes,Inbound Call
2023-02-11 18:27:11,(164) 708-7268,(725) 214-0320,245 characters,Received Text
2023-02-11 18:53:58,(767) 178-0408,(725) 214-0320,2 characters,Sent Text
2023-02-11 19:13:29,(767) 178-0408,(725) 214-0320,10.7 MB,Sent Media
2023-02-12 18:24:58,(767) 178-0408,(725) 214-0320,17.3 MB,Sent Media
2023-02-12 21:52:15,(881) 878-4218,(725) 214-0320,291 characters,Received Text
2023-02-13 08:29:46,(164) 708-7268,(725) 214-0320,241 characters,Sent Text
2023-02-13 11:20:51,(767) 178-0408,(725) 214-0320,20 minutes,Inbound Call
2023-02-13 17:57:34,(767) 178-0408,(725) 214-0320,280 characters,Received Text
2023-02-13 18:33:55,(767) 178-0408,(725) 214-0320,324 characters,Sent Text
2023-02-13 21:49:57,(881) 878-4218,(725) 214-0320,182 characters,Sent Text
2023-02-14 08:31:27,(767) 178-0408,(725) 214-0320,47 characters,Sent Text
2023-02-15 11:24:04,(164) 708-7268,(725) 214-0320,37 minutes,Outbound Call
2023-02-15 14:17:20,(881) 878-4218,(725) 214-0320,166 characters,Received Text
2023-02-15 14:46:46,(164) 708-7268,(725) 214-0320,250 characters,Received Text
2023-02-16 11:30:37,(164) 708-7268,(725) 214-0320,31 minutes,Inbound Call
2023-02-17 13:10:09,(881) 878-4218,(725) 214-0320,169 characters,Sent Text
2023-02-17 16:40:26,(164) 708-7268,(725) 214-0320,263 characters,Sent Text
2023-02-18 10:47:39,(767) 178-0408,(725) 214-0320,278 characters,Sent Text
2023-02-18 13:03:10,(164) 708-7268,(725) 214-0320,173 characters,Sent Text
2023-02-18 14:01:45,(164) 708-7268,(725) 214-0320,92 minutes,Inbound Call
2023-02-18 18:25:25,(767) 178-0408,(725) 214-0320,23 minutes,Outbound Call
2023-02-18 19:00:05,(767) 178-0408,(725) 214-0320,7.1 MB,Sent Media
2023-02-19 18:28:47,(164) 708-7268,(725) 214-0320,243 characters,Received Text
2023-02-19 19:13:07,(881) 878-4218,(725) 214-0320,238 characters,Sent Text
2023-02-19 20:22:52,(881) 878-4218,(725) 214-0320,88 minutes,Outbound Call
2023-02-21 14:21:00,(767) 178-0408,(725) 214-0320,17 minutes,Outbound Call
2023-02-21 14:36:01,(164) 708-7268,(725) 214-0320,274 characters,Sent Text
2023-02-21 15:25:51,(767) 178-0408,(725) 214-0320,218 characters,Sent Text
2023-02-21 18:47:49,(881) 878-4218,(725) 214-0320,26 minutes,Inbound Call
2023-02-21 19:41:34,(767) 178-0408,(725) 214-0320,13.5 MB,Sent Media
2023-02-22 08:36:51,(767) 178-0408,(725) 214-0320,143 characters,Sent Text
2023-02-22 21:55:19,(881) 878-4218,(725) 214-0320,48 characters,Sent Text
2023-02-23 08:45:08,(164) 708-7268,(725) 214-0320,173 characters,Received Text
2023-02-23 09:03:00,(881) 878-4218,(725) 214-0320,342 characters,Received Text
2023-02-23 14:07:25,(881) 878-4218,(725) 214-0320,94 minutes,Outbound Call
2023-02-23 16:59:02,(164) 708-7268,(725) 214-0320,6.1 MB,Received Media
2023-02-23 19:42:34,(767) 178-0408,(725) 214-0320,99 characters,Sent Text
2023-02-23 19:57:04,(767) 178-0408,(725) 214-0320,274 characters,Received Text
2023-02-23 21:24:49,(881) 878-4218,(725) 214-0320,122 characters,Sent Text
2023-02-24 14:30:45,(164) 708-7268,(725) 214-0320,72 characters,Received Text
2023-02-24 20:57:44,(767) 178-0408,(725) 214-0320,80 characters,Sent Text
2023-02-25 11:15:56,(767) 178-0408,(725) 214-0320,83 minutes,Inbound Call
2023-02-25 14:48:25,(164) 708-7268,(725) 214-0320,42 characters,Sent Text
2023-02-25 15:12:08,(164) 708-7268,(725) 214-0320,60 minutes,Inbound Call
2023-02-25 16:26:57,(881) 878-4218,(725) 214-0320,16 minutes,Outbound Call
2023-02-25 21:13:49,(881) 878-4218,(725) 214-0320,210 characters,Sent Text
2023-02-26 13:10:31,(767) 178-0408,(725) 214-0320,19.5 MB,Received Media
2023-02-26 17:19:51,(767) 178-0408,(725) 214-0320,270 characters,Sent Text
2023-02-26 19:43:28,(164) 708-7268,(725) 214-0320,316 characters,Sent Text
2023-02-26 19:51:21,(767) 178-0408,(725) 214-0320,15 characters,Received Text
2023-02-27 12:54:35,(767) 178-0408,(725) 214-0320,102 minutes,Outbound Call
2023-02-28 13:43:18,(767) 178-0408,(725) 214-0320,234 characters,Received Text
2023-03-01 09:42:38,(881) 878-4218,(725) 214-0320,38 minutes,Outbound Call
2023-03-01 11:34:04,(767) 178-0408,(725) 214-0320,9.2 MB,Received Media
2023-03-01 14:25:04,(767) 178-0408,(725) 214-0320,13.3 MB,Sent Media
2023-03-01 14:36:43,(164) 708-7268,(725) 214-0320,4.5 MB,Sent Media
2023-03-02 12:35:48,(164) 708-7268,(725) 214-0320,195 characters,Received Text
2023-03-02 14:10:18,(881) 878-4218,(725) 214-0320,11.4 MB,Sent Media
2023-03-02 15:46:03,(881) 878-4218,(725) 214-0320,338 characters,Received Text
2023-03-02 17:03:05,(767) 178-0408,(725) 214-0320,158 characters,Received Text
2023-03-03 15:49:25,(767) 178-0408,(725) 214-0320,154 characters,Sent Text
2023-03-03 17:31:06,(881) 878-4218,(725) 214-0320,10.9 MB,Received Media
2023-03-03 18:55:19,(767) 178-0408,(725) 214-0320,38 minutes,Outbound Call
2023-03-04 08:10:32,(767) 178-0408,(725) 214-0320,202 characters,Received Text
2023-03-04 08:22:06,(881) 878-4218,(725) 214-0320,185 characters,Received Text
2023-03-04 14:51:26,(767) 178-0408,(725) 214-0320,4 minutes,Inbound Call
2023-03-04 15:21:37,(164) 708-7268,(725) 214-0320,190 characters,Sent Text
2023-03-04 15:43:50,(164) 708-7268,(725) 214-0320,322 characters,Received Text
2023-03-04 17:19:06,(881) 878-4218,(725) 214-0320,61 characters,Sent Text
2023-03-04 21:19:45,(767) 178-0408,(725) 214-0320,200 characters,Sent Text
2023-03-05 11:17:44,(767) 178-0408,(725) 214-0320,30 minutes,Outbound Call
2023-03-06 12:14:46,(767) 178-0408,(725) 214-0320,12.3 MB,Received Media
2023-03-06 18:01:18,(881) 878-4218,(725) 214-0320,13 minutes,Outbound Call
2023-03-06 18:42:20,(767) 178-0408,(725) 214-0320,56 characters,Received Text
2023-03-07 08:09:37,(767) 178-0408,(725) 214-0320,4.5 MB,Received Media
2023-03-07 14:16:52,(881) 878-4218,(725) 214-0320,20 minutes,Inbound Call
2023-03-07 17:40:42,(164) 708-7268,(725) 214-0320,180 characters,Sent Text
2023-03-07 17:50:01,(767) 178-0408,(725) 214-0320,53 minutes,Outbound Call
2023-03-07 20:00:38,(881) 878-4218,(725) 214-0320,75 characters,Sent Text
2023-03-07 21:35:36,(164) 708-7268,(725) 214-0320,307 characters,Received Text
2023-03-08 15:24:52,(164) 708-7268,(725) 214-0320,8.8 MB,Received Media
2023-03-08 17:34:18,(164) 708-7268,(725) 214-0320,122 characters,Sent Text
2023-03-09 14:19:53,(881) 878-4218,(725) 214-0320,73 minutes,Inbound Call
2023-03-09 14:29:29,(881) 878-4218,(725) 214-0320,174 characters,Received Text
2023-03-10 09:42:43,(767) 178-0408,(725) 214-0320,91 minutes,Inbound Call
2023-03-10 16:26:41,(164) 708-7268,(725) 214-0320,41 minutes,Inbound Call
2023-03-10 18:26:44,(881) 878-4218,(725) 214-0320,342 characters,Received Text
2023-03-11 11:33:45,(767) 178-0408,(725) 214-0320,265 characters,Sent Text
2023-03-11 14:58:03,(881) 878-4218,(725) 214-0320,29 characters,Sent Text
2023-03-11 15:02:53,(767) 178-0408,(725) 214-0320,187 characters,Received Text
2023-03-11 16:58:30,(164) 708-7268,(725) 214-0320,120 minutes,Inbound Call
2023-03-11 19:12:37,(164) 708-7268,(725) 214-0320,25 minutes,Outbound Call
2023-03-12 08:48:42,(164) 708-7268,(725) 214-0320,3.5 MB,Sent Media
2023-03-12 10:50:35,(164) 708-7268,(725) 214-0320,270 characters,Received Text
2023-03-12 11:56:50,(881) 878-4218,(725) 214-0320,33 minutes,Outbound Call
2023-03-12 18:00:41,(767) 178-0408,(725) 214-0320,251 characters,Sent Text
2023-03-12 18:07:23,(164) 708-7268,(725) 214-0320,43 minutes,Outbound Call
2023-03-13 09:48:35,(767) 178-0408,(725) 214-0320,98 characters,Sent Text
2023-03-13 16:16:06,(164) 708-7268,(725) 214-0320,9.0 MB,Sent Media
2023-03-14 11:23:50,(767) 178-0408,(725) 214-0320,54 characters,Received Text
2023-03-14 14:05:27,(881) 878-4218,(725) 214-0320,52 characters,Sent Text
2023-03-14 15:26:29,(164) 708-7268,(725) 214-0320,56 minutes,Outbound Call
2023-03-14 16:59:46,(767) 178-0408,(725) 214-0320,6 minutes,Inbound Call
2023-03-15 13:02:36,(767) 178-0408,(725) 214-0320,30 characters,Received Text
2023-03-15 13:46:44,(164) 708-7268,(725) 214-0320,15.1 MB,Received Media
2023-03-15 16:59:12,(767) 178-0408,(725) 214-0320,3 minutes,Inbound Call
2023-03-16 21:27:36,(881) 878-4218,(725) 214-0320,203 characters,Received Text
2023-03-18 16:00:05,(164) 708-7268,(725) 214-0320,72 minutes,Inbound Call
