date,description,amount,balance
2023-01-01 08:39:56,Flexin - Payment,$-111.13,"$2,171.92"
2023-01-02 16:32:53,Flexin - Payment,$-138.56,"$2,033.36"
2023-01-03 12:47:34,Flexin - Payment,$-87.55,"$1,945.81"
2023-01-04 21:20:28,Flexin - Payment,$-190.63,"$1,755.18"
2023-01-05 12:11:13,Flexin - Payment,$-121.65,"$1,633.53"
2023-01-06 00:00:00,Purchase by Foodr,"$2,000.00","$3,633.53"
2023-01-09 14:26:01,Flexin - Payment,$-123.22,"$3,510.31"
2023-01-10 15:20:44,Flexin - Payment,$-137.97,"$3,302.92"
2023-01-10 16:29:55,Healthn - Payment,$-69.42,"$3,440.89"
2023-01-13 00:00:00,Purchase by Foodr,"$2,000.00","$5,123.76"
2023-01-13 20:45:34,Flexin - Payment,$-179.16,"$3,123.76"
2023-01-14 13:57:10,Healthn - Payment,$-50.17,"$5,073.59"
2023-01-16 19:15:48,Flexin - Payment,$-98.27,"$4,975.32"
2023-01-19 13:40:09,Fitr - Payment,$-144.37,"$4,830.95"
2023-01-20 00:00:00,Purchase by Foodr,"$2,000.00","$6,656.28"
2023-01-20 19:28:19,Flexin - Payment,$-174.67,"$4,656.28"
2023-01-22 20:34:49,Fitr - Payment,$-124.73,"$6,531.55"
2023-01-24 12:26:44,Flexin - Payment,$-24.63,"$6,506.92"
2023-01-26 11:11:41,Flexin - Payment,$-73.40,"$6,433.52"
2023-01-27 00:00:00,Purchase by Foodr,"$2,000.00","$8,390.76"
2023-01-27 09:13:09,Flexin - Payment,$-42.76,"$6,390.76"
2023-01-31 18:16:11,Flexin - Payment,$-66.70,"$8,187.46"
2023-01-31 18:17:32,Healthn - Payment,$-136.60,"$8,254.16"
2023-02-03 00:00:00,Purchase by Foodr,"$2,000.00","$10,187.46"
2023-02-06 15:49:03,Flexin - Payment,$-154.33,"$10,033.13"
2023-02-07 16:10:51,Flexin - Payment,$-27.40,"$10,005.73"
2023-02-10 00:00:00,Purchase by Foodr,"$2,000.00","$12,005.73"
2023-02-11 20:44:07,Flexin - Payment,$-76.75,"$11,928.98"
2023-02-13 19:51:54,Flexin - Payment,$-74.53,"$11,854.45"
2023-02-16 16:36:17,Flexin - Payment,$-34.70,"$11,819.75"
2023-02-17 00:00:00,Purchase by Foodr,"$2,000.00","$13,819.75"
2023-02-19 15:22:36,Flexin - Payment,$-168.23,"$13,578.52"
2023-02-19 18:44:33,AffordableHub - Payment,$-73.00,"$13,746.75"
2023-02-24 00:00:00,Purchase by Foodr,"$2,000.00","$15,578.52"
2023-02-27 10:10:01,Foodr - Payment,$-120.96,"$15,457.56"
2023-02-28 20:12:08,youGrocery - Payment,$-133.41,"$15,324.15"
2023-03-03 00:00:00,Purchase by Foodr,"$2,000.00","$17,324.15"
2023-03-04 20:19:24,Flexin - Payment,$-28.28,"$17,295.87"
2023-03-06 15:37:16,Healthn - Payment,$-174.64,"$17,121.23"
2023-03-09 17:22:58,Flexin - Payment,$-37.71,"$17,083.52"
2023-03-10 00:00:00,Purchase by Foodr,"$2,000.00","$18,959.72"
2023-03-10 13:23:27,Healthn - Payment,$-69.70,"$17,013.82"
2023-03-10 17:39:39,Flexin - Payment,$-54.10,"$16,959.72"
2023-03-11 18:15:29,StrongLink - Payment,$-165.88,"$18,793.84"
2023-03-13 17:02:20,Flexin - Payment,$-162.20,"$18,631.64"
2023-03-15 13:24:46,Flexin - Payment,$-182.60,"$18,449.04"
2023-03-17 00:00:00,Purchase by Foodr,"$2,000.00","$20,449.04"
2023-03-18 12:10:25,Flexin - Payment,$-129.73,"$20,319.31"
2023-03-19 18:47:49,Flexin - Payment,$-132.16,"$20,187.15"
2023-03-24 00:00:00,Purchase by Foodr,"$2,000.00","$22,187.15"
2023-03-31 00:00:00,Purchase by Foodr,"$2,000.00","$24,187.15"
2023-04-04 16:26:55,Flexin - Payment,$-74.41,"$24,112.74"
2023-04-07 00:00:00,Purchase by Foodr,"$2,000.00","$26,112.74"
2023-04-08 18:49:05,StrongLink - Payment,$-33.67,"$26,079.07"
2023-04-11 10:31:47,Flexin - Payment,$-41.20,"$26,037.87"
2023-04-13 09:20:39,Flexin - Payment,$-132.10,"$25,905.77"
2023-04-14 00:00:00,Purchase by Foodr,"$2,000.00","$27,905.77"
2023-04-15 15:32:50,Healthn - Payment,$-143.65,"$27,762.12"
2023-04-19 13:50:16,StrongLink - Payment,$-129.41,"$27,632.71"
2023-04-20 08:50:47,Flexin - Payment,$-33.56,"$27,512.55"
2023-04-20 15:09:06,Healthn - Payment,$-86.60,"$27,546.11"
2023-04-21 00:00:00,Purchase by Foodr,"$2,000.00","$29,512.55"
2023-04-23 13:59:41,Flexin - Payment,$-100.71,"$29,411.84"
2023-04-24 18:01:09,Flexin - Payment,$-131.56,"$29,280.28"
2023-04-28 00:00:00,Purchase by Foodr,"$2,000.00","$31,280.28"
2023-04-30 09:08:36,Flexin - Payment,$-148.53,"$31,131.75"
2023-05-02 14:07:06,Flexin - Payment,$-142.65,"$30,989.10"
2023-05-05 00:00:00,Purchase by Foodr,"$2,000.00","$32,989.10"
2023-05-06 08:39:35,Fitr - Payment,$-143.58,"$32,845.52"
2023-05-07 21:25:48,StrongLink - Payment,$-179.59,"$32,665.93"
2023-05-10 18:54:31,Flexin - Payment,$-67.39,"$32,598.54"
2023-05-12 00:00:00,Purchase by Foodr,"$2,000.00","$34,598.54"
2023-05-15 15:12:22,Flexin - Payment,$-100.98,"$34,497.56"
2023-05-17 20:56:29,Healthn - Payment,$-161.72,"$34,335.84"
2023-05-19 00:00:00,Purchase by Foodr,"$2,000.00","$36,335.84"
