date,description,amount,balance
2023-01-20 09:27:11,Flexin - Payment,$-184.39,"$7,714.72"
2023-01-25 13:50:24,youGrocery - Payment,$-105.30,"$7,609.42"
2023-01-26 16:05:33,Flexin - Payment,$-109.16,"$7,500.26"
2023-01-31 19:21:43,Flexin - Payment,$-45.70,"$7,454.56"
2023-02-21 09:30:05,StrongLink - Payment,$-89.77,"$7,364.79"
2023-02-28 21:41:38,youGrocery - Payment,$-146.10,"$7,218.69"
2023-03-03 09:26:43,youGrocery - Payment,$-58.17,"$7,160.52"
2023-03-13 16:04:33,Flexin - Payment,$-54.54,"$7,105.98"
2023-03-20 16:15:08,youGrocery - Payment,$-167.11,"$6,938.87"
2023-04-01 14:01:48,AffordableHub - Payment,$-87.64,"$6,851.23"
2023-04-02 20:37:15,Flexin - Payment,$-123.93,"$6,727.30"
2023-04-03 19:47:22,Flexin - Payment,$-160.00,"$6,567.30"
2023-04-10 09:03:21,Flexin - Payment,$-152.31,"$6,414.99"
2023-04-13 19:03:59,youGrocery - Payment,$-188.31,"$6,226.68"
2023-04-21 19:03:53,youGrocery - Payment,$-72.34,"$6,154.34"
2023-04-22 16:49:28,Foodr - Payment,$-167.66,"$5,986.68"
2023-05-05 13:24:53,Flexin - Payment,$-98.76,"$5,887.92"
2023-05-09 10:28:45,Flexin - Payment,$-133.16,"$5,692.43"
2023-05-09 15:02:48,youGrocery - Payment,$-62.33,"$5,825.59"
2023-05-16 09:49:38,Foodr - Payment,$-88.17,"$5,604.26"
2023-05-22 12:58:54,Flexin - Payment,$-145.28,"$5,458.98"
2023-05-27 18:52:41,Flexin - Payment,$-50.94,"$5,408.04"
2023-05-30 10:56:07,Flexin - Payment,$-38.36,"$5,345.53"
2023-05-30 14:21:34,youGrocery - Payment,$-24.15,"$5,383.89"
2023-06-11 18:29:59,youGrocery - Payment,$-59.70,"$5,285.83"
2023-06-16 16:25:20,youGrocery - Payment,$-151.48,"$5,134.35"
2023-06-22 18:16:55,youGrocery - Payment,$-160.25,"$4,974.10"
2023-07-01 17:02:13,Flexin - Payment,$-30.11,"$4,943.99"
2023-07-04 21:02:28,youGrocery - Payment,$-20.31,"$4,923.68"
2023-07-11 08:36:27,Flexin - Payment,$-184.88,"$4,738.80"
2023-07-20 09:45:30,Flexin - Payment,$-21.42,"$4,717.38"
2023-07-26 11:41:50,StrongLink - Payment,$-65.72,"$4,651.66"
2023-08-05 20:04:37,youGrocery - Payment,$-152.50,"$4,499.16"
2023-08-17 15:09:52,youGrocery - Payment,$-37.64,"$4,461.52"
2023-08-25 08:20:32,youGrocery - Payment,$-95.89,"$4,365.63"
2023-09-01 15:09:58,AffordableHub - Payment,$-96.18,"$4,269.45"
2023-09-10 08:53:00,Flexin - Payment,$-46.28,"$4,223.17"
2023-09-11 16:37:07,youGrocery - Payment,$-174.87,"$4,048.30"
2023-09-19 20:25:40,Flexin - Payment,$-133.44,"$3,914.86"
2023-09-24 19:34:12,youGrocery - Payment,$-95.80,"$3,819.06"
2023-10-09 10:53:14,youGrocery - Payment,$-175.35,"$3,643.71"
2023-10-15 17:14:35,youGrocery - Payment,$-101.52,"$3,542.19"
2023-10-16 08:13:12,Flexin - Payment,$-169.12,"$3,373.07"
2023-10-18 21:17:13,Flexin - Payment,$-109.91,"$3,263.16"
2023-10-22 11:58:01,Foodr - Payment,$-197.74,"$3,065.42"
2023-10-30 16:24:44,youGrocery - Payment,$-182.17,"$2,883.25"
2023-11-01 18:26:26,Flexin - Payment,$-62.10,"$2,821.15"
2023-11-02 08:08:35,youGrocery - Payment,$-156.97,"$2,664.18"
2023-11-09 08:04:42,youGrocery - Payment,$-163.62,"$2,500.56"
2023-11-11 10:48:25,youGrocery - Payment,$-26.75,"$2,473.81"
2023-11-16 11:46:02,youGrocery - Payment,$-159.62,"$2,314.19"
2023-11-26 12:49:26,youGrocery - Payment,$-184.95,"$2,129.24"
2023-11-29 18:20:46,youGrocery - Payment,$-95.17,"$2,034.07"
2023-12-09 16:39:55,youGrocery - Payment,$-30.18,"$2,003.89"
2023-12-19 21:16:30,Flexin - Payment,$-71.95,"$1,931.94"
2023-12-20 12:15:43,Flexin - Payment,$-148.43,"$1,783.51"
2023-12-25 09:12:40,Flexin - Payment,$-162.45,"$1,621.06"
2024-01-08 19:23:15,Flexin - Payment,$-58.88,"$1,562.18"
2024-01-17 18:48:50,youGrocery - Payment,$-36.64,"$1,525.54"
2024-01-24 20:04:09,Flexin - Payment,$-78.80,"$1,446.74"
2024-01-25 14:32:24,Flexin - Payment,$-20.95,"$1,425.79"
2024-01-30 20:02:32,Flexin - Payment,$-183.79,"$1,242.00"
2024-02-01 12:50:06,StrongLink - Payment,$-90.55,"$1,151.45"
2024-02-04 14:40:18,youGrocery - Payment,$-137.97,"$1,013.48"
2024-02-15 20:43:57,youGrocery - Payment,$-101.71,$911.77
2024-02-18 10:34:36,Healthn - Payment,$-96.69,$815.08
2024-02-20 14:24:12,Flexin - Payment,$-187.89,$627.19
2024-02-23 08:38:37,Fitr - Payment,$-127.45,$499.74
2024-02-27 14:45:57,youGrocery - Payment,$-98.70,$401.04
2024-03-01 18:07:01,Flexin - Payment,$-38.70,$362.34
2024-03-04 15:06:10,youGrocery - Payment,$-150.87,$211.47
2024-03-07 09:29:37,youGrocery - Payment,$-128.31,$83.16
2024-03-07 13:44:54,Invalid Withdrawal,$0.00,$83.16
2024-03-13 09:17:53,youGrocery - Payment,$-59.80,$23.36
2024-03-27 17:55:59,Invalid Withdrawal,$0.00,$23.36
2024-03-28 09:34:59,Invalid Withdrawal,$0.00,$23.36
2024-04-01 19:58:39,Invalid Withdrawal,$0.00,$23.36
2024-04-09 12:22:52,Invalid Withdrawal,$0.00,$23.36
2024-04-18 18:51:23,Invalid Withdrawal,$0.00,$23.36
2024-04-19 21:40:22,Invalid Withdrawal,$0.00,$23.36
2024-05-01 13:49:43,Invalid Withdrawal,$0.00,$23.36
