date,to,from_,size,type_
2023-01-01 14:08:27,(101) 631-1507,(657) 114-8737,213 characters,Sent Text
2023-01-01 19:29:01,(494) 721-6384,(657) 114-8737,321 characters,Sent Text
2023-01-01 21:26:37,(101) 631-1507,(657) 114-8737,216 characters,Received Text
2023-01-02 09:36:33,(424) 551-0034,(657) 114-8737,102 characters,Sent Text
2023-01-02 10:37:48,(424) 551-0034,(657) 114-8737,39 minutes,Inbound Call
2023-01-02 11:33:51,(151) 974-1081,(657) 114-8737,155 characters,Received Text
2023-01-02 16:26:57,(424) 551-0034,(657) 114-8737,171 characters,Received Text
2023-01-02 20:24:07,(101) 631-1507,(657) 114-8737,149 characters,Received Text
2023-01-02 20:59:09,(494) 721-6384,(657) 114-8737,15 characters,Received Text
2023-01-03 11:40:40,(424) 551-0034,(657) 114-8737,32 characters,Sent Text
2023-01-03 19:42:58,(101) 631-1507,(657) 114-8737,95 characters,Received Text
2023-01-03 20:35:03,(494) 721-6384,(657) 114-8737,22 minutes,Outbound Call
2023-01-04 15:19:41,(151) 974-1081,(657) 114-8737,30 minutes,Inbound Call
2023-01-04 15:26:52,(494) 721-6384,(657) 114-8737,56 minutes,Inbound Call
2023-01-04 16:54:38,(424) 551-0034,(657) 114-8737,117 characters,Received Text
2023-01-04 19:25:13,(101) 631-1507,(657) 114-8737,16.6 MB,Sent Media
2023-01-04 19:51:07,(494) 721-6384,(657) 114-8737,306 characters,Sent Text
2023-01-05 08:25:19,(494) 721-6384,(657) 114-8737,44 minutes,Outbound Call
2023-01-05 10:42:33,(101) 631-1507,(657) 114-8737,93 characters,Received Text
2023-01-05 15:39:03,(494) 721-6384,(657) 114-8737,275 characters,Received Text
2023-01-05 16:53:51,(494) 721-6384,(657) 114-8737,25 minutes,Inbound Call
2023-01-06 09:35:32,(424) 551-0034,(657) 114-8737,23 minutes,Inbound Call
2023-01-06 10:51:15,(424) 551-0034,(657) 114-8737,3.9 MB,Sent Media
2023-01-06 18:14:35,(424) 551-0034,(657) 114-8737,145 characters,Sent Text
2023-01-07 10:13:26,(494) 721-6384,(657) 114-8737,330 characters,Received Text
2023-01-07 11:59:09,(101) 631-1507,(657) 114-8737,160 characters,Received Text
2023-01-07 17:50:11,(424) 551-0034,(657) 114-8737,90 characters,Sent Text
2023-01-07 20:22:10,(494) 721-6384,(657) 114-8737,22 characters,Sent Text
2023-01-07 20:25:10,(424) 551-0034,(657) 114-8737,108 minutes,Outbound Call
2023-01-07 20:51:20,(151) 974-1081,(657) 114-8737,159 characters,Sent Text
2023-01-08 20:54:00,(494) 721-6384,(657) 114-8737,49 minutes,Inbound Call
2023-01-09 09:54:43,(494) 721-6384,(657) 114-8737,10.9 MB,Sent Media
2023-01-09 10:16:08,(101) 631-1507,(657) 114-8737,1 characters,Received Text
2023-01-09 18:29:51,(151) 974-1081,(657) 114-8737,43 minutes,Inbound Call
2023-01-10 08:40:13,(494) 721-6384,(657) 114-8737,108 characters,Sent Text
2023-01-10 09:41:57,(151) 974-1081,(657) 114-8737,195 characters,Sent Text
2023-01-10 11:43:16,(151) 974-1081,(657) 114-8737,66 minutes,Inbound Call
2023-01-10 16:48:32,(424) 551-0034,(657) 114-8737,115 minutes,Inbound Call
2023-01-10 19:53:09,(494) 721-6384,(657) 114-8737,325 characters,Received Text
2023-01-10 21:10:16,(424) 551-0034,(657) 114-8737,76 characters,Received Text
2023-01-10 21:39:50,(494) 721-6384,(657) 114-8737,111 minutes,Inbound Call
2023-01-11 08:54:14,(424) 551-0034,(657) 114-8737,29 characters,Received Text
2023-01-11 14:43:52,(151) 974-1081,(657) 114-8737,127 characters,Received Text
2023-01-11 15:42:22,(424) 551-0034,(657) 114-8737,189 characters,Sent Text
2023-01-11 17:41:15,(101) 631-1507,(657) 114-8737,29 characters,Received Text
2023-01-11 20:37:35,(494) 721-6384,(657) 114-8737,260 characters,Received Text
2023-01-12 18:57:30,(101) 631-1507,(657) 114-8737,97 minutes,Outbound Call
2023-01-12 21:07:11,(424) 551-0034,(657) 114-8737,290 characters,Received Text
2023-01-12 21:40:53,(424) 551-0034,(657) 114-8737,248 characters,Sent Text
2023-01-13 12:44:50,(151) 974-1081,(657) 114-8737,57 minutes,Outbound Call
2023-01-13 15:38:06,(151) 974-1081,(657) 114-8737,117 characters,Sent Text
2023-01-13 16:30:03,(424) 551-0034,(657) 114-8737,12.5 MB,Received Media
2023-01-13 18:48:31,(101) 631-1507,(657) 114-8737,279 characters,Received Text
2023-01-13 20:34:29,(494) 721-6384,(657) 114-8737,279 characters,Received Text
2023-01-14 12:38:33,(494) 721-6384,(657) 114-8737,25 minutes,Inbound Call
2023-01-14 13:11:42,(151) 974-1081,(657) 114-8737,35 characters,Sent Text
2023-01-14 20:41:27,(424) 551-0034,(657) 114-8737,98 minutes,Outbound Call
2023-01-15 14:35:49,(494) 721-6384,(657) 114-8737,303 characters,Received Text
2023-01-15 14:45:22,(494) 721-6384,(657) 114-8737,85 characters,Sent Text
2023-01-15 17:10:39,(151) 974-1081,(657) 114-8737,313 characters,Received Text
2023-01-16 10:57:01,(151) 974-1081,(657) 114-8737,186 characters,Sent Text
