date,description,amount,balance
2023-01-07 09:17:22,Fitr - Payment,$-197.11,"$22,255.71"
2023-01-07 12:57:32,youGrocery - Payment,$-94.75,"$22,452.82"
2023-01-08 21:03:42,Flexin - Payment,$-81.78,"$22,173.93"
2023-01-14 11:40:56,youGrocery - Payment,$-179.87,"$21,994.06"
2023-01-16 20:51:19,Flexin - Payment,$-134.69,"$21,859.37"
2023-01-19 20:51:33,youGrocery - Payment,$-35.11,"$21,824.26"
2023-01-21 16:37:26,Flexin - Payment,$-81.12,"$21,743.14"
2023-01-22 16:33:00,youGrocery - Payment,$-46.70,"$21,696.44"
2023-01-23 11:58:53,youGrocery - Payment,$-144.49,"$21,551.95"
2023-01-27 15:08:48,youGrocery - Payment,$-125.57,"$21,426.38"
2023-01-30 14:50:02,StrongLink - Payment,$-118.56,"$21,307.82"
2023-02-15 11:34:05,Flexin - Payment,$-43.82,"$21,175.87"
2023-02-15 16:12:55,Healthn - Payment,$-88.13,"$21,219.69"
2023-02-19 15:07:27,Foodr - Payment,$-94.69,"$21,081.18"
2023-02-20 14:38:40,Flexin - Payment,$-157.96,"$20,923.22"
2023-02-22 12:17:03,Flexin - Payment,$-133.53,"$20,789.69"
2023-03-07 10:13:54,Flexin - Payment,$-123.00,"$20,498.44"
2023-03-07 13:12:05,youGrocery - Payment,$-168.25,"$20,621.44"
2023-03-08 13:34:03,Flexin - Payment,$-172.71,"$20,325.73"
2023-03-10 12:47:56,Flexin - Payment,$-23.65,"$20,187.35"
2023-03-10 15:31:32,youGrocery - Payment,$-114.73,"$20,211.00"
2023-03-11 16:45:08,Flexin - Payment,$-172.59,"$20,014.76"
2023-03-13 12:45:38,youGrocery - Payment,$-91.29,"$19,923.47"
2023-03-16 12:16:58,youGrocery - Payment,$-48.78,"$19,874.69"
2023-03-16 19:52:32,Flexin - Payment,$-49.84,"$19,824.85"
2023-03-19 18:37:13,Flexin - Payment,$-192.28,"$19,632.57"
2023-03-20 21:46:56,Foodr - Payment,$-110.10,"$19,522.47"
2023-03-21 19:03:19,youGrocery - Payment,$-72.95,"$19,449.52"
2023-03-22 13:35:39,youGrocery - Payment,$-142.62,"$19,306.90"
2023-03-24 09:07:21,Flexin - Payment,$-157.31,"$19,149.59"
2023-03-27 20:14:21,Flexin - Payment,$-96.82,"$19,052.77"
2023-04-03 18:31:01,youGrocery - Payment,$-69.74,"$18,983.03"
2023-04-04 16:22:39,youGrocery - Payment,$-29.42,"$18,953.61"
