date,description,amount,balance
2023-01-02 13:15:17,Fitr - Payment,$-45.98,"$29,794.99"
2023-01-04 18:51:43,Fitr - Payment,$-78.92,"$29,716.07"
2023-01-11 09:57:28,AffordableHub - Payment,$-67.45,"$29,648.62"
2023-01-14 11:00:40,AffordableHub - Payment,$-189.76,"$29,458.86"
2023-01-14 17:56:11,Fitr - Payment,$-21.82,"$29,437.04"
2023-01-21 19:35:53,Fitr - Payment,$-50.37,"$29,386.67"
2023-01-23 16:16:16,Fitr - Payment,$-168.25,"$29,218.42"
2023-01-25 16:31:37,AffordableHub - Payment,$-117.70,"$29,100.72"
2023-01-29 15:34:15,StrongLink - Payment,$-177.30,"$28,923.42"
2023-02-02 21:17:30,youGrocery - Payment,$-139.70,"$28,783.72"
2023-02-06 18:15:57,Fitr - Payment,$-122.40,"$28,661.32"
2023-02-07 16:47:36,Flexin - Payment,$-129.51,"$28,531.81"
2023-02-08 19:28:05,AffordableHub - Payment,$-74.33,"$28,457.48"
2023-02-08 21:07:31,Fitr - Payment,$-148.89,"$28,308.59"
2023-02-14 08:50:57,Fitr - Payment,$-196.21,"$28,112.38"
2023-02-15 10:37:37,Fitr - Payment,$-86.41,"$28,025.97"
2023-02-25 20:30:05,Fitr - Payment,$-73.85,"$27,952.12"
2023-02-28 10:15:01,Fitr - Payment,$-137.86,"$27,814.26"
2023-03-03 17:58:38,StrongLink - Payment,$-94.18,"$27,720.08"
2023-03-04 17:51:28,AffordableHub - Payment,$-95.75,"$27,624.33"
2023-03-07 19:33:01,AffordableHub - Payment,$-159.52,"$27,464.81"
2023-03-10 19:11:53,Fitr - Payment,$-196.94,"$27,267.87"
2023-03-11 17:39:02,Fitr - Payment,$-44.13,"$27,223.74"
2023-03-12 09:18:04,AffordableHub - Payment,$-131.60,"$27,092.14"
2023-03-14 20:55:04,Fitr - Payment,$-145.66,"$26,946.48"
2023-03-18 16:43:12,Fitr - Payment,$-70.72,"$26,875.76"
2023-03-19 09:28:39,Fitr - Payment,$-86.84,"$26,788.92"
