date,description,amount,balance
2023-01-01 19:55:04,Fitr - Payment,$-157.38,"$8,506.36"
2023-01-04 12:11:39,Fitr - Payment,$-103.88,"$8,402.48"
2023-01-06 00:00:00,Purchase by Fitr,"$1,000.00","$9,402.48"
2023-01-08 19:15:06,Fitr - Payment,$-110.40,"$9,292.08"
2023-01-11 13:26:52,Healthn - Payment,$-111.90,"$9,180.18"
2023-01-12 09:53:07,Healthn - Payment,$-140.46,"$9,039.72"
2023-01-12 21:09:00,Fitr - Payment,$-140.21,"$8,899.51"
2023-01-13 00:00:00,Purchase by Fitr,"$1,000.00","$9,808.37"
2023-01-13 09:07:33,Fitr - Payment,$-91.14,"$8,808.37"
2023-01-14 19:47:13,Fitr - Payment,$-166.48,"$9,641.89"
2023-01-16 18:33:58,Fitr - Payment,$-102.72,"$9,539.17"
2023-01-17 16:37:18,Fitr - Payment,$-33.52,"$9,505.65"
2023-01-19 13:45:57,Fitr - Payment,$-22.77,"$9,482.88"
2023-01-20 00:00:00,Purchase by Fitr,"$1,000.00","$10,406.40"
2023-01-20 11:05:58,Fitr - Payment,$-76.48,"$9,406.40"
2023-01-21 21:30:53,Fitr - Payment,$-189.40,"$10,217.00"
2023-01-22 10:03:48,Fitr - Payment,$-109.61,"$9,981.49"
2023-01-22 21:44:48,Healthn - Payment,$-125.90,"$10,091.10"
2023-01-25 12:50:56,Fitr - Payment,$-103.70,"$9,877.79"
2023-01-27 00:00:00,Purchase by Fitr,"$1,000.00","$10,682.93"
2023-01-27 12:15:39,Fitr - Payment,$-194.86,"$9,682.93"
2023-02-01 09:49:18,Fitr - Payment,$-89.60,"$10,593.33"
2023-02-03 00:00:00,Purchase by Fitr,"$1,000.00","$11,593.33"
2023-02-04 20:19:28,Fitr - Payment,$-78.33,"$11,515.00"
2023-02-05 15:28:14,Fitr - Payment,$-92.40,"$11,422.60"
2023-02-09 19:15:08,Healthn - Payment,$-185.29,"$11,237.31"
2023-02-10 00:00:00,Purchase by Fitr,"$1,000.00","$12,053.66"
2023-02-10 19:19:51,StrongLink - Payment,$-183.65,"$11,053.66"
2023-02-14 11:30:40,Fitr - Payment,$-59.54,"$11,994.12"
2023-02-15 18:34:05,Fitr - Payment,$-163.10,"$11,831.02"
2023-02-17 00:00:00,Purchase by Fitr,"$1,000.00","$12,831.02"
2023-02-20 19:20:54,Fitr - Payment,$-80.37,"$12,750.65"
