date,to,from_,size,type_
2023-01-01 11:13:48,(291) 845-0477,(722) 371-1657,262 characters,Received Text
2023-01-01 11:17:11,(791) 256-4809,(722) 371-1657,25 characters,Sent Text
2023-01-01 19:33:41,(791) 256-4809,(722) 371-1657,131 characters,Received Text
2023-01-02 08:32:12,(791) 256-4809,(722) 371-1657,115 minutes,Outbound Call
2023-01-02 18:26:19,(402) 950-1723,(722) 371-1657,220 characters,Sent Text
2023-01-02 19:26:16,(291) 845-0477,(722) 371-1657,335 characters,Sent Text
2023-01-02 21:34:46,(402) 950-1723,(722) 371-1657,85 minutes,Inbound Call
2023-01-03 14:15:27,(291) 845-0477,(722) 371-1657,302 characters,Received Text
2023-01-04 08:54:43,(791) 256-4809,(722) 371-1657,5.7 MB,Sent Media
2023-01-04 14:36:23,(791) 256-4809,(722) 371-1657,260 characters,Received Text
2023-01-04 18:11:53,(291) 845-0477,(722) 371-1657,18.4 MB,Sent Media
2023-01-05 14:50:06,(291) 845-0477,(722) 371-1657,52 minutes,Inbound Call
2023-01-05 15:11:18,(291) 845-0477,(722) 371-1657,3 characters,Sent Text
2023-01-05 16:48:55,(791) 256-4809,(722) 371-1657,180 characters,Sent Text
2023-01-05 17:06:51,(402) 950-1723,(722) 371-1657,42 minutes,Outbound Call
2023-01-05 19:14:12,(791) 256-4809,(722) 371-1657,254 characters,Received Text
2023-01-06 14:38:07,(791) 256-4809,(722) 371-1657,37 minutes,Outbound Call
2023-01-06 16:23:33,(291) 845-0477,(722) 371-1657,1.3 MB,Sent Media
2023-01-06 18:23:21,(791) 256-4809,(722) 371-1657,273 characters,Received Text
2023-01-06 18:37:39,(291) 845-0477,(722) 371-1657,4.1 MB,Received Media
2023-01-07 09:29:00,(402) 950-1723,(722) 371-1657,260 characters,Sent Text
2023-01-07 12:20:38,(402) 950-1723,(722) 371-1657,9 minutes,Outbound Call
2023-01-07 14:59:16,(291) 845-0477,(722) 371-1657,11 characters,Sent Text
2023-01-07 16:54:37,(402) 950-1723,(722) 371-1657,281 characters,Received Text
2023-01-07 17:27:11,(791) 256-4809,(722) 371-1657,29 characters,Received Text
2023-01-08 14:35:24,(402) 950-1723,(722) 371-1657,71 minutes,Inbound Call
2023-01-08 16:28:54,(791) 256-4809,(722) 371-1657,23 minutes,Outbound Call
2023-01-09 13:49:31,(291) 845-0477,(722) 371-1657,78 minutes,Outbound Call
2023-01-09 14:00:35,(791) 256-4809,(722) 371-1657,253 characters,Sent Text
2023-01-09 19:46:09,(791) 256-4809,(722) 371-1657,109 minutes,Outbound Call
2023-01-10 08:54:52,(791) 256-4809,(722) 371-1657,19 minutes,Outbound Call
2023-01-10 11:12:47,(402) 950-1723,(722) 371-1657,320 characters,Received Text
2023-01-10 18:10:58,(291) 845-0477,(722) 371-1657,9.1 MB,Received Media
2023-01-11 09:59:17,(402) 950-1723,(722) 371-1657,347 characters,Received Text
2023-01-11 11:51:22,(791) 256-4809,(722) 371-1657,72 minutes,Inbound Call
2023-01-11 11:59:11,(402) 950-1723,(722) 371-1657,34 characters,Sent Text
2023-01-11 15:20:50,(402) 950-1723,(722) 371-1657,19 minutes,Inbound Call
2023-01-11 16:39:48,(791) 256-4809,(722) 371-1657,113 characters,Received Text
2023-01-11 17:40:07,(291) 845-0477,(722) 371-1657,51 characters,Sent Text
2023-01-12 13:46:05,(402) 950-1723,(722) 371-1657,119 minutes,Outbound Call
2023-01-12 14:51:50,(291) 845-0477,(722) 371-1657,311 characters,Received Text
2023-01-12 16:20:05,(791) 256-4809,(722) 371-1657,45 minutes,Inbound Call
2023-01-12 20:55:01,(291) 845-0477,(722) 371-1657,1.5 MB,Sent Media
2023-01-13 18:13:44,(791) 256-4809,(722) 371-1657,76 characters,Received Text
2023-01-13 21:47:38,(291) 845-0477,(722) 371-1657,240 characters,Received Text
2023-01-14 13:22:39,(291) 845-0477,(722) 371-1657,3.1 MB,Sent Media
2023-01-14 17:16:02,(791) 256-4809,(722) 371-1657,61 minutes,Outbound Call
2023-01-14 19:48:13,(791) 256-4809,(722) 371-1657,58 minutes,Inbound Call
2023-01-15 17:32:49,(291) 845-0477,(722) 371-1657,83 minutes,Inbound Call
