date,description,amount,balance
2023-01-03 17:56:08,Flexin - Payment,$-67.64,"$19,100.50"
2023-01-04 17:51:14,youGrocery - Payment,$-129.70,"$18,970.80"
2023-01-15 08:54:39,AffordableHub - Payment,$-32.90,"$18,937.90"
2023-01-18 15:21:41,youGrocery - Payment,$-107.92,"$18,829.98"
2023-01-21 17:33:25,youGrocery - Payment,$-112.77,"$18,717.21"
2023-01-26 11:30:00,Flexin - Payment,$-105.90,"$18,557.89"
2023-01-26 12:50:10,youGrocery - Payment,$-53.42,"$18,663.79"
2023-01-30 16:26:39,youGrocery - Payment,$-70.26,"$18,487.63"
2023-02-07 17:12:04,youGrocery - Payment,$-79.88,"$18,407.75"
2023-02-08 13:23:25,Flexin - Payment,$-199.79,"$18,062.97"
2023-02-08 19:14:47,youGrocery - Payment,$-144.99,"$18,262.76"
2023-02-09 19:35:09,Foodr - Payment,$-160.52,"$17,902.45"
2023-02-12 18:27:56,youGrocery - Payment,$-50.63,"$17,851.82"
2023-02-17 13:54:32,AffordableHub - Payment,$-155.60,"$17,696.22"
2023-02-18 17:57:16,youGrocery - Payment,$-32.27,"$17,663.95"
2023-02-23 10:35:15,youGrocery - Payment,$-86.60,"$17,577.35"
2023-03-05 19:36:42,Flexin - Payment,$-23.14,"$17,554.21"
2023-03-10 11:46:48,Flexin - Payment,$-173.30,"$17,380.91"
2023-03-13 20:45:13,StrongLink - Payment,$-145.35,"$17,235.56"
2023-03-15 17:57:48,Healthn - Payment,$-168.13,"$17,067.43"
2023-03-20 19:12:01,Flexin - Payment,$-148.10,"$16,919.33"
2023-04-02 14:22:02,youGrocery - Payment,$-136.93,"$16,782.40"
2023-04-06 20:25:56,youGrocery - Payment,$-185.21,"$16,597.19"
2023-04-07 12:17:37,Flexin - Payment,$-191.46,"$16,405.73"
2023-04-13 10:28:27,youGrocery - Payment,$-161.78,"$16,243.95"
2023-04-15 14:01:34,AffordableHub - Payment,$-138.51,"$16,105.44"
2023-04-27 16:00:57,youGrocery - Payment,$-115.80,"$15,989.64"
2023-05-03 17:11:22,Foodr - Payment,$-41.25,"$15,948.39"
2023-05-04 10:18:30,Fitr - Payment,$-29.88,"$15,918.51"
2023-05-05 21:54:13,youGrocery - Payment,$-39.17,"$15,879.34"
2023-05-06 09:51:59,Flexin - Payment,$-112.13,"$15,767.21"
2023-05-07 15:08:24,youGrocery - Payment,$-166.82,"$15,600.39"
2023-05-09 18:43:48,youGrocery - Payment,$-27.69,"$15,572.70"
2023-05-12 17:59:44,Flexin - Payment,$-136.18,"$15,351.59"
2023-05-12 18:46:30,Foodr - Payment,$-84.93,"$15,487.77"
2023-05-19 17:07:04,youGrocery - Payment,$-87.76,"$15,263.83"
2023-05-22 17:25:23,youGrocery - Payment,$-149.50,"$15,114.33"
2023-05-30 15:50:51,youGrocery - Payment,$-151.42,"$14,962.91"
2023-06-01 16:18:21,youGrocery - Payment,$-30.73,"$14,932.18"
2023-06-04 14:35:07,youGrocery - Payment,$-34.54,"$14,897.64"
2023-06-05 13:26:40,youGrocery - Payment,$-80.39,"$14,817.25"
2023-06-08 21:29:55,youGrocery - Payment,$-123.00,"$14,694.25"
2023-06-12 10:10:04,youGrocery - Payment,$-98.46,"$14,595.79"
2023-06-18 15:57:09,youGrocery - Payment,$-136.64,"$14,459.15"
2023-06-20 12:42:02,youGrocery - Payment,$-84.63,"$14,374.52"
2023-07-11 10:05:48,youGrocery - Payment,$-121.85,"$14,252.67"
2023-07-13 12:50:17,youGrocery - Payment,$-176.15,"$14,076.52"
2023-07-13 21:30:45,Fitr - Payment,$-32.21,"$14,044.31"
2023-07-15 15:09:05,youGrocery - Payment,$-54.40,"$13,989.91"
2023-07-16 17:44:07,Foodr - Payment,$-172.90,"$13,817.01"
2023-07-17 16:30:03,youGrocery - Payment,$-47.93,"$13,769.08"
2023-07-20 10:54:10,youGrocery - Payment,$-133.46,"$13,635.62"
2023-07-22 12:32:30,youGrocery - Payment,$-80.79,"$13,554.83"
2023-07-25 15:30:08,Foodr - Payment,$-160.45,"$13,394.38"
2023-07-28 18:43:17,youGrocery - Payment,$-58.66,"$13,335.72"
2023-07-29 17:30:01,Healthn - Payment,$-87.60,"$13,248.12"
2023-08-04 13:29:35,youGrocery - Payment,$-103.75,"$13,144.37"
2023-08-05 09:51:34,youGrocery - Payment,$-121.68,"$13,022.69"
2023-08-08 15:28:55,Flexin - Payment,$-173.65,"$12,849.04"
2023-08-09 10:21:00,youGrocery - Payment,$-187.80,"$12,661.24"
2023-08-17 19:22:51,youGrocery - Payment,$-27.37,"$12,633.87"
2023-08-26 15:10:30,youGrocery - Payment,$-124.70,"$12,509.17"
2023-08-28 15:12:23,youGrocery - Payment,$-102.84,"$12,406.33"
2023-09-05 14:53:22,youGrocery - Payment,$-126.25,"$12,280.08"
2023-09-09 20:50:56,Foodr - Payment,$-99.12,"$12,180.96"
2023-09-14 20:12:58,youGrocery - Payment,$-37.84,"$12,143.12"
2023-09-24 19:11:11,AffordableHub - Payment,$-151.36,"$11,991.76"
2023-09-27 20:39:51,AffordableHub - Payment,$-154.85,"$11,836.91"
2023-10-04 14:49:24,youGrocery - Payment,$-43.12,"$11,793.79"
2023-10-08 19:21:54,youGrocery - Payment,$-47.30,"$11,746.49"
2023-10-14 08:24:03,Healthn - Payment,$-51.75,"$11,694.74"
2023-10-15 13:42:08,youGrocery - Payment,$-60.12,"$11,634.62"
2023-10-22 08:54:28,Flexin - Payment,$-194.57,"$11,440.05"
2023-10-27 21:56:54,youGrocery - Payment,$-181.50,"$11,258.55"
2023-10-31 13:06:51,youGrocery - Payment,$-63.86,"$11,194.69"
2023-11-01 12:38:33,youGrocery - Payment,$-44.95,"$11,149.74"
2023-11-09 17:18:30,Flexin - Payment,$-105.00,"$11,044.74"
2023-11-10 09:12:24,youGrocery - Payment,$-106.17,"$10,938.57"
2023-11-18 20:12:07,youGrocery - Payment,$-57.70,"$10,880.87"
2023-11-20 11:14:23,Flexin - Payment,$-195.58,"$10,685.29"
2023-11-22 11:12:16,youGrocery - Payment,$-195.50,"$10,489.79"
2023-11-24 15:21:39,Flexin - Payment,$-136.11,"$10,353.68"
2023-11-25 11:55:41,youGrocery - Payment,$-140.50,"$10,213.18"
2023-11-30 13:51:22,youGrocery - Payment,$-26.14,"$10,187.04"
2023-12-01 19:01:54,youGrocery - Payment,$-48.21,"$10,138.83"
2023-12-05 18:54:01,Foodr - Payment,$-90.40,"$10,048.43"
2023-12-09 16:58:17,youGrocery - Payment,$-96.56,"$9,951.87"
2023-12-13 09:33:17,Flexin - Payment,$-131.82,"$9,820.05"
2023-12-16 14:59:34,StrongLink - Payment,$-103.95,"$9,716.10"
2023-12-18 17:20:05,youGrocery - Payment,$-76.16,"$9,639.94"
2023-12-26 15:59:06,youGrocery - Payment,$-44.13,"$9,595.81"
2023-12-28 11:00:41,StrongLink - Payment,$-50.10,"$9,545.71"
2023-12-29 19:43:41,Flexin - Payment,$-131.63,"$9,414.08"
2023-12-31 14:28:15,Flexin - Payment,$-39.25,"$9,374.83"
2024-01-01 10:47:33,Foodr - Payment,$-105.86,"$9,268.97"
2024-01-02 10:21:09,Flexin - Payment,$-128.43,"$9,140.54"
2024-01-04 17:21:19,youGrocery - Payment,$-87.40,"$9,053.14"
2024-01-10 08:43:06,youGrocery - Payment,$-62.38,"$8,990.76"
2024-01-16 14:29:21,Flexin - Payment,$-132.30,"$8,858.46"
2024-01-22 09:34:11,Healthn - Payment,$-183.22,"$8,675.24"
2024-01-23 15:42:43,youGrocery - Payment,$-66.53,"$8,608.71"
2024-01-24 21:53:04,youGrocery - Payment,$-96.71,"$8,512.00"
