date,to,from_,size,type_
2023-01-01 11:13:48,(722) 371-1657,(291) 845-0477,262 characters,Sent Text
2023-01-01 14:34:40,(402) 950-1723,(291) 845-0477,93 minutes,Outbound Call
2023-01-01 19:03:14,(791) 256-4809,(291) 845-0477,14.9 MB,Sent Media
2023-01-01 20:31:09,(402) 950-1723,(291) 845-0477,10.3 MB,Sent Media
2023-01-02 09:09:23,(791) 256-4809,(291) 845-0477,60 characters,Received Text
2023-01-02 10:13:17,(791) 256-4809,(291) 845-0477,330 characters,Sent Text
2023-01-02 19:26:16,(722) 371-1657,(291) 845-0477,335 characters,Received Text
2023-01-02 19:41:26,(757) 911-4566,(291) 845-0477,272 characters,Sent Text
2023-01-02 21:19:47,(757) 911-4566,(291) 845-0477,68 characters,Received Text
2023-01-03 09:44:47,(791) 256-4809,(291) 845-0477,106 minutes,Inbound Call
2023-01-03 13:39:04,(791) 256-4809,(291) 845-0477,223 characters,Sent Text
2023-01-03 13:54:18,(402) 950-1723,(291) 845-0477,38 minutes,Inbound Call
2023-01-03 14:15:27,(722) 371-1657,(291) 845-0477,302 characters,Sent Text
2023-01-03 18:32:08,(757) 911-4566,(291) 845-0477,70 characters,Sent Text
2023-01-04 08:17:07,(791) 256-4809,(291) 845-0477,80 minutes,Inbound Call
2023-01-04 11:44:10,(791) 256-4809,(291) 845-0477,107 minutes,Outbound Call
2023-01-04 13:36:12,(757) 911-4566,(291) 845-0477,128 characters,Received Text
2023-01-04 18:11:53,(722) 371-1657,(291) 845-0477,18.4 MB,Received Media
2023-01-05 14:50:06,(722) 371-1657,(291) 845-0477,52 minutes,Outbound Call
2023-01-05 15:11:18,(722) 371-1657,(291) 845-0477,3 characters,Received Text
2023-01-06 16:23:33,(722) 371-1657,(291) 845-0477,1.3 MB,Received Media
2023-01-06 18:37:39,(722) 371-1657,(291) 845-0477,4.1 MB,Sent Media
2023-01-07 14:59:16,(722) 371-1657,(291) 845-0477,11 characters,Received Text
2023-01-07 20:28:25,(757) 911-4566,(291) 845-0477,308 characters,Sent Text
2023-01-08 14:05:05,(757) 911-4566,(291) 845-0477,6 minutes,Inbound Call
2023-01-08 14:09:16,(791) 256-4809,(291) 845-0477,38 minutes,Inbound Call
2023-01-08 18:22:55,(757) 911-4566,(291) 845-0477,47 minutes,Outbound Call
2023-01-09 11:37:05,(791) 256-4809,(291) 845-0477,326 characters,Sent Text
2023-01-09 13:49:31,(722) 371-1657,(291) 845-0477,78 minutes,Inbound Call
2023-01-09 19:40:47,(757) 911-4566,(291) 845-0477,85 minutes,Inbound Call
2023-01-10 18:10:58,(722) 371-1657,(291) 845-0477,9.1 MB,Sent Media
2023-01-11 13:27:50,(402) 950-1723,(291) 845-0477,200 characters,Received Text
2023-01-11 13:51:20,(402) 950-1723,(291) 845-0477,19 characters,Sent Text
2023-01-11 17:40:07,(722) 371-1657,(291) 845-0477,51 characters,Received Text
2023-01-12 10:00:08,(791) 256-4809,(291) 845-0477,155 characters,Received Text
2023-01-12 14:06:58,(757) 911-4566,(291) 845-0477,157 characters,Received Text
2023-01-12 14:51:50,(722) 371-1657,(291) 845-0477,311 characters,Sent Text
2023-01-12 16:33:45,(791) 256-4809,(291) 845-0477,4.4 MB,Sent Media
2023-01-12 20:14:30,(757) 911-4566,(291) 845-0477,205 characters,Sent Text
2023-01-12 20:55:01,(722) 371-1657,(291) 845-0477,1.5 MB,Received Media
2023-01-13 15:47:28,(791) 256-4809,(291) 845-0477,333 characters,Sent Text
2023-01-13 18:38:00,(757) 911-4566,(291) 845-0477,155 characters,Sent Text
2023-01-13 19:59:25,(791) 256-4809,(291) 845-0477,108 characters,Received Text
2023-01-13 21:47:38,(722) 371-1657,(291) 845-0477,240 characters,Sent Text
2023-01-14 09:19:44,(757) 911-4566,(291) 845-0477,81 characters,Sent Text
2023-01-14 09:21:31,(791) 256-4809,(291) 845-0477,4.5 MB,Sent Media
2023-01-14 13:22:39,(722) 371-1657,(291) 845-0477,3.1 MB,Received Media
2023-01-14 16:25:33,(757) 911-4566,(291) 845-0477,334 characters,Received Text
2023-01-14 17:47:14,(791) 256-4809,(291) 845-0477,82 characters,Received Text
2023-01-15 13:04:36,(791) 256-4809,(291) 845-0477,54 minutes,Inbound Call
2023-01-15 14:36:09,(402) 950-1723,(291) 845-0477,41 characters,Sent Text
2023-01-15 16:34:42,(791) 256-4809,(291) 845-0477,239 characters,Sent Text
2023-01-15 17:28:03,(402) 950-1723,(291) 845-0477,14 characters,Received Text
2023-01-15 17:32:49,(722) 371-1657,(291) 845-0477,83 minutes,Outbound Call
2023-01-15 19:45:39,(757) 911-4566,(291) 845-0477,56 characters,Received Text
2023-01-16 11:35:32,(402) 950-1723,(291) 845-0477,18.2 MB,Received Media
2023-01-16 11:36:54,(722) 371-1657,(291) 845-0477,12 characters,Sent Text
2023-01-16 11:41:53,(791) 256-4809,(291) 845-0477,90 minutes,Inbound Call
2023-01-16 15:26:12,(402) 950-1723,(291) 845-0477,20 characters,Sent Text
2023-01-16 17:12:41,(757) 911-4566,(291) 845-0477,91 minutes,Inbound Call
2023-01-16 17:31:51,(402) 950-1723,(291) 845-0477,53 characters,Received Text
2023-01-16 21:14:50,(757) 911-4566,(291) 845-0477,65 characters,Sent Text
2023-01-17 09:28:15,(757) 911-4566,(291) 845-0477,79 characters,Received Text
2023-01-17 13:51:15,(791) 256-4809,(291) 845-0477,20 minutes,Inbound Call
2023-01-17 20:54:03,(722) 371-1657,(291) 845-0477,186 characters,Received Text
2023-01-18 12:22:44,(791) 256-4809,(291) 845-0477,102 characters,Sent Text
2023-01-18 14:05:22,(722) 371-1657,(291) 845-0477,112 minutes,Outbound Call
2023-01-18 14:18:43,(722) 371-1657,(291) 845-0477,98 minutes,Inbound Call
2023-01-18 14:39:02,(757) 911-4566,(291) 845-0477,47 characters,Sent Text
2023-01-18 16:27:58,(722) 371-1657,(291) 845-0477,151 characters,Sent Text
2023-01-18 16:30:01,(722) 371-1657,(291) 845-0477,157 characters,Received Text
2023-01-18 18:10:59,(402) 950-1723,(291) 845-0477,71 characters,Sent Text
2023-01-18 18:35:56,(791) 256-4809,(291) 845-0477,76 minutes,Inbound Call
2023-01-19 15:56:28,(791) 256-4809,(291) 845-0477,307 characters,Sent Text
2023-01-19 16:30:46,(402) 950-1723,(291) 845-0477,46 characters,Sent Text
2023-01-19 21:32:59,(757) 911-4566,(291) 845-0477,309 characters,Sent Text
2023-01-20 17:36:34,(757) 911-4566,(291) 845-0477,16.0 MB,Received Media
2023-01-20 20:05:39,(791) 256-4809,(291) 845-0477,86 minutes,Inbound Call
2023-01-20 21:16:01,(757) 911-4566,(291) 845-0477,14 minutes,Inbound Call
2023-01-21 09:35:28,(757) 911-4566,(291) 845-0477,8.2 MB,Sent Media
2023-01-21 12:43:11,(402) 950-1723,(291) 845-0477,203 characters,Received Text
2023-01-21 17:39:49,(722) 371-1657,(291) 845-0477,2 characters,Sent Text
2023-01-21 21:23:13,(757) 911-4566,(291) 845-0477,115 characters,Sent Text
2023-01-22 09:25:57,(722) 371-1657,(291) 845-0477,61 characters,Received Text
2023-01-22 15:39:18,(402) 950-1723,(291) 845-0477,313 characters,Received Text
2023-01-22 17:22:23,(757) 911-4566,(291) 845-0477,315 characters,Sent Text
2023-01-22 18:09:27,(791) 256-4809,(291) 845-0477,75 minutes,Outbound Call
2023-01-22 20:20:58,(791) 256-4809,(291) 845-0477,32 characters,Received Text
2023-01-22 20:31:03,(722) 371-1657,(291) 845-0477,33 minutes,Outbound Call
2023-01-22 21:38:12,(402) 950-1723,(291) 845-0477,11.9 MB,Received Media
2023-01-23 09:43:49,(791) 256-4809,(291) 845-0477,82 minutes,Outbound Call
2023-01-23 14:13:51,(757) 911-4566,(291) 845-0477,80 minutes,Outbound Call
2023-01-23 16:18:23,(757) 911-4566,(291) 845-0477,14.5 MB,Received Media
2023-01-23 20:40:43,(722) 371-1657,(291) 845-0477,228 characters,Received Text
2023-01-24 14:36:59,(791) 256-4809,(291) 845-0477,148 characters,Received Text
2023-01-24 15:57:11,(791) 256-4809,(291) 845-0477,22 minutes,Outbound Call
2023-01-24 18:11:53,(757) 911-4566,(291) 845-0477,11.8 MB,Sent Media
2023-01-24 20:32:26,(722) 371-1657,(291) 845-0477,279 characters,Sent Text
2023-01-24 21:06:44,(402) 950-1723,(291) 845-0477,217 characters,Sent Text
2023-01-25 09:40:44,(402) 950-1723,(291) 845-0477,50 characters,Received Text
2023-01-25 09:47:19,(722) 371-1657,(291) 845-0477,64 minutes,Inbound Call
2023-01-25 15:11:38,(791) 256-4809,(291) 845-0477,88 characters,Received Text
2023-01-25 19:27:33,(722) 371-1657,(291) 845-0477,41 characters,Sent Text
2023-01-26 11:13:08,(791) 256-4809,(291) 845-0477,85 characters,Sent Text
2023-01-26 11:19:47,(722) 371-1657,(291) 845-0477,257 characters,Received Text
2023-01-26 19:11:37,(402) 950-1723,(291) 845-0477,293 characters,Sent Text
2023-01-26 19:38:26,(791) 256-4809,(291) 845-0477,334 characters,Received Text
2023-01-27 10:29:30,(722) 371-1657,(291) 845-0477,65 characters,Sent Text
2023-01-27 17:02:02,(722) 371-1657,(291) 845-0477,24 characters,Received Text
2023-01-28 10:17:03,(722) 371-1657,(291) 845-0477,294 characters,Received Text
2023-01-28 14:36:28,(722) 371-1657,(291) 845-0477,267 characters,Sent Text
2023-01-28 14:50:40,(791) 256-4809,(291) 845-0477,101 characters,Sent Text
2023-01-28 18:41:20,(402) 950-1723,(291) 845-0477,119 minutes,Outbound Call
2023-01-28 21:03:10,(757) 911-4566,(291) 845-0477,47 characters,Received Text
2023-01-29 08:24:02,(402) 950-1723,(291) 845-0477,45 minutes,Outbound Call
2023-01-29 11:02:47,(757) 911-4566,(291) 845-0477,114 minutes,Inbound Call
2023-01-29 12:05:25,(757) 911-4566,(291) 845-0477,119 characters,Received Text
2023-01-29 15:53:20,(757) 911-4566,(291) 845-0477,16.7 MB,Received Media
2023-01-29 15:55:11,(757) 911-4566,(291) 845-0477,217 characters,Sent Text
2023-01-29 16:51:10,(402) 950-1723,(291) 845-0477,276 characters,Received Text
2023-01-29 20:48:13,(402) 950-1723,(291) 845-0477,1.9 MB,Sent Media
2023-01-30 08:21:32,(402) 950-1723,(291) 845-0477,325 characters,Sent Text
