date,description,amount,balance
2023-01-01 18:30:49,Foodr - Payment,$-56.66,"$41,403.31"
2023-01-04 12:19:34,StrongLink - Payment,$-154.80,"$41,248.51"
2023-01-06 09:04:48,StrongLink - Payment,$-199.90,"$41,016.96"
2023-01-06 21:11:11,Foodr - Payment,$-31.65,"$41,216.86"
2023-01-07 11:23:58,StrongLink - Payment,$-180.95,"$40,836.01"
2023-01-08 13:56:13,StrongLink - Payment,$-74.33,"$40,631.24"
2023-01-08 18:25:33,Foodr - Payment,$-130.44,"$40,705.57"
2023-01-11 11:58:08,youGrocery - Payment,$-149.42,"$40,481.82"
2023-01-13 20:27:38,Flexin - Payment,$-117.72,"$40,215.43"
2023-01-13 21:11:14,Foodr - Payment,$-148.67,"$40,333.15"
2023-01-15 19:58:00,Foodr - Payment,$-138.12,"$40,077.31"
2023-01-18 16:05:32,StrongLink - Payment,$-121.59,"$39,955.72"
2023-01-19 11:58:56,StrongLink - Payment,$-121.93,"$39,710.01"
2023-01-19 12:15:51,Foodr - Payment,$-123.78,"$39,831.94"
2023-01-20 19:13:29,Flexin - Payment,$-161.40,"$39,548.61"
2023-01-21 09:49:38,Flexin - Payment,$-56.76,"$39,491.85"
2023-01-22 20:37:49,Flexin - Payment,$-100.63,"$39,391.22"
2023-01-23 20:29:05,StrongLink - Payment,$-38.78,"$39,352.44"
2023-01-24 13:53:25,Foodr - Payment,$-48.83,"$39,303.61"
2023-01-24 17:38:31,Flexin - Payment,$-197.26,"$39,106.35"
2023-01-25 08:17:39,Foodr - Payment,$-170.89,"$38,935.46"
2023-01-25 08:38:34,StrongLink - Payment,$-105.16,"$38,830.30"
2023-01-28 16:44:48,StrongLink - Payment,$-153.36,"$38,676.94"
2023-01-29 11:19:48,Foodr - Payment,$-39.50,"$38,637.44"
2023-01-30 11:05:17,Foodr - Payment,$-195.59,"$38,441.85"
2023-02-02 14:19:17,StrongLink - Payment,$-133.79,"$38,308.06"
2023-02-03 15:58:20,Flexin - Payment,$-151.96,"$38,156.10"
2023-02-04 20:58:23,StrongLink - Payment,$-140.86,"$38,015.24"
2023-02-05 15:20:12,StrongLink - Payment,$-161.70,"$37,853.54"
2023-02-06 08:42:23,Foodr - Payment,$-33.97,"$37,819.57"
2023-02-06 12:39:45,StrongLink - Payment,$-183.14,"$37,636.43"
2023-02-07 20:42:57,StrongLink - Payment,$-62.66,"$37,573.77"
2023-02-09 15:30:35,Foodr - Payment,$-93.44,"$37,480.33"
2023-02-13 19:03:48,StrongLink - Payment,$-105.67,"$37,374.66"
2023-02-15 15:28:30,StrongLink - Payment,$-133.70,"$37,240.96"
2023-02-16 08:56:07,StrongLink - Payment,$-27.71,"$37,213.25"
2023-02-18 09:08:24,Foodr - Payment,$-195.50,"$37,017.75"
2023-02-18 09:42:37,StrongLink - Payment,$-45.75,"$36,972.00"
2023-02-19 12:23:25,AffordableHub - Payment,$-66.32,"$36,905.68"
2023-02-19 16:39:36,Flexin - Payment,$-172.70,"$36,732.98"
2023-02-21 10:45:46,StrongLink - Payment,$-151.73,"$36,581.25"
2023-02-22 17:23:12,StrongLink - Payment,$-67.41,"$36,513.84"
2023-02-23 10:10:41,StrongLink - Payment,$-68.28,"$36,445.56"
2023-02-24 18:12:09,StrongLink - Payment,$-151.66,"$36,293.90"
2023-03-01 20:57:28,Flexin - Payment,$-58.10,"$36,235.80"
2023-03-02 11:05:14,StrongLink - Payment,$-84.59,"$36,012.25"
2023-03-02 16:22:28,Foodr - Payment,$-138.96,"$36,096.84"
2023-03-06 21:43:49,Foodr - Payment,$-142.66,"$35,869.59"
2023-03-07 12:40:52,Foodr - Payment,$-48.44,"$35,821.15"
2023-03-07 17:54:40,StrongLink - Payment,$-116.15,"$35,705.00"
2023-03-11 08:57:55,Flexin - Payment,$-61.53,"$35,643.47"
2023-03-14 10:38:14,Foodr - Payment,$-65.60,"$35,577.87"
2023-03-15 21:07:33,Foodr - Payment,$-160.76,"$35,417.11"
2023-03-16 13:25:20,StrongLink - Payment,$-38.20,"$35,378.91"
2023-03-17 10:02:55,Foodr - Payment,$-110.66,"$35,268.25"
2023-03-17 21:08:17,StrongLink - Payment,$-33.70,"$35,234.55"
2023-03-18 16:27:58,StrongLink - Payment,$-174.79,"$35,059.76"
2023-03-19 08:12:47,StrongLink - Payment,$-52.32,"$35,007.44"
2023-03-21 10:32:21,StrongLink - Payment,$-110.48,"$34,896.96"
2023-03-22 17:16:24,Foodr - Payment,$-193.72,"$34,703.24"
2023-03-23 11:59:46,Fitr - Payment,$-113.88,"$34,589.36"
2023-03-27 10:02:18,StrongLink - Payment,$-62.16,"$34,527.20"
2023-03-28 18:10:19,StrongLink - Payment,$-101.83,"$34,425.37"
2023-03-30 19:17:13,Foodr - Payment,$-159.35,"$34,266.02"
2023-04-01 20:43:29,StrongLink - Payment,$-141.29,"$34,124.73"
2023-04-02 17:19:26,StrongLink - Payment,$-160.25,"$33,964.48"
2023-04-03 13:13:00,StrongLink - Payment,$-96.98,"$33,867.50"
2023-04-04 12:56:12,StrongLink - Payment,$-171.69,"$33,695.81"
2023-04-05 11:09:07,Foodr - Payment,$-69.38,"$33,626.43"
2023-04-05 12:27:27,Flexin - Payment,$-86.50,"$33,539.93"
2023-04-07 14:43:55,Foodr - Payment,$-148.38,"$33,391.55"
2023-04-07 20:13:41,StrongLink - Payment,$-69.56,"$33,321.99"
2023-04-08 18:56:51,StrongLink - Payment,$-58.50,"$33,263.49"
2023-04-10 20:42:02,StrongLink - Payment,$-107.92,"$33,155.57"
2023-04-11 13:05:35,StrongLink - Payment,$-87.93,"$33,067.64"
2023-04-13 16:05:05,StrongLink - Payment,$-143.43,"$32,924.21"
2023-04-14 14:33:17,StrongLink - Payment,$-183.78,"$32,740.43"
2023-04-15 21:43:58,StrongLink - Payment,$-192.32,"$32,548.11"
2023-04-16 12:03:28,StrongLink - Payment,$-101.43,"$32,446.68"
2023-04-18 10:21:15,StrongLink - Payment,$-135.42,"$32,167.97"
2023-04-18 21:40:55,Foodr - Payment,$-143.29,"$32,303.39"
2023-04-20 19:43:41,StrongLink - Payment,$-186.45,"$31,981.52"
2023-04-21 15:05:57,StrongLink - Payment,$-162.85,"$31,818.67"
2023-04-23 10:11:33,Flexin - Payment,$-199.77,"$31,618.90"
