date,description,amount,balance
2023-01-12 19:59:28,youGrocery - Payment,$-39.34,"$45,982.47"
2023-01-14 15:02:59,AffordableHub - Payment,$-70.17,"$45,912.30"
2023-01-15 18:01:32,Healthn - Payment,$-170.42,"$45,741.88"
2023-01-18 13:44:40,youGrocery - Payment,$-98.45,"$45,643.43"
2023-01-19 17:04:29,Healthn - Payment,$-60.70,"$45,582.73"
2023-01-24 12:02:39,Healthn - Payment,$-83.40,"$45,499.33"
2023-02-02 14:53:43,Healthn - Payment,$-137.22,"$45,362.11"
2023-02-07 08:42:11,Healthn - Payment,$-142.15,"$45,219.96"
2023-02-12 08:03:58,Healthn - Payment,$-27.97,"$45,191.99"
2023-02-18 11:17:13,Healthn - Payment,$-168.14,"$45,023.85"
2023-02-20 09:50:29,Foodr - Payment,$-124.85,"$44,899.00"
2023-02-27 10:44:13,Healthn - Payment,$-51.97,"$44,847.03"
2023-03-09 10:14:22,AffordableHub - Payment,$-148.21,"$44,698.82"
2023-03-12 12:08:45,StrongLink - Payment,$-20.85,"$44,677.97"
2023-03-13 18:55:07,Foodr - Payment,$-135.74,"$44,542.23"
2023-03-14 13:35:27,Healthn - Payment,$-98.39,"$44,443.84"
2023-03-17 19:54:30,Flexin - Payment,$-151.64,"$44,292.20"
2023-03-25 14:19:24,AffordableHub - Payment,$-42.93,"$44,249.27"
2023-03-31 19:06:43,Healthn - Payment,$-171.64,"$44,077.63"
2023-04-10 20:48:08,Foodr - Payment,$-133.78,"$43,943.85"
2023-04-14 15:15:44,Healthn - Payment,$-81.91,"$43,861.94"
2023-04-16 08:32:37,Healthn - Payment,$-148.60,"$43,713.34"
2023-04-23 19:42:16,Healthn - Payment,$-171.34,"$43,542.00"
2023-04-27 21:44:06,Healthn - Payment,$-41.50,"$43,500.50"
2023-04-28 12:16:29,Healthn - Payment,$-58.92,"$43,441.58"
2023-05-08 12:03:37,Healthn - Payment,$-40.22,"$43,401.36"
2023-05-10 21:09:58,Healthn - Payment,$-45.90,"$43,355.46"
2023-05-22 09:57:42,Foodr - Payment,$-70.93,"$43,284.53"
2023-05-23 12:05:34,Healthn - Payment,$-112.60,"$43,171.93"
2023-05-26 15:10:47,Flexin - Payment,$-166.78,"$43,005.15"
2023-05-30 10:54:00,Flexin - Payment,$-183.90,"$42,821.25"
2023-06-03 18:27:08,Healthn - Payment,$-126.51,"$42,694.74"
2023-06-09 12:16:18,Healthn - Payment,$-50.75,"$42,643.99"
2023-06-12 11:29:00,Healthn - Payment,$-165.26,"$42,478.73"
2023-06-21 17:41:45,Healthn - Payment,$-33.10,"$42,445.63"
2023-07-03 20:02:54,Healthn - Payment,$-28.70,"$42,416.93"
2023-07-06 13:33:59,Healthn - Payment,$-178.38,"$42,238.55"
2023-07-08 17:12:25,Healthn - Payment,$-75.94,"$42,162.61"
2023-07-09 15:07:43,Healthn - Payment,$-125.39,"$42,037.22"
2023-07-15 12:45:24,Healthn - Payment,$-48.85,"$41,988.37"
2023-07-23 09:14:43,Healthn - Payment,$-185.49,"$41,802.88"
2023-07-27 19:50:11,Healthn - Payment,$-57.43,"$41,745.45"
2023-07-28 09:48:01,Healthn - Payment,$-118.45,"$41,627.00"
2023-07-31 20:53:26,Healthn - Payment,$-179.79,"$41,447.21"
2023-08-14 18:50:24,Healthn - Payment,$-177.31,"$41,269.90"
2023-08-21 12:07:37,Healthn - Payment,$-190.38,"$41,079.52"
2023-09-06 18:11:30,Healthn - Payment,$-189.16,"$40,890.36"
2023-09-08 16:56:23,Healthn - Payment,$-73.88,"$40,816.48"
2023-09-09 20:27:45,Healthn - Payment,$-79.13,"$40,737.35"
2023-09-11 13:29:32,Healthn - Payment,$-113.82,"$40,623.53"
