date,to,from_,size,type_
2023-01-01 09:58:24,(554) 282-0564,(205) 161-1637,26 minutes,Outbound Call
2023-01-01 11:03:00,(426) 746-3751,(205) 161-1637,319 characters,Sent Text
2023-01-01 12:02:05,(426) 746-3751,(205) 161-1637,248 characters,Received Text
2023-01-01 12:43:38,(726) 615-6200,(205) 161-1637,132 characters,Received Text
2023-01-01 15:26:12,(554) 282-0564,(205) 161-1637,71 minutes,Inbound Call
2023-01-01 16:42:07,(276) 834-1693,(205) 161-1637,330 characters,Sent Text
2023-01-01 17:29:20,(726) 615-6200,(205) 161-1637,83 minutes,Outbound Call
2023-01-01 21:39:20,(276) 834-1693,(205) 161-1637,74 minutes,Inbound Call
2023-01-02 09:52:13,(276) 834-1693,(205) 161-1637,212 characters,Received Text
2023-01-02 14:55:12,(726) 615-6200,(205) 161-1637,314 characters,Sent Text
2023-01-02 18:34:00,(726) 615-6200,(205) 161-1637,70 characters,Received Text
2023-01-02 19:50:44,(726) 615-6200,(205) 161-1637,106 minutes,Inbound Call
2023-01-03 11:30:46,(554) 282-0564,(205) 161-1637,96 minutes,Inbound Call
2023-01-03 12:09:20,(554) 282-0564,(205) 161-1637,96 characters,Sent Text
2023-01-03 14:49:48,(276) 834-1693,(205) 161-1637,35 minutes,Outbound Call
2023-01-03 17:50:41,(276) 834-1693,(205) 161-1637,46 characters,Sent Text
2023-01-03 18:28:29,(554) 282-0564,(205) 161-1637,208 characters,Received Text
2023-01-04 09:07:15,(426) 746-3751,(205) 161-1637,104 minutes,Inbound Call
2023-01-04 12:43:49,(426) 746-3751,(205) 161-1637,30 minutes,Outbound Call
2023-01-04 16:24:06,(276) 834-1693,(205) 161-1637,142 characters,Sent Text
2023-01-05 08:08:33,(726) 615-6200,(205) 161-1637,69 characters,Sent Text
2023-01-05 11:51:48,(554) 282-0564,(205) 161-1637,277 characters,Sent Text
2023-01-05 12:05:53,(726) 615-6200,(205) 161-1637,50 minutes,Inbound Call
2023-01-05 12:31:19,(554) 282-0564,(205) 161-1637,298 characters,Received Text
2023-01-05 15:13:57,(276) 834-1693,(205) 161-1637,41 characters,Received Text
2023-01-05 16:02:32,(426) 746-3751,(205) 161-1637,178 characters,Received Text
2023-01-06 16:58:58,(276) 834-1693,(205) 161-1637,61 minutes,Outbound Call
2023-01-07 08:39:22,(426) 746-3751,(205) 161-1637,153 characters,Received Text
2023-01-07 10:02:05,(276) 834-1693,(205) 161-1637,13.7 MB,Received Media
2023-01-07 11:15:38,(554) 282-0564,(205) 161-1637,74 minutes,Inbound Call
2023-01-07 12:40:26,(276) 834-1693,(205) 161-1637,77 characters,Received Text
2023-01-07 13:36:03,(554) 282-0564,(205) 161-1637,33 characters,Sent Text
2023-01-07 18:02:56,(726) 615-6200,(205) 161-1637,314 characters,Sent Text
2023-01-07 19:08:53,(426) 746-3751,(205) 161-1637,110 characters,Sent Text
2023-01-08 16:55:41,(276) 834-1693,(205) 161-1637,23 characters,Sent Text
2023-01-09 13:08:47,(426) 746-3751,(205) 161-1637,10 characters,Sent Text
2023-01-09 17:37:26,(726) 615-6200,(205) 161-1637,67 minutes,Inbound Call
2023-01-09 18:30:28,(726) 615-6200,(205) 161-1637,10.5 MB,Sent Media
2023-01-09 19:50:25,(554) 282-0564,(205) 161-1637,20 characters,Received Text
2023-01-10 21:19:47,(554) 282-0564,(205) 161-1637,145 characters,Sent Text
2023-01-11 08:17:49,(276) 834-1693,(205) 161-1637,262 characters,Sent Text
2023-01-11 08:56:25,(554) 282-0564,(205) 161-1637,233 characters,Received Text
2023-01-11 11:44:51,(276) 834-1693,(205) 161-1637,77 minutes,Outbound Call
2023-01-11 17:53:29,(426) 746-3751,(205) 161-1637,252 characters,Sent Text
2023-01-12 13:01:50,(554) 282-0564,(205) 161-1637,160 characters,Sent Text
2023-01-12 15:20:42,(554) 282-0564,(205) 161-1637,66 minutes,Outbound Call
2023-01-12 19:28:23,(276) 834-1693,(205) 161-1637,239 characters,Received Text
2023-01-12 19:53:58,(276) 834-1693,(205) 161-1637,244 characters,Sent Text
2023-01-12 20:13:56,(726) 615-6200,(205) 161-1637,49 minutes,Outbound Call
2023-01-13 10:56:49,(554) 282-0564,(205) 161-1637,201 characters,Received Text
2023-01-13 14:33:29,(276) 834-1693,(205) 161-1637,38 characters,Sent Text
2023-01-13 18:22:26,(726) 615-6200,(205) 161-1637,214 characters,Sent Text
2023-01-13 20:07:14,(426) 746-3751,(205) 161-1637,94 minutes,Inbound Call
2023-01-14 11:09:02,(426) 746-3751,(205) 161-1637,63 characters,Sent Text
2023-01-14 14:20:54,(554) 282-0564,(205) 161-1637,21 minutes,Outbound Call
2023-01-14 15:56:08,(554) 282-0564,(205) 161-1637,60 characters,Sent Text
2023-01-14 20:53:25,(726) 615-6200,(205) 161-1637,19 characters,Received Text
2023-01-14 21:17:24,(276) 834-1693,(205) 161-1637,108 characters,Received Text
2023-01-15 11:29:59,(726) 615-6200,(205) 161-1637,199 characters,Sent Text
2023-01-15 11:35:38,(426) 746-3751,(205) 161-1637,293 characters,Received Text
2023-01-15 12:28:52,(554) 282-0564,(205) 161-1637,188 characters,Sent Text
2023-01-15 14:03:28,(554) 282-0564,(205) 161-1637,117 minutes,Inbound Call
2023-01-15 17:44:23,(426) 746-3751,(205) 161-1637,107 characters,Sent Text
2023-01-15 19:54:07,(554) 282-0564,(205) 161-1637,115 minutes,Outbound Call
2023-01-16 13:03:45,(276) 834-1693,(205) 161-1637,23 minutes,Inbound Call
2023-01-16 13:47:52,(276) 834-1693,(205) 161-1637,238 characters,Received Text
2023-01-16 16:40:22,(426) 746-3751,(205) 161-1637,199 characters,Sent Text
2023-01-16 18:29:53,(554) 282-0564,(205) 161-1637,69 characters,Received Text
2023-01-16 21:35:08,(276) 834-1693,(205) 161-1637,202 characters,Sent Text
2023-01-17 15:30:34,(726) 615-6200,(205) 161-1637,47 characters,Received Text
2023-01-17 18:20:59,(426) 746-3751,(205) 161-1637,48 characters,Received Text
2023-01-17 18:21:45,(276) 834-1693,(205) 161-1637,71 characters,Sent Text
2023-01-18 15:48:12,(726) 615-6200,(205) 161-1637,188 characters,Received Text
2023-01-18 19:33:18,(726) 615-6200,(205) 161-1637,300 characters,Sent Text
2023-01-19 08:18:30,(726) 615-6200,(205) 161-1637,92 characters,Sent Text
2023-01-19 12:42:31,(726) 615-6200,(205) 161-1637,11 characters,Received Text
2023-01-19 18:39:40,(426) 746-3751,(205) 161-1637,28 characters,Sent Text
2023-01-19 19:21:07,(276) 834-1693,(205) 161-1637,224 characters,Received Text
2023-01-19 20:09:04,(554) 282-0564,(205) 161-1637,168 characters,Sent Text
2023-01-20 11:35:02,(276) 834-1693,(205) 161-1637,105 minutes,Inbound Call
2023-01-20 16:55:37,(426) 746-3751,(205) 161-1637,61 minutes,Inbound Call
2023-01-21 09:27:44,(426) 746-3751,(205) 161-1637,256 characters,Sent Text
2023-01-21 10:16:00,(426) 746-3751,(205) 161-1637,16.2 MB,Sent Media
2023-01-21 12:32:02,(426) 746-3751,(205) 161-1637,19.3 MB,Received Media
2023-01-21 18:16:56,(726) 615-6200,(205) 161-1637,93 characters,Sent Text
2023-01-22 13:13:59,(726) 615-6200,(205) 161-1637,13.6 MB,Received Media
2023-01-22 18:37:28,(426) 746-3751,(205) 161-1637,66 characters,Sent Text
2023-01-22 20:33:42,(554) 282-0564,(205) 161-1637,217 characters,Sent Text
2023-01-23 09:52:17,(554) 282-0564,(205) 161-1637,99 minutes,Inbound Call
2023-01-23 11:12:19,(554) 282-0564,(205) 161-1637,198 characters,Received Text
2023-01-23 11:12:30,(276) 834-1693,(205) 161-1637,345 characters,Received Text
2023-01-23 17:53:49,(426) 746-3751,(205) 161-1637,22 minutes,Inbound Call
2023-01-23 19:33:09,(276) 834-1693,(205) 161-1637,17 minutes,Inbound Call
2023-01-23 20:28:49,(426) 746-3751,(205) 161-1637,2.4 MB,Sent Media
2023-01-24 09:00:54,(554) 282-0564,(205) 161-1637,58 characters,Sent Text
2023-01-24 12:03:28,(554) 282-0564,(205) 161-1637,1.6 MB,Received Media
2023-01-24 12:37:01,(426) 746-3751,(205) 161-1637,18 minutes,Inbound Call
2023-01-24 12:59:32,(726) 615-6200,(205) 161-1637,238 characters,Sent Text
2023-01-24 13:19:11,(426) 746-3751,(205) 161-1637,292 characters,Sent Text
2023-01-24 20:32:37,(554) 282-0564,(205) 161-1637,46 minutes,Outbound Call
2023-01-25 10:18:46,(726) 615-6200,(205) 161-1637,15 characters,Sent Text
2023-01-25 21:47:54,(276) 834-1693,(205) 161-1637,283 characters,Received Text
2023-01-25 21:55:37,(426) 746-3751,(205) 161-1637,14 minutes,Inbound Call
2023-01-26 09:25:24,(276) 834-1693,(205) 161-1637,5.9 MB,Received Media
2023-01-26 10:30:43,(426) 746-3751,(205) 161-1637,75 characters,Received Text
2023-01-26 21:16:00,(726) 615-6200,(205) 161-1637,282 characters,Sent Text
2023-01-27 08:11:59,(726) 615-6200,(205) 161-1637,18.4 MB,Sent Media
2023-01-27 08:28:12,(276) 834-1693,(205) 161-1637,119 minutes,Outbound Call
2023-01-27 18:16:13,(554) 282-0564,(205) 161-1637,245 characters,Sent Text
2023-01-27 18:44:13,(276) 834-1693,(205) 161-1637,261 characters,Received Text
2023-01-27 21:35:47,(726) 615-6200,(205) 161-1637,67 minutes,Inbound Call
2023-01-28 11:10:14,(276) 834-1693,(205) 161-1637,267 characters,Sent Text
2023-01-28 13:22:04,(426) 746-3751,(205) 161-1637,113 minutes,Inbound Call
2023-01-28 13:49:23,(426) 746-3751,(205) 161-1637,11.0 MB,Received Media
2023-01-28 16:40:28,(426) 746-3751,(205) 161-1637,79 characters,Received Text
2023-01-28 19:33:22,(426) 746-3751,(205) 161-1637,80 characters,Sent Text
2023-01-28 20:38:59,(726) 615-6200,(205) 161-1637,65 characters,Sent Text
2023-01-29 11:19:51,(426) 746-3751,(205) 161-1637,30 minutes,Outbound Call
2023-01-29 13:18:43,(554) 282-0564,(205) 161-1637,61 minutes,Inbound Call
