date,description,amount,balance
2023-01-01 09:11:23,StrongLink - Payment,$-129.15,"$11,337.12"
2023-01-03 12:01:40,StrongLink - Payment,$-104.81,"$11,232.31"
2023-01-04 12:33:14,StrongLink - Payment,$-177.89,"$10,924.49"
2023-01-04 15:49:18,Healthn - Payment,$-129.93,"$11,102.38"
2023-01-06 13:30:03,StrongLink - Payment,$-83.66,"$10,840.83"
2023-01-09 17:41:20,StrongLink - Payment,$-191.24,"$10,649.59"
2023-01-11 10:38:18,StrongLink - Payment,$-164.29,"$10,485.30"
2023-01-17 10:29:58,StrongLink - Payment,$-79.53,"$10,405.77"
2023-01-18 21:18:13,Healthn - Payment,$-29.20,"$10,376.57"
2023-01-20 13:42:36,StrongLink - Payment,$-84.67,"$10,291.90"
2023-01-23 18:12:50,StrongLink - Payment,$-163.96,"$10,127.94"
2023-02-02 15:48:16,StrongLink - Payment,$-27.25,"$10,100.69"
2023-02-03 14:09:40,StrongLink - Payment,$-49.96,"$10,050.73"
2023-02-08 08:33:51,Healthn - Payment,$-118.33,"$9,932.40"
2023-02-08 13:59:58,Fitr - Payment,$-61.12,"$9,871.28"
2023-02-18 15:31:40,Foodr - Payment,$-120.31,"$9,750.97"
2023-02-21 15:07:00,StrongLink - Payment,$-139.39,"$9,611.58"
2023-03-06 10:58:48,Healthn - Payment,$-118.47,"$9,493.11"
2023-03-07 13:09:48,Healthn - Payment,$-124.34,"$9,368.77"
2023-03-07 13:31:30,StrongLink - Payment,$-53.48,"$9,315.29"
2023-03-08 16:27:22,Healthn - Payment,$-85.76,"$9,229.53"
2023-03-09 13:41:08,Healthn - Payment,$-50.74,"$9,178.79"
2023-03-10 09:19:09,Healthn - Payment,$-129.11,"$9,049.68"
2023-03-12 14:12:56,StrongLink - Payment,$-173.88,"$8,875.80"
2023-03-15 10:45:11,StrongLink - Payment,$-31.62,"$8,844.18"
2023-03-24 13:36:19,Foodr - Payment,$-37.00,"$8,807.18"
2023-03-28 13:21:37,youGrocery - Payment,$-170.00,"$8,637.18"
2023-04-01 17:10:26,AffordableHub - Payment,$-168.78,"$8,468.40"
2023-04-02 14:58:06,StrongLink - Payment,$-57.69,"$8,410.71"
2023-04-10 21:50:13,Healthn - Payment,$-158.24,"$8,252.47"
2023-04-12 15:11:54,youGrocery - Payment,$-55.32,"$8,197.15"
2023-04-13 12:45:37,Healthn - Payment,$-36.41,"$8,160.74"
2023-04-14 20:07:45,StrongLink - Payment,$-173.50,"$7,958.08"
2023-04-14 20:23:28,Healthn - Payment,$-29.16,"$8,131.58"
2023-04-15 10:30:25,StrongLink - Payment,$-68.92,"$7,889.16"
2023-04-20 14:13:30,Healthn - Payment,$-31.82,"$7,857.34"
2023-04-27 09:58:48,StrongLink - Payment,$-169.93,"$7,687.41"
2023-04-29 16:03:59,Healthn - Payment,$-139.99,"$7,547.42"
2023-05-02 09:41:02,Healthn - Payment,$-189.78,"$7,357.64"
2023-05-03 21:03:40,StrongLink - Payment,$-82.98,"$7,274.66"
2023-05-05 10:30:16,AffordableHub - Payment,$-58.40,"$7,216.26"
2023-05-12 19:03:36,StrongLink - Payment,$-103.80,"$7,112.46"
2023-05-21 13:46:54,youGrocery - Payment,$-173.69,"$6,938.77"
2023-05-21 17:51:21,StrongLink - Payment,$-161.77,"$6,777.00"
2023-05-22 10:24:48,StrongLink - Payment,$-159.25,"$6,617.75"
2023-05-24 16:00:35,StrongLink - Payment,$-45.35,"$6,572.40"
2023-05-25 11:42:06,Healthn - Payment,$-79.75,"$6,492.65"
2023-05-28 21:40:57,StrongLink - Payment,$-74.49,"$6,418.16"
2023-06-04 18:54:35,Healthn - Payment,$-159.20,"$6,258.96"
2023-06-06 15:10:55,Healthn - Payment,$-113.56,"$6,145.40"
2023-06-07 14:44:00,StrongLink - Payment,$-60.76,"$6,084.64"
2023-06-11 16:37:30,AffordableHub - Payment,$-72.60,"$6,012.04"
2023-06-17 16:52:07,StrongLink - Payment,$-59.62,"$5,952.42"
2023-06-19 20:21:47,StrongLink - Payment,$-69.40,"$5,883.02"
2023-06-21 17:37:37,Healthn - Payment,$-82.36,"$5,800.66"
2023-06-27 18:58:36,Healthn - Payment,$-90.79,"$5,709.87"
2023-07-03 17:06:55,Healthn - Payment,$-74.75,"$5,635.12"
2023-07-03 18:11:41,Fitr - Payment,$-157.88,"$5,477.24"
