date,to,from_,size,type_
2023-01-02 08:32:50,(691) 408-8884,(985) 882-7704,339 characters,Received Text
2023-01-03 20:45:33,(691) 408-8884,(985) 882-7704,7.4 MB,Received Media
2023-01-04 16:14:15,(691) 408-8884,(985) 882-7704,332 characters,Sent Text
2023-01-05 11:22:25,(691) 408-8884,(985) 882-7704,35 minutes,Inbound Call
2023-01-05 17:13:33,(691) 408-8884,(985) 882-7704,308 characters,Sent Text
2023-01-06 15:20:42,(691) 408-8884,(985) 882-7704,51 minutes,Outbound Call
2023-01-07 09:01:08,(691) 408-8884,(985) 882-7704,34 minutes,Outbound Call
2023-01-07 14:13:25,(691) 408-8884,(985) 882-7704,270 characters,Received Text
2023-01-08 11:50:29,(691) 408-8884,(985) 882-7704,45 minutes,Outbound Call
2023-01-08 15:08:34,(691) 408-8884,(985) 882-7704,8 characters,Received Text
2023-01-09 08:29:26,(691) 408-8884,(985) 882-7704,88 characters,Sent Text
2023-01-10 20:23:45,(691) 408-8884,(985) 882-7704,102 minutes,Outbound Call
2023-01-11 12:36:36,(691) 408-8884,(985) 882-7704,35 minutes,Outbound Call
2023-01-12 16:05:07,(691) 408-8884,(985) 882-7704,13 minutes,Inbound Call
2023-01-13 21:57:43,(691) 408-8884,(985) 882-7704,21 characters,Received Text
2023-01-14 16:38:43,(691) 408-8884,(985) 882-7704,36 characters,Received Text
2023-01-14 17:38:10,(691) 408-8884,(985) 882-7704,139 characters,Sent Text
2023-01-16 13:47:11,(691) 408-8884,(985) 882-7704,18.2 MB,Received Media
2023-01-16 19:25:28,(691) 408-8884,(985) 882-7704,239 characters,Sent Text
2023-01-17 11:33:12,(691) 408-8884,(985) 882-7704,224 characters,Sent Text
2023-01-18 12:29:03,(691) 408-8884,(985) 882-7704,1 minutes,Outbound Call
2023-01-19 17:12:21,(691) 408-8884,(985) 882-7704,14.5 MB,Received Media
2023-01-21 08:20:21,(691) 408-8884,(985) 882-7704,42 characters,Sent Text
2023-01-21 12:01:42,(691) 408-8884,(985) 882-7704,312 characters,Received Text
2023-01-22 09:17:43,(691) 408-8884,(985) 882-7704,3 characters,Received Text
2023-01-23 16:38:48,(691) 408-8884,(985) 882-7704,15.7 MB,Received Media
2023-01-24 09:46:32,(691) 408-8884,(985) 882-7704,64 characters,Received Text
2023-01-25 08:13:34,(691) 408-8884,(985) 882-7704,235 characters,Sent Text
2023-01-26 09:10:41,(691) 408-8884,(985) 882-7704,232 characters,Sent Text
2023-01-26 11:48:46,(691) 408-8884,(985) 882-7704,88 characters,Received Text
2023-01-26 15:02:48,(691) 408-8884,(985) 882-7704,11.5 MB,Sent Media
2023-01-27 12:23:05,(691) 408-8884,(985) 882-7704,57 minutes,Outbound Call
2023-01-28 16:36:18,(691) 408-8884,(985) 882-7704,246 characters,Received Text
2023-01-29 15:45:04,(691) 408-8884,(985) 882-7704,335 characters,Sent Text
2023-01-30 17:45:29,(691) 408-8884,(985) 882-7704,350 characters,Sent Text
2023-01-31 12:19:28,(691) 408-8884,(985) 882-7704,120 characters,Sent Text
2023-02-05 16:27:11,(691) 408-8884,(985) 882-7704,60 characters,Received Text
2023-02-06 09:02:08,(691) 408-8884,(985) 882-7704,92 characters,Sent Text
2023-02-07 12:26:14,(691) 408-8884,(985) 882-7704,148 characters,Received Text
2023-02-07 20:06:18,(691) 408-8884,(985) 882-7704,5 characters,Sent Text
2023-02-08 17:02:12,(691) 408-8884,(985) 882-7704,56 minutes,Outbound Call
2023-02-08 17:15:21,(691) 408-8884,(985) 882-7704,58 characters,Sent Text
2023-02-09 10:30:40,(691) 408-8884,(985) 882-7704,31 minutes,Outbound Call
2023-02-09 14:11:03,(691) 408-8884,(985) 882-7704,328 characters,Received Text
2023-02-09 15:23:05,(691) 408-8884,(985) 882-7704,173 characters,Sent Text
2023-02-10 12:30:24,(691) 408-8884,(985) 882-7704,212 characters,Received Text
2023-02-10 18:06:19,(691) 408-8884,(985) 882-7704,347 characters,Sent Text
2023-02-10 18:44:39,(691) 408-8884,(985) 882-7704,14.6 MB,Sent Media
2023-02-11 15:53:34,(691) 408-8884,(985) 882-7704,109 characters,Received Text
2023-02-12 11:37:32,(691) 408-8884,(985) 882-7704,10.7 MB,Received Media
2023-02-15 13:00:49,(691) 408-8884,(985) 882-7704,59 minutes,Outbound Call
2023-02-16 12:42:37,(691) 408-8884,(985) 882-7704,288 characters,Received Text
2023-02-18 12:54:29,(691) 408-8884,(985) 882-7704,28 minutes,Outbound Call
2023-02-18 17:56:31,(691) 408-8884,(985) 882-7704,71 characters,Received Text
2023-02-20 09:56:53,(691) 408-8884,(985) 882-7704,19.1 MB,Sent Media
2023-02-20 11:04:09,(691) 408-8884,(985) 882-7704,20 characters,Sent Text
2023-02-20 19:50:58,(691) 408-8884,(985) 882-7704,68 minutes,Outbound Call
2023-02-21 17:24:07,(691) 408-8884,(985) 882-7704,16 characters,Received Text
2023-02-21 20:56:45,(691) 408-8884,(985) 882-7704,340 characters,Sent Text
2023-02-22 12:43:29,(691) 408-8884,(985) 882-7704,331 characters,Received Text
2023-02-23 09:40:59,(691) 408-8884,(985) 882-7704,305 characters,Sent Text
2023-02-24 18:44:46,(691) 408-8884,(985) 882-7704,315 characters,Sent Text
2023-02-25 21:35:03,(691) 408-8884,(985) 882-7704,28 characters,Sent Text
