date,description,amount,balance
2023-01-04 14:08:16,AffordableHub - Payment,$-63.83,"$41,537.88"
2023-01-09 20:56:28,Fitr - Payment,$-122.99,"$41,414.89"
2023-01-21 15:52:06,youGrocery - Payment,$-197.13,"$41,217.76"
2023-01-21 20:13:54,StrongLink - Payment,$-102.50,"$41,115.26"
2023-01-23 12:33:04,Healthn - Payment,$-198.16,"$40,917.10"
2023-01-24 10:21:29,AffordableHub - Payment,$-28.65,"$40,888.45"
2023-01-30 18:37:46,youGrocery - Payment,$-122.70,"$40,765.75"
2023-02-02 21:34:24,Foodr - Payment,$-88.71,"$40,677.04"
2023-03-11 13:54:47,Fitr - Payment,$-119.30,"$40,557.74"
2023-03-14 19:23:09,AffordableHub - Payment,$-124.20,"$40,433.54"
2023-03-16 21:33:13,youGrocery - Payment,$-59.00,"$40,374.54"
2023-03-18 18:46:40,AffordableHub - Payment,$-62.98,"$40,311.56"
2023-03-19 08:38:12,Foodr - Payment,$-43.00,"$40,268.56"
2023-03-20 12:06:13,Fitr - Payment,$-146.00,"$40,122.56"
2023-03-30 10:26:18,AffordableHub - Payment,$-174.76,"$39,947.80"
2023-04-04 13:50:21,AffordableHub - Payment,$-60.53,"$39,887.27"
2023-04-07 13:34:55,AffordableHub - Payment,$-80.93,"$39,806.34"
2023-04-23 10:20:26,AffordableHub - Payment,$-193.56,"$39,612.78"
2023-04-28 11:58:41,AffordableHub - Payment,$-149.62,"$39,463.16"
2023-05-02 17:58:28,AffordableHub - Payment,$-126.32,"$39,336.84"
2023-05-03 12:34:51,AffordableHub - Payment,$-56.82,"$39,280.02"
2023-05-05 12:34:34,Fitr - Payment,$-74.21,"$39,205.81"
2023-05-08 19:54:16,AffordableHub - Payment,$-127.39,"$39,078.42"
2023-05-14 11:45:38,AffordableHub - Payment,$-174.85,"$38,903.57"
2023-05-15 19:57:23,AffordableHub - Payment,$-154.14,"$38,749.43"
2023-05-20 12:05:07,AffordableHub - Payment,$-197.19,"$38,552.24"
2023-05-21 17:37:24,AffordableHub - Payment,$-44.85,"$38,507.39"
2023-05-23 19:11:02,Foodr - Payment,$-66.19,"$38,441.20"
2023-05-31 15:01:40,AffordableHub - Payment,$-24.62,"$38,416.58"
2023-06-06 20:04:47,StrongLink - Payment,$-174.92,"$38,241.66"
2023-06-26 12:47:28,AffordableHub - Payment,$-60.25,"$38,181.41"
2023-07-03 21:36:43,Foodr - Payment,$-139.23,"$38,042.18"
2023-07-05 14:25:57,youGrocery - Payment,$-108.23,"$37,933.95"
2023-07-09 18:36:13,youGrocery - Payment,$-58.10,"$37,875.85"
2023-07-10 21:49:22,AffordableHub - Payment,$-180.64,"$37,695.21"
2023-07-12 18:42:43,youGrocery - Payment,$-39.94,"$37,655.27"
2023-07-17 15:05:52,AffordableHub - Payment,$-30.00,"$37,625.27"
2023-07-19 09:35:11,Healthn - Payment,$-175.84,"$37,449.43"
2023-07-21 09:13:36,youGrocery - Payment,$-64.82,"$37,384.61"
2023-07-24 12:26:16,AffordableHub - Payment,$-128.32,"$37,256.29"
2023-07-25 11:02:27,Foodr - Payment,$-124.78,"$37,131.51"
2023-07-27 16:32:35,AffordableHub - Payment,$-109.73,"$37,021.78"
2023-08-02 21:48:17,AffordableHub - Payment,$-50.20,"$36,971.58"
2023-08-05 21:38:53,AffordableHub - Payment,$-175.91,"$36,795.67"
2023-08-07 21:40:52,Fitr - Payment,$-172.20,"$36,623.47"
2023-08-25 18:50:25,Fitr - Payment,$-101.86,"$36,521.61"
2023-08-28 12:11:41,Fitr - Payment,$-150.89,"$36,370.72"
2023-09-04 11:49:24,AffordableHub - Payment,$-154.26,"$36,216.46"
2023-09-08 09:29:44,youGrocery - Payment,$-144.40,"$36,072.06"
2023-09-29 17:39:57,AffordableHub - Payment,$-98.26,"$35,973.80"
2023-10-01 15:49:46,Healthn - Payment,$-28.40,"$35,945.40"
2023-10-04 18:45:41,Foodr - Payment,$-183.86,"$35,761.54"
2023-10-08 13:27:49,AffordableHub - Payment,$-61.50,"$35,700.04"
2023-10-14 08:09:41,AffordableHub - Payment,$-48.20,"$35,651.84"
2023-10-16 13:51:31,Fitr - Payment,$-88.90,"$35,562.94"
2023-10-18 12:17:18,AffordableHub - Payment,$-141.63,"$35,421.31"
2023-10-23 12:26:27,AffordableHub - Payment,$-114.64,"$35,306.67"
2023-10-25 15:03:10,Fitr - Payment,$-36.80,"$35,125.24"
2023-10-25 17:07:03,AffordableHub - Payment,$-144.63,"$35,162.04"
2023-10-28 10:09:00,AffordableHub - Payment,$-191.45,"$34,933.79"
2023-11-10 08:48:48,Fitr - Payment,$-56.30,"$34,877.49"
2023-11-12 09:17:30,Fitr - Payment,$-88.50,"$34,788.99"
2023-11-13 15:04:30,AffordableHub - Payment,$-65.72,"$34,723.27"
2023-11-14 18:25:55,Foodr - Payment,$-37.67,"$34,685.60"
2023-11-15 10:24:54,Fitr - Payment,$-60.65,"$34,624.95"
2023-11-17 20:52:31,Fitr - Payment,$-75.51,"$34,387.32"
2023-11-17 21:22:56,youGrocery - Payment,$-162.12,"$34,462.83"
2023-11-20 12:01:17,AffordableHub - Payment,$-51.27,"$34,336.05"
2023-11-21 15:01:21,AffordableHub - Payment,$-152.75,"$34,183.30"
2023-11-29 08:06:07,AffordableHub - Payment,$-137.79,"$34,045.51"
2023-12-04 14:08:55,Fitr - Payment,$-33.17,"$34,012.34"
2023-12-12 16:18:44,Fitr - Payment,$-58.55,"$33,953.79"
2023-12-18 20:30:43,Fitr - Payment,$-52.21,"$33,901.58"
2023-12-19 20:41:25,Fitr - Payment,$-41.15,"$33,860.43"
2023-12-20 13:23:24,Foodr - Payment,$-157.50,"$33,702.93"
2023-12-24 20:43:34,Healthn - Payment,$-181.81,"$33,521.12"
2023-12-28 11:09:59,Fitr - Payment,$-90.70,"$33,430.42"
2024-01-04 11:41:12,AffordableHub - Payment,$-104.50,"$33,325.92"
2024-01-13 17:11:34,AffordableHub - Payment,$-198.10,"$33,127.82"
2024-01-15 14:16:48,Fitr - Payment,$-194.90,"$32,932.92"
2024-02-11 09:15:41,AffordableHub - Payment,$-67.22,"$32,865.70"
2024-02-14 18:59:30,AffordableHub - Payment,$-145.30,"$32,720.40"
2024-02-16 10:32:11,AffordableHub - Payment,$-39.43,"$32,680.97"
2024-02-22 20:57:54,Healthn - Payment,$-42.27,"$32,638.70"
2024-02-25 21:31:01,AffordableHub - Payment,$-36.54,"$32,602.16"
2024-02-27 11:54:47,AffordableHub - Payment,$-55.74,"$32,546.42"
2024-02-28 20:42:48,AffordableHub - Payment,$-35.79,"$32,510.63"
2024-03-13 21:15:35,AffordableHub - Payment,$-44.37,"$32,466.26"
2024-03-14 08:47:53,Healthn - Payment,$-199.69,"$32,266.57"
2024-03-15 18:34:20,AffordableHub - Payment,$-70.56,"$32,196.01"
2024-03-25 12:18:23,Fitr - Payment,$-73.30,"$32,122.71"
2024-03-28 11:44:49,Fitr - Payment,$-144.84,"$31,977.87"
2024-03-30 09:24:38,youGrocery - Payment,$-29.44,"$31,948.43"
2024-04-03 16:14:22,AffordableHub - Payment,$-35.35,"$31,913.08"
2024-04-04 10:26:56,AffordableHub - Payment,$-116.59,"$31,796.49"
2024-04-08 20:18:31,AffordableHub - Payment,$-193.21,"$31,603.28"
2024-04-09 09:56:25,Flexin - Payment,$-23.28,"$31,580.00"
2024-04-10 17:26:03,Fitr - Payment,$-35.99,"$31,544.01"
2024-04-14 13:31:12,Fitr - Payment,$-138.72,"$31,405.29"
2024-04-15 16:41:10,AffordableHub - Payment,$-85.77,"$31,319.52"
2024-04-17 16:24:42,AffordableHub - Payment,$-72.69,"$31,246.83"
2024-04-20 11:41:01,AffordableHub - Payment,$-179.76,"$31,067.07"
