date,description,amount,balance
2023-01-02 18:40:13,Healthn - Payment,$-62.71,"$14,692.16"
2023-01-03 16:17:30,Healthn - Payment,$-135.47,"$14,556.69"
2023-01-05 14:08:08,Fitr - Payment,$-185.33,"$14,371.36"
2023-01-06 00:00:00,Purchase by Foodr,"$1,000.00","$15,371.36"
2023-01-08 17:16:57,StrongLink - Payment,$-32.45,"$15,338.91"
2023-01-10 14:17:30,StrongLink - Payment,$-151.19,"$15,187.72"
2023-01-11 09:06:37,AffordableHub - Payment,$-177.26,"$15,010.46"
2023-01-13 00:00:00,Purchase by Foodr,"$1,000.00","$15,971.50"
2023-01-13 13:32:49,StrongLink - Payment,$-38.96,"$14,971.50"
2023-01-18 18:01:24,Healthn - Payment,$-199.40,"$15,772.10"
2023-01-20 00:00:00,Purchase by Foodr,"$1,000.00","$16,772.10"
2023-01-23 20:03:46,Healthn - Payment,$-81.86,"$16,690.24"
2023-01-25 11:59:06,StrongLink - Payment,$-165.19,"$16,525.05"
2023-01-26 10:36:42,Healthn - Payment,$-146.30,"$16,378.75"
2023-01-27 00:00:00,Purchase by Foodr,"$1,000.00","$17,378.75"
2023-01-30 20:24:07,StrongLink - Payment,$-39.73,"$17,339.02"
2023-02-03 00:00:00,Purchase by Foodr,"$1,000.00","$18,339.02"
2023-02-06 08:08:11,StrongLink - Payment,$-93.80,"$18,245.22"
2023-02-10 00:00:00,Purchase by Foodr,"$1,000.00","$19,245.22"
2023-02-15 14:48:28,StrongLink - Payment,$-91.97,"$19,153.25"
2023-02-17 00:00:00,Purchase by Foodr,"$1,000.00","$20,011.94"
2023-02-17 15:03:04,StrongLink - Payment,$-141.31,"$19,011.94"
2023-02-22 13:26:50,StrongLink - Payment,$-49.20,"$19,962.74"
2023-02-23 16:10:15,StrongLink - Payment,$-82.24,"$19,880.50"
2023-02-24 00:00:00,Purchase by Foodr,"$1,000.00","$20,880.50"
2023-03-03 00:00:00,Purchase by Foodr,"$1,000.00","$21,880.50"
2023-03-05 13:20:43,Healthn - Payment,$-69.20,"$21,811.30"
2023-03-06 15:09:13,Healthn - Payment,$-88.76,"$21,722.54"
2023-03-07 09:58:50,StrongLink - Payment,$-92.48,"$21,630.06"
2023-03-09 09:45:02,Flexin - Payment,$-157.67,"$21,472.39"
2023-03-10 00:00:00,Purchase by Foodr,"$1,000.00","$22,472.39"
2023-03-11 13:59:56,Healthn - Payment,$-124.38,"$22,348.01"
2023-03-14 08:28:33,Foodr - Payment,$-128.26,"$22,219.75"
2023-03-16 10:12:11,Healthn - Payment,$-130.20,"$22,089.55"
2023-03-17 00:00:00,Purchase by Foodr,"$1,000.00","$23,089.55"
2023-03-19 14:50:41,StrongLink - Payment,$-160.17,"$22,929.38"
2023-03-20 20:49:40,StrongLink - Payment,$-22.60,"$22,906.78"
2023-03-24 00:00:00,Purchase by Foodr,"$1,000.00","$23,906.78"
2023-03-26 17:56:30,Healthn - Payment,$-90.30,"$23,816.48"
2023-03-31 00:00:00,Purchase by Foodr,"$1,000.00","$24,816.48"
2023-04-01 15:37:51,Flexin - Payment,$-32.83,"$24,783.65"
2023-04-03 11:55:53,StrongLink - Payment,$-151.11,"$24,632.54"
2023-04-05 14:45:54,youGrocery - Payment,$-26.59,"$24,605.95"
2023-04-07 00:00:00,Purchase by Foodr,"$1,000.00","$25,605.95"
2023-04-13 10:42:15,Healthn - Payment,$-93.57,"$25,512.38"
2023-04-14 00:00:00,Purchase by Foodr,"$1,000.00","$26,512.38"
2023-04-15 21:49:02,Healthn - Payment,$-184.49,"$26,327.89"
2023-04-16 09:46:46,Healthn - Payment,$-65.16,"$26,262.73"
2023-04-17 17:35:48,Healthn - Payment,$-98.30,"$26,164.43"
2023-04-18 21:51:28,Healthn - Payment,$-59.83,"$26,104.60"
2023-04-19 17:32:23,Healthn - Payment,$-77.96,"$26,026.64"
2023-04-20 18:10:55,Healthn - Payment,$-151.63,"$25,875.01"
2023-04-21 00:00:00,Purchase by Foodr,"$1,000.00","$26,875.01"
2023-04-27 08:57:58,AffordableHub - Payment,$-108.41,"$26,766.60"
2023-04-27 18:15:08,StrongLink - Payment,$-159.54,"$26,607.06"
2023-04-28 00:00:00,Purchase by Foodr,"$1,000.00","$27,607.06"
2023-04-30 17:41:18,Healthn - Payment,$-174.10,"$27,432.96"
2023-05-01 13:53:58,StrongLink - Payment,$-99.63,"$27,333.33"
2023-05-05 00:00:00,Purchase by Foodr,"$1,000.00","$28,333.33"
2023-05-11 15:15:54,Fitr - Payment,$-197.43,"$28,135.90"
2023-05-12 00:00:00,Purchase by Foodr,"$1,000.00","$29,135.90"
2023-05-13 18:16:37,Healthn - Payment,$-131.58,"$29,004.32"
