date,description,amount,balance
2023-01-09 15:25:52,StrongLink - Payment,$-30.83,"$25,341.07"
2023-01-11 15:46:50,Flexin - Payment,$-91.61,"$25,249.46"
2023-01-12 18:23:43,youGrocery - Payment,$-106.90,"$25,142.56"
2023-01-16 12:46:19,AffordableHub - Payment,$-88.85,"$25,053.71"
2023-01-18 20:00:55,StrongLink - Payment,$-45.39,"$25,008.32"
2023-01-21 11:35:37,AffordableHub - Payment,$-71.79,"$24,936.53"
2023-01-22 11:55:02,AffordableHub - Payment,$-176.99,"$24,759.54"
2023-01-22 14:19:28,StrongLink - Payment,$-113.81,"$24,645.73"
2023-01-26 17:01:55,Fitr - Payment,$-123.94,"$24,521.79"
2023-02-05 14:42:26,StrongLink - Payment,$-97.29,"$24,424.50"
2023-02-06 19:57:29,AffordableHub - Payment,$-132.16,"$24,292.34"
2023-02-12 18:44:10,AffordableHub - Payment,$-159.57,"$24,132.77"
2023-02-14 13:49:51,AffordableHub - Payment,$-152.84,"$23,979.93"
2023-02-19 12:14:20,AffordableHub - Payment,$-101.19,"$23,878.74"
2023-02-24 15:50:50,Foodr - Payment,$-182.22,"$23,696.52"
2023-02-25 20:21:47,Fitr - Payment,$-30.80,"$23,665.72"
2023-02-26 15:12:16,AffordableHub - Payment,$-175.65,"$23,490.07"
2023-03-02 11:54:11,StrongLink - Payment,$-22.62,"$23,467.45"
2023-03-05 09:49:37,StrongLink - Payment,$-47.69,"$23,419.76"
2023-03-17 17:33:24,AffordableHub - Payment,$-47.48,"$23,372.28"
2023-03-18 10:00:45,AffordableHub - Payment,$-152.73,"$23,219.55"
2023-03-21 19:32:39,AffordableHub - Payment,$-28.89,"$23,190.66"
2023-03-24 16:55:58,StrongLink - Payment,$-32.47,"$23,158.19"
2023-04-26 17:47:43,StrongLink - Payment,$-190.30,"$22,967.89"
2023-04-27 16:08:20,AffordableHub - Payment,$-164.71,"$22,803.18"
2023-05-04 18:59:40,youGrocery - Payment,$-113.95,"$22,689.23"
2023-05-11 18:09:08,StrongLink - Payment,$-101.78,"$22,587.45"
2023-05-13 12:32:25,AffordableHub - Payment,$-86.40,"$22,501.05"
2023-05-21 18:24:07,StrongLink - Payment,$-64.39,"$22,436.66"
2023-05-27 20:47:19,AffordableHub - Payment,$-177.88,"$22,258.78"
2023-06-02 14:41:01,AffordableHub - Payment,$-81.53,"$22,177.25"
2023-06-06 09:35:32,StrongLink - Payment,$-47.78,"$22,129.47"
2023-06-07 14:18:18,StrongLink - Payment,$-39.74,"$22,089.73"
2023-06-14 12:03:57,AffordableHub - Payment,$-178.58,"$21,911.15"
2023-06-15 11:56:20,StrongLink - Payment,$-132.11,"$21,779.04"
2023-06-20 17:42:18,AffordableHub - Payment,$-61.15,"$21,717.89"
2023-06-23 18:17:25,AffordableHub - Payment,$-136.24,"$21,581.65"
2023-06-29 20:14:41,StrongLink - Payment,$-42.76,"$21,538.89"
2023-07-11 13:51:58,StrongLink - Payment,$-169.93,"$21,368.96"
2023-07-12 20:19:52,AffordableHub - Payment,$-136.10,"$21,232.86"
2023-07-15 08:50:01,StrongLink - Payment,$-138.60,"$21,094.26"
2023-07-23 10:14:08,StrongLink - Payment,$-141.83,"$20,952.43"
2023-07-26 14:27:52,Flexin - Payment,$-127.75,"$20,824.68"
2023-07-27 21:23:57,AffordableHub - Payment,$-78.61,"$20,746.07"
2023-08-01 18:44:09,Flexin - Payment,$-36.92,"$20,538.65"
2023-08-01 20:41:07,AffordableHub - Payment,$-170.50,"$20,575.57"
2023-08-02 13:03:20,youGrocery - Payment,$-118.69,"$20,419.96"
2023-08-03 12:20:32,StrongLink - Payment,$-22.58,"$20,397.38"
2023-08-04 19:18:22,StrongLink - Payment,$-169.93,"$20,227.45"
2023-08-13 20:07:01,AffordableHub - Payment,$-199.81,"$20,027.64"
2023-08-14 20:57:48,StrongLink - Payment,$-140.33,"$19,887.31"
2023-08-15 17:24:02,Fitr - Payment,$-160.74,"$19,673.74"
2023-08-15 20:22:25,AffordableHub - Payment,$-52.83,"$19,834.48"
2023-08-23 12:41:59,AffordableHub - Payment,$-155.25,"$19,518.49"
2023-09-01 18:02:52,Foodr - Payment,$-33.51,"$19,484.98"
2023-09-04 12:46:31,Flexin - Payment,$-190.91,"$19,294.07"
2023-09-06 10:16:01,AffordableHub - Payment,$-129.30,"$19,164.77"
2023-09-08 13:03:53,Foodr - Payment,$-195.44,"$18,969.33"
2023-09-13 14:46:32,Flexin - Payment,$-90.34,"$18,878.99"
2023-09-17 13:37:39,AffordableHub - Payment,$-199.61,"$18,679.38"
2023-09-18 16:41:00,Flexin - Payment,$-30.67,"$18,648.71"
2023-09-23 08:28:18,AffordableHub - Payment,$-199.48,"$18,449.23"
2023-09-29 18:55:46,StrongLink - Payment,$-99.20,"$18,350.03"
2023-10-07 13:49:31,AffordableHub - Payment,$-163.18,"$18,186.85"
2023-10-10 12:56:20,StrongLink - Payment,$-100.20,"$18,086.65"
2023-10-14 14:52:49,AffordableHub - Payment,$-73.17,"$18,013.48"
2023-10-16 09:10:46,AffordableHub - Payment,$-159.45,"$17,854.03"
2023-10-22 13:02:14,AffordableHub - Payment,$-79.41,"$17,774.62"
2023-10-31 16:11:11,AffordableHub - Payment,$-138.20,"$17,636.42"
2023-11-02 12:13:45,AffordableHub - Payment,$-102.11,"$17,534.31"
2023-11-03 16:27:39,AffordableHub - Payment,$-199.22,"$17,335.09"
2023-11-06 18:58:13,StrongLink - Payment,$-179.40,"$17,155.69"
2023-11-09 10:47:56,Fitr - Payment,$-184.95,"$16,970.74"
2023-11-11 15:01:28,StrongLink - Payment,$-196.42,"$16,774.32"
2023-11-30 13:47:25,Flexin - Payment,$-172.70,"$16,601.62"
2023-12-10 11:24:16,AffordableHub - Payment,$-158.98,"$16,442.64"
2024-01-03 15:08:29,StrongLink - Payment,$-148.19,"$16,294.45"
2024-01-10 10:40:24,StrongLink - Payment,$-138.47,"$16,155.98"
2024-02-02 21:55:41,StrongLink - Payment,$-58.82,"$16,097.16"
2024-02-04 12:29:07,AffordableHub - Payment,$-22.40,"$16,074.76"
2024-02-05 08:15:20,AffordableHub - Payment,$-122.59,"$15,952.17"
2024-02-07 19:23:27,AffordableHub - Payment,$-121.22,"$15,830.95"
2024-02-12 19:41:16,AffordableHub - Payment,$-25.68,"$15,805.27"
2024-02-16 21:11:45,StrongLink - Payment,$-119.27,"$15,686.00"
