date,to,from_,size,type_
2023-01-01 08:09:02,(294) 535-8251,(791) 720-3024,338 characters,Sent Text
2023-01-01 09:05:51,(304) 766-7452,(791) 720-3024,32 minutes,Outbound Call
2023-01-01 11:48:13,(736) 281-0632,(791) 720-3024,64 characters,Received Text
2023-01-01 12:23:59,(294) 535-8251,(791) 720-3024,271 characters,Received Text
2023-01-01 13:13:19,(304) 766-7452,(791) 720-3024,19.1 MB,Received Media
2023-01-01 13:45:30,(736) 281-0632,(791) 720-3024,49 minutes,Inbound Call
2023-01-01 14:36:30,(304) 766-7452,(791) 720-3024,196 characters,Sent Text
2023-01-02 08:26:04,(736) 281-0632,(791) 720-3024,328 characters,Received Text
2023-01-02 10:53:46,(304) 766-7452,(791) 720-3024,247 characters,Received Text
2023-01-02 11:02:19,(304) 766-7452,(791) 720-3024,57 characters,Sent Text
2023-01-02 16:54:34,(304) 766-7452,(791) 720-3024,119 minutes,Outbound Call
2023-01-03 16:25:03,(304) 766-7452,(791) 720-3024,255 characters,Received Text
2023-01-04 12:20:43,(736) 281-0632,(791) 720-3024,192 characters,Received Text
2023-01-04 12:44:00,(304) 766-7452,(791) 720-3024,103 characters,Received Text
2023-01-04 14:10:07,(736) 281-0632,(791) 720-3024,25 minutes,Inbound Call
2023-01-04 15:22:24,(736) 281-0632,(791) 720-3024,193 characters,Sent Text
2023-01-04 15:45:40,(304) 766-7452,(791) 720-3024,68 minutes,Outbound Call
2023-01-04 20:37:22,(304) 766-7452,(791) 720-3024,4.4 MB,Sent Media
2023-01-06 09:50:34,(294) 535-8251,(791) 720-3024,7 minutes,Inbound Call
2023-01-06 11:04:46,(294) 535-8251,(791) 720-3024,90 minutes,Outbound Call
2023-01-06 17:43:31,(736) 281-0632,(791) 720-3024,61 characters,Sent Text
2023-01-06 20:06:23,(736) 281-0632,(791) 720-3024,23 minutes,Outbound Call
2023-01-07 09:43:26,(736) 281-0632,(791) 720-3024,76 minutes,Outbound Call
