date,description,amount,balance
2023-01-04 12:30:21,Fitr - Payment,$-175.46,"$35,215.27"
2023-01-04 16:37:41,youGrocery - Payment,$-135.77,"$35,390.73"
2023-01-07 15:57:37,Fitr - Payment,$-95.70,"$35,119.57"
2023-01-12 13:21:12,Fitr - Payment,$-193.41,"$34,814.82"
2023-01-12 21:14:41,youGrocery - Payment,$-111.34,"$35,008.23"
2023-01-17 14:42:28,Fitr - Payment,$-132.67,"$34,682.15"
2023-01-21 16:22:24,youGrocery - Payment,$-136.46,"$34,545.69"
2023-01-24 12:25:03,Fitr - Payment,$-47.46,"$34,498.23"
2023-01-27 16:08:36,StrongLink - Payment,$-136.56,"$34,361.67"
2023-01-28 13:36:00,Flexin - Payment,$-151.24,"$34,060.52"
2023-01-28 21:23:46,AffordableHub - Payment,$-149.91,"$34,211.76"
2023-01-31 13:13:46,youGrocery - Payment,$-23.55,"$34,036.97"
2023-01-31 19:33:32,Fitr - Payment,$-191.70,"$33,845.27"
2023-02-01 11:45:16,youGrocery - Payment,$-184.34,"$33,660.93"
2023-02-03 19:04:17,Healthn - Payment,$-176.17,"$33,484.76"
2023-02-04 08:07:04,Fitr - Payment,$-67.00,"$33,417.76"
2023-02-06 20:13:51,youGrocery - Payment,$-93.64,"$33,324.12"
2023-02-07 20:11:38,Fitr - Payment,$-29.45,"$33,294.67"
2023-02-08 19:28:22,Fitr - Payment,$-46.77,"$33,129.40"
2023-02-08 21:03:14,youGrocery - Payment,$-118.50,"$33,176.17"
2023-02-12 09:14:39,Flexin - Payment,$-110.67,"$33,018.73"
2023-02-14 08:12:21,Fitr - Payment,$-22.98,"$32,832.28"
2023-02-14 15:28:21,Foodr - Payment,$-163.47,"$32,855.26"
2023-02-15 15:09:32,youGrocery - Payment,$-26.30,"$32,805.98"
2023-02-24 09:55:09,Fitr - Payment,$-118.60,"$32,687.38"
2023-02-28 08:25:16,Fitr - Payment,$-107.33,"$32,580.05"
2023-03-01 13:18:22,Fitr - Payment,$-80.74,"$32,499.31"
2023-03-04 12:47:21,Fitr - Payment,$-171.15,"$32,328.16"
2023-03-08 18:14:16,Flexin - Payment,$-197.95,"$32,130.21"
2023-03-09 08:43:11,Fitr - Payment,$-77.85,"$32,052.36"
2023-03-13 20:22:34,Fitr - Payment,$-185.19,"$31,867.17"
2023-03-14 10:10:53,Fitr - Payment,$-35.35,"$31,831.82"
2023-03-15 15:06:58,Fitr - Payment,$-170.33,"$31,661.49"
2023-03-20 16:55:14,Fitr - Payment,$-25.42,"$31,636.07"
2023-03-21 18:15:23,Flexin - Payment,$-161.50,"$31,450.30"
2023-03-21 19:18:54,Foodr - Payment,$-24.27,"$31,611.80"
2023-03-25 10:51:55,youGrocery - Payment,$-57.96,"$31,392.34"
2023-03-31 14:31:37,Flexin - Payment,$-70.40,"$31,159.43"
2023-03-31 16:53:44,youGrocery - Payment,$-162.51,"$31,229.83"
2023-04-01 11:20:40,Fitr - Payment,$-136.72,"$31,022.71"
2023-04-06 10:40:56,Fitr - Payment,$-74.95,"$30,947.76"
2023-04-09 17:25:14,Fitr - Payment,$-182.34,"$30,572.55"
2023-04-09 18:53:34,youGrocery - Payment,$-192.87,"$30,754.89"
2023-04-10 10:39:08,Fitr - Payment,$-167.96,"$30,404.59"
2023-04-11 08:47:35,youGrocery - Payment,$-168.74,"$30,235.85"
2023-04-12 15:21:02,youGrocery - Payment,$-56.66,"$30,179.19"
2023-04-13 20:43:52,Fitr - Payment,$-55.36,"$30,123.83"
2023-04-14 17:09:34,youGrocery - Payment,$-188.24,"$29,935.59"
2023-04-16 09:46:40,Fitr - Payment,$-70.11,"$29,865.48"
2023-04-18 12:40:32,Fitr - Payment,$-47.70,"$29,817.78"
2023-04-19 09:25:24,Fitr - Payment,$-110.18,"$29,707.60"
2023-04-20 11:23:45,Fitr - Payment,$-125.20,"$29,582.40"
2023-04-23 13:25:29,Fitr - Payment,$-102.19,"$29,480.21"
2023-04-24 16:27:49,Fitr - Payment,$-125.95,"$29,354.26"
2023-05-05 15:50:45,StrongLink - Payment,$-40.18,"$29,218.33"
2023-05-05 21:33:23,youGrocery - Payment,$-95.75,"$29,258.51"
2023-05-06 14:30:15,StrongLink - Payment,$-68.50,"$29,149.83"
2023-05-08 15:11:35,youGrocery - Payment,$-108.18,"$29,041.65"
2023-05-09 13:00:32,Fitr - Payment,$-185.59,"$28,856.06"
2023-05-10 14:14:36,Fitr - Payment,$-61.65,"$28,794.41"
2023-05-11 12:52:15,Fitr - Payment,$-125.79,"$28,668.62"
2023-05-13 08:15:50,Fitr - Payment,$-114.37,"$28,492.30"
