date,to,from_,size,type_
2023-01-02 09:55:08,(736) 281-0632,(602) 492-2741,13.6 MB,Sent Media
2023-01-02 17:46:24,(736) 281-0632,(602) 492-2741,268 characters,Sent Text
2023-01-02 20:33:46,(736) 281-0632,(602) 492-2741,48 minutes,Outbound Call
2023-01-03 10:34:59,(736) 281-0632,(602) 492-2741,31 minutes,Outbound Call
2023-01-03 14:31:08,(736) 281-0632,(602) 492-2741,280 characters,Sent Text
2023-01-05 17:57:00,(736) 281-0632,(602) 492-2741,310 characters,Received Text
2023-01-08 10:08:29,(736) 281-0632,(602) 492-2741,170 characters,Received Text
2023-01-10 15:09:24,(736) 281-0632,(602) 492-2741,31 minutes,Outbound Call
2023-01-12 11:40:53,(736) 281-0632,(602) 492-2741,95 characters,Received Text
2023-01-14 21:28:10,(736) 281-0632,(602) 492-2741,78 minutes,Inbound Call
2023-01-15 10:06:56,(736) 281-0632,(602) 492-2741,40 minutes,Outbound Call
2023-01-19 09:15:56,(736) 281-0632,(602) 492-2741,55 minutes,Outbound Call
2023-01-19 14:58:04,(736) 281-0632,(602) 492-2741,202 characters,Sent Text
2023-01-23 08:15:36,(736) 281-0632,(602) 492-2741,103 characters,Sent Text
2023-01-23 19:03:35,(736) 281-0632,(602) 492-2741,47 minutes,Inbound Call
2023-01-23 19:26:36,(736) 281-0632,(602) 492-2741,86 characters,Received Text
2023-01-24 08:32:48,(736) 281-0632,(602) 492-2741,162 characters,Sent Text
2023-01-26 12:25:13,(736) 281-0632,(602) 492-2741,310 characters,Received Text
2023-01-26 19:56:52,(736) 281-0632,(602) 492-2741,349 characters,Sent Text
2023-01-28 13:43:04,(736) 281-0632,(602) 492-2741,234 characters,Sent Text
2023-01-29 21:54:48,(736) 281-0632,(602) 492-2741,59 minutes,Outbound Call
2023-01-30 11:55:30,(736) 281-0632,(602) 492-2741,15 minutes,Outbound Call
2023-01-30 13:24:46,(736) 281-0632,(602) 492-2741,128 characters,Received Text
2023-01-31 10:44:34,(736) 281-0632,(602) 492-2741,288 characters,Received Text
2023-02-02 17:54:42,(736) 281-0632,(602) 492-2741,191 characters,Received Text
2023-02-03 08:03:37,(736) 281-0632,(602) 492-2741,30 minutes,Outbound Call
2023-02-06 08:08:02,(736) 281-0632,(602) 492-2741,57 characters,Received Text
2023-02-07 18:14:53,(736) 281-0632,(602) 492-2741,283 characters,Received Text
2023-02-08 13:15:29,(736) 281-0632,(602) 492-2741,6.2 MB,Sent Media
2023-02-09 10:47:06,(736) 281-0632,(602) 492-2741,71 characters,Sent Text
2023-02-10 10:43:46,(736) 281-0632,(602) 492-2741,67 minutes,Outbound Call
2023-02-10 12:41:29,(736) 281-0632,(602) 492-2741,26 minutes,Inbound Call
2023-02-11 09:35:09,(736) 281-0632,(602) 492-2741,344 characters,Sent Text
2023-02-14 17:13:05,(736) 281-0632,(602) 492-2741,161 characters,Received Text
2023-02-14 21:44:58,(736) 281-0632,(602) 492-2741,106 minutes,Inbound Call
2023-02-15 21:19:26,(736) 281-0632,(602) 492-2741,153 characters,Received Text
2023-02-18 11:34:36,(736) 281-0632,(602) 492-2741,114 minutes,Outbound Call
2023-02-19 13:48:28,(736) 281-0632,(602) 492-2741,287 characters,Received Text
2023-02-21 16:05:44,(736) 281-0632,(602) 492-2741,44 minutes,Outbound Call
2023-02-24 11:32:25,(736) 281-0632,(602) 492-2741,260 characters,Received Text
2023-02-25 15:16:29,(736) 281-0632,(602) 492-2741,138 characters,Sent Text
2023-02-26 13:30:41,(736) 281-0632,(602) 492-2741,117 minutes,Outbound Call
2023-02-27 19:37:02,(736) 281-0632,(602) 492-2741,14 characters,Received Text
2023-02-27 21:22:34,(736) 281-0632,(602) 492-2741,348 characters,Sent Text
2023-03-02 12:00:23,(736) 281-0632,(602) 492-2741,159 characters,Sent Text
2023-03-02 15:39:34,(736) 281-0632,(602) 492-2741,22 characters,Received Text
2023-03-04 19:16:55,(736) 281-0632,(602) 492-2741,65 characters,Sent Text
2023-03-04 20:21:09,(736) 281-0632,(602) 492-2741,109 minutes,Inbound Call
2023-03-05 08:45:27,(736) 281-0632,(602) 492-2741,215 characters,Sent Text
2023-03-06 15:15:42,(736) 281-0632,(602) 492-2741,271 characters,Sent Text
2023-03-07 08:36:52,(736) 281-0632,(602) 492-2741,287 characters,Sent Text
2023-03-07 15:47:09,(736) 281-0632,(602) 492-2741,28 minutes,Inbound Call
2023-03-08 13:21:39,(736) 281-0632,(602) 492-2741,41 minutes,Inbound Call
2023-03-09 09:42:21,(736) 281-0632,(602) 492-2741,285 characters,Sent Text
2023-03-10 21:02:04,(736) 281-0632,(602) 492-2741,195 characters,Received Text
2023-03-11 11:32:15,(736) 281-0632,(602) 492-2741,187 characters,Received Text
2023-03-12 08:26:48,(736) 281-0632,(602) 492-2741,11 minutes,Outbound Call
2023-03-12 09:30:10,(736) 281-0632,(602) 492-2741,117 characters,Sent Text
2023-03-12 15:45:36,(736) 281-0632,(602) 492-2741,32 minutes,Inbound Call
2023-03-14 20:26:00,(736) 281-0632,(602) 492-2741,18.0 MB,Sent Media
2023-03-16 17:18:18,(736) 281-0632,(602) 492-2741,8.0 MB,Sent Media
2023-03-17 09:40:39,(736) 281-0632,(602) 492-2741,281 characters,Sent Text
2023-03-17 17:00:33,(736) 281-0632,(602) 492-2741,73 minutes,Outbound Call
2023-03-17 17:49:01,(736) 281-0632,(602) 492-2741,329 characters,Received Text
2023-03-19 19:14:15,(736) 281-0632,(602) 492-2741,48 characters,Received Text
2023-03-20 20:40:21,(736) 281-0632,(602) 492-2741,102 characters,Sent Text
2023-03-23 21:58:58,(736) 281-0632,(602) 492-2741,196 characters,Sent Text
2023-03-26 19:52:56,(736) 281-0632,(602) 492-2741,262 characters,Sent Text
2023-03-27 12:39:06,(736) 281-0632,(602) 492-2741,18.0 MB,Received Media
2023-03-28 14:41:53,(736) 281-0632,(602) 492-2741,126 characters,Received Text
2023-03-30 12:37:40,(736) 281-0632,(602) 492-2741,116 minutes,Outbound Call
2023-03-30 17:08:19,(736) 281-0632,(602) 492-2741,56 minutes,Inbound Call
2023-03-31 09:16:38,(736) 281-0632,(602) 492-2741,16 minutes,Inbound Call
2023-03-31 21:10:58,(736) 281-0632,(602) 492-2741,310 characters,Sent Text
2023-04-04 16:48:29,(736) 281-0632,(602) 492-2741,221 characters,Received Text
2023-04-05 09:36:37,(736) 281-0632,(602) 492-2741,2.0 MB,Received Media
2023-04-05 13:20:17,(736) 281-0632,(602) 492-2741,28 minutes,Outbound Call
2023-04-07 12:15:18,(736) 281-0632,(602) 492-2741,276 characters,Received Text
2023-04-07 16:17:26,(736) 281-0632,(602) 492-2741,320 characters,Sent Text
2023-04-08 08:03:30,(736) 281-0632,(602) 492-2741,25 characters,Sent Text
2023-04-08 17:40:24,(736) 281-0632,(602) 492-2741,13 minutes,Inbound Call
2023-04-09 16:05:05,(736) 281-0632,(602) 492-2741,346 characters,Received Text
2023-04-09 21:55:50,(736) 281-0632,(602) 492-2741,19 characters,Sent Text
2023-04-10 15:20:34,(736) 281-0632,(602) 492-2741,52 characters,Received Text
2023-04-10 17:51:43,(736) 281-0632,(602) 492-2741,279 characters,Sent Text
2023-04-10 19:39:12,(736) 281-0632,(602) 492-2741,13 minutes,Outbound Call
2023-04-12 16:59:06,(736) 281-0632,(602) 492-2741,192 characters,Sent Text
2023-04-13 11:28:19,(736) 281-0632,(602) 492-2741,23 minutes,Inbound Call
2023-04-15 12:34:17,(736) 281-0632,(602) 492-2741,211 characters,Received Text
2023-04-17 09:38:32,(736) 281-0632,(602) 492-2741,13 minutes,Outbound Call
2023-04-17 21:49:18,(736) 281-0632,(602) 492-2741,122 characters,Received Text
2023-04-21 11:22:33,(736) 281-0632,(602) 492-2741,119 minutes,Outbound Call
2023-04-23 08:10:32,(736) 281-0632,(602) 492-2741,312 characters,Received Text
2023-04-24 18:15:23,(736) 281-0632,(602) 492-2741,52 minutes,Outbound Call
2023-04-25 14:46:09,(736) 281-0632,(602) 492-2741,211 characters,Received Text
2023-04-25 21:29:13,(736) 281-0632,(602) 492-2741,25 minutes,Outbound Call
2023-04-26 20:30:48,(736) 281-0632,(602) 492-2741,19 characters,Received Text
2023-04-29 10:17:47,(736) 281-0632,(602) 492-2741,51 minutes,Outbound Call
2023-05-01 15:57:36,(736) 281-0632,(602) 492-2741,12.0 MB,Sent Media
2023-05-02 18:28:58,(736) 281-0632,(602) 492-2741,53 characters,Sent Text
2023-05-03 14:08:49,(736) 281-0632,(602) 492-2741,14.4 MB,Sent Media
2023-05-04 12:55:40,(736) 281-0632,(602) 492-2741,188 characters,Sent Text
2023-05-05 14:22:38,(736) 281-0632,(602) 492-2741,7 minutes,Outbound Call
2023-05-06 20:31:42,(736) 281-0632,(602) 492-2741,285 characters,Received Text
2023-05-07 16:14:26,(736) 281-0632,(602) 492-2741,100 characters,Received Text
2023-05-08 11:42:07,(736) 281-0632,(602) 492-2741,343 characters,Sent Text
2023-05-08 12:42:41,(736) 281-0632,(602) 492-2741,73 characters,Received Text
2023-05-09 21:15:07,(736) 281-0632,(602) 492-2741,298 characters,Sent Text
2023-05-11 14:21:53,(736) 281-0632,(602) 492-2741,47 minutes,Inbound Call
2023-05-12 16:51:04,(736) 281-0632,(602) 492-2741,221 characters,Sent Text
2023-05-12 19:32:40,(736) 281-0632,(602) 492-2741,236 characters,Received Text
2023-05-14 10:56:59,(736) 281-0632,(602) 492-2741,148 characters,Received Text
