date,description,amount,balance
2023-01-01 17:24:12,Fitr - Payment,$-152.93,"$5,215.12"
2023-01-01 18:09:54,youGrocery - Payment,$-94.19,"$5,368.05"
2023-01-02 16:18:11,Fitr - Payment,$-194.10,"$5,021.02"
2023-01-03 19:41:59,youGrocery - Payment,$-117.65,"$4,903.37"
2023-01-06 10:09:56,youGrocery - Payment,$-105.42,"$4,797.95"
2023-01-07 09:33:57,Fitr - Payment,$-61.54,"$4,736.41"
2023-01-08 16:39:47,youGrocery - Payment,$-20.82,"$4,715.59"
2023-01-10 12:58:33,Fitr - Payment,$-180.48,"$4,535.11"
2023-01-11 18:12:00,youGrocery - Payment,$-157.16,"$4,377.95"
2023-01-12 09:31:17,Fitr - Payment,$-111.65,"$4,266.30"
2023-01-13 08:27:04,Fitr - Payment,$-116.79,"$4,149.51"
2023-01-14 13:57:24,youGrocery - Payment,$-112.92,"$4,036.59"
2023-01-14 14:44:47,Flexin - Payment,$-180.18,"$3,856.41"
2023-01-15 09:46:45,Fitr - Payment,$-75.44,"$3,780.97"
2023-01-17 11:38:57,Fitr - Payment,$-107.33,"$3,673.64"
2023-01-18 21:13:45,Fitr - Payment,$-165.31,"$3,508.33"
2023-01-19 11:55:15,Fitr - Payment,$-26.00,"$3,482.33"
2023-01-20 21:44:25,youGrocery - Payment,$-74.35,"$3,407.98"
2023-01-22 10:44:13,Fitr - Payment,$-59.50,"$3,189.74"
2023-01-22 11:11:57,youGrocery - Payment,$-158.74,"$3,249.24"
2023-01-23 09:57:44,Fitr - Payment,$-63.91,"$3,125.83"
2023-01-25 16:01:21,Fitr - Payment,$-191.80,"$2,934.03"
2023-01-26 11:11:09,youGrocery - Payment,$-45.20,"$2,888.83"
2023-01-26 20:33:53,Fitr - Payment,$-167.20,"$2,721.63"
2023-01-27 13:14:59,StrongLink - Payment,$-196.20,"$2,525.43"
2023-01-28 08:04:24,Fitr - Payment,$-70.27,"$2,313.27"
2023-01-28 14:45:37,youGrocery - Payment,$-141.89,"$2,383.54"
2023-01-30 16:09:36,youGrocery - Payment,$-168.00,"$2,145.27"
2023-02-07 12:45:59,Fitr - Payment,$-36.78,"$2,062.35"
2023-02-07 17:37:00,Foodr - Payment,$-46.14,"$2,099.13"
2023-02-10 18:33:23,Fitr - Payment,$-86.50,"$1,975.85"
2023-02-14 20:35:49,youGrocery - Payment,$-176.98,"$1,798.87"
2023-02-15 14:04:16,Fitr - Payment,$-77.20,"$1,721.67"
2023-02-16 17:55:14,youGrocery - Payment,$-53.88,"$1,667.79"
2023-02-18 11:50:19,Fitr - Payment,$-87.90,"$1,548.28"
2023-02-18 21:38:10,youGrocery - Payment,$-31.61,"$1,636.18"
2023-02-19 16:51:05,youGrocery - Payment,$-131.11,"$1,417.17"
2023-02-20 10:07:54,Fitr - Payment,$-23.86,"$1,319.13"
2023-02-20 18:25:11,Healthn - Payment,$-74.18,"$1,342.99"
2023-02-21 11:08:48,Flexin - Payment,$-60.38,"$1,258.75"
2023-02-23 08:46:11,StrongLink - Payment,$-118.70,"$1,140.05"
2023-02-24 18:38:01,Fitr - Payment,$-199.64,$940.41
2023-02-25 13:54:03,Fitr - Payment,$-121.42,$818.99
