date,description,amount,balance
2023-01-01 14:10:14,StrongLink - Payment,$-39.62,"$29,729.87"
2023-01-02 09:46:47,StrongLink - Payment,$-97.52,"$29,632.35"
2023-01-04 20:17:42,Foodr - Payment,$-33.26,"$29,599.09"
2023-01-06 20:35:00,Foodr - Payment,$-50.47,"$29,548.62"
2023-01-07 16:31:14,Foodr - Payment,$-52.60,"$29,496.02"
2023-01-11 15:37:27,StrongLink - Payment,$-147.10,"$29,348.92"
2023-01-14 11:16:33,StrongLink - Payment,$-182.61,"$29,166.31"
2023-01-15 10:23:14,Flexin - Payment,$-127.00,"$29,039.31"
2023-01-20 21:01:52,StrongLink - Payment,$-183.23,"$28,856.08"
2023-01-23 18:11:28,StrongLink - Payment,$-178.73,"$28,677.35"
2023-01-26 10:11:00,StrongLink - Payment,$-119.36,"$28,557.99"
2023-01-27 12:55:10,StrongLink - Payment,$-155.50,"$28,402.49"
2023-01-28 09:40:28,StrongLink - Payment,$-80.46,"$28,322.03"
2023-01-31 11:01:51,StrongLink - Payment,$-88.32,"$28,233.71"
2023-02-01 15:49:16,StrongLink - Payment,$-64.30,"$28,169.41"
2023-02-04 20:00:36,StrongLink - Payment,$-138.22,"$28,031.19"
2023-02-07 20:41:42,StrongLink - Payment,$-119.78,"$27,911.41"
2023-02-10 18:04:51,StrongLink - Payment,$-20.29,"$27,891.12"
2023-02-11 09:54:46,StrongLink - Payment,$-49.91,"$27,841.21"
2023-02-14 18:35:42,Fitr - Payment,$-73.13,"$27,768.08"
2023-02-15 15:43:48,StrongLink - Payment,$-21.64,"$27,746.44"
2023-02-17 08:26:56,Foodr - Payment,$-45.40,"$27,701.04"
2023-02-17 17:21:56,StrongLink - Payment,$-184.99,"$27,516.05"
2023-02-20 08:02:14,StrongLink - Payment,$-193.22,"$27,322.83"
2023-02-22 15:27:55,StrongLink - Payment,$-159.46,"$26,999.54"
2023-02-22 20:48:14,AffordableHub - Payment,$-163.83,"$27,159.00"
2023-02-24 11:42:51,StrongLink - Payment,$-88.72,"$26,910.82"
2023-02-26 17:04:43,StrongLink - Payment,$-184.86,"$26,725.96"
2023-02-28 14:28:52,Foodr - Payment,$-71.74,"$26,654.22"
2023-02-28 15:55:40,Fitr - Payment,$-199.23,"$26,454.99"
2023-03-01 21:42:34,Fitr - Payment,$-168.49,"$26,286.50"
2023-03-02 09:38:14,Healthn - Payment,$-39.51,"$26,246.99"
2023-03-03 10:44:48,AffordableHub - Payment,$-90.10,"$26,156.89"
2023-03-04 12:03:12,StrongLink - Payment,$-69.68,"$26,087.21"
2023-03-05 11:18:37,StrongLink - Payment,$-143.44,"$25,840.37"
2023-03-05 20:25:47,youGrocery - Payment,$-103.40,"$25,983.81"
2023-03-06 09:50:53,Flexin - Payment,$-84.70,"$25,755.67"
2023-03-09 13:33:17,StrongLink - Payment,$-122.10,"$25,461.97"
2023-03-09 21:08:27,Foodr - Payment,$-171.60,"$25,584.07"
2023-03-11 10:36:59,StrongLink - Payment,$-31.94,"$25,304.18"
2023-03-11 19:19:22,Foodr - Payment,$-125.85,"$25,336.12"
2023-03-12 20:40:35,StrongLink - Payment,$-24.63,"$25,279.55"
2023-03-14 21:32:37,StrongLink - Payment,$-147.82,"$25,131.73"
2023-03-15 18:25:59,Fitr - Payment,$-150.35,"$24,981.38"
2023-03-16 18:38:19,StrongLink - Payment,$-117.60,"$24,863.78"
2023-03-18 08:26:26,StrongLink - Payment,$-102.97,"$24,760.81"
2023-03-20 12:45:11,StrongLink - Payment,$-67.11,"$24,693.70"
2023-03-26 20:49:27,Fitr - Payment,$-54.29,"$24,639.41"
2023-03-27 12:52:39,Fitr - Payment,$-87.27,"$24,552.14"
2023-03-28 20:08:01,Foodr - Payment,$-174.37,"$24,377.77"
2023-03-31 19:44:38,StrongLink - Payment,$-173.22,"$24,204.55"
