date,description,amount,balance
2023-01-04 18:29:52,StrongLink - Payment,$-127.51,"$17,662.55"
2023-01-07 20:52:23,StrongLink - Payment,$-60.74,"$17,601.81"
2023-01-11 17:11:06,StrongLink - Payment,$-82.81,"$17,519.00"
2023-01-12 09:51:00,Fitr - Payment,$-115.62,"$17,403.38"
2023-01-18 12:37:16,StrongLink - Payment,$-81.83,"$17,321.55"
2023-01-20 20:00:49,StrongLink - Payment,$-42.91,"$17,278.64"
2023-01-21 12:21:33,StrongLink - Payment,$-150.92,"$17,127.72"
2023-01-24 09:56:43,StrongLink - Payment,$-125.35,"$17,002.37"
2023-01-29 20:37:19,Flexin - Payment,$-127.91,"$16,874.46"
2023-01-30 13:44:19,AffordableHub - Payment,$-131.89,"$16,742.57"
2023-01-31 21:09:05,StrongLink - Payment,$-107.22,"$16,635.35"
2023-02-03 14:45:23,StrongLink - Payment,$-122.39,"$16,512.96"
2023-02-04 12:24:51,StrongLink - Payment,$-53.36,"$16,459.60"
2023-02-09 17:54:28,Flexin - Payment,$-91.12,"$16,368.48"
2023-02-12 18:16:24,youGrocery - Payment,$-92.54,"$16,275.94"
2023-02-13 13:33:40,Fitr - Payment,$-189.92,"$16,086.02"
2023-02-17 12:13:55,StrongLink - Payment,$-180.67,"$15,905.35"
2023-02-22 20:09:19,StrongLink - Payment,$-175.50,"$15,729.85"
2023-02-28 21:37:10,Flexin - Payment,$-93.47,"$15,636.38"
2023-03-03 15:09:44,StrongLink - Payment,$-55.79,"$15,580.59"
2023-03-04 19:06:25,Flexin - Payment,$-57.17,"$15,523.42"
2023-03-06 11:36:41,StrongLink - Payment,$-118.44,"$15,343.40"
2023-03-06 12:57:00,AffordableHub - Payment,$-61.58,"$15,461.84"
2023-03-07 12:25:59,Flexin - Payment,$-154.40,"$15,189.00"
2023-03-09 20:38:54,StrongLink - Payment,$-167.54,"$15,021.46"
2023-03-13 18:15:23,StrongLink - Payment,$-86.33,"$14,935.13"
2023-03-14 14:43:10,StrongLink - Payment,$-148.70,"$14,786.43"
2023-03-15 18:01:49,AffordableHub - Payment,$-159.86,"$14,626.57"
2023-03-16 11:34:20,StrongLink - Payment,$-170.77,"$14,455.80"
2023-03-17 21:58:34,AffordableHub - Payment,$-98.86,"$14,356.94"
2023-03-20 12:45:04,StrongLink - Payment,$-141.28,"$14,215.66"
2023-03-21 15:33:32,StrongLink - Payment,$-90.80,"$14,124.86"
2023-03-25 15:11:49,StrongLink - Payment,$-22.95,"$14,101.91"
2023-03-27 10:20:01,Flexin - Payment,$-136.18,"$13,965.73"
2023-03-31 18:14:16,StrongLink - Payment,$-99.52,"$13,866.21"
2023-04-02 12:13:40,StrongLink - Payment,$-21.60,"$13,844.61"
2023-04-08 18:42:28,Flexin - Payment,$-77.48,"$13,767.13"
2023-04-09 09:46:43,AffordableHub - Payment,$-37.96,"$13,729.17"
2023-04-10 12:59:44,AffordableHub - Payment,$-33.10,"$13,696.07"
2023-04-10 16:20:29,StrongLink - Payment,$-160.38,"$13,535.69"
2023-04-11 08:38:58,Healthn - Payment,$-110.80,"$13,424.89"
2023-04-11 14:23:33,StrongLink - Payment,$-59.99,"$13,364.90"
2023-04-12 08:33:20,StrongLink - Payment,$-33.90,"$13,331.00"
2023-04-15 11:52:29,StrongLink - Payment,$-103.79,"$13,227.21"
2023-04-17 19:02:26,StrongLink - Payment,$-113.94,"$13,113.27"
