date,to,from_,size,type_
2023-01-01 17:51:43,(424) 551-0034,(151) 974-1081,94 minutes,Outbound Call
2023-01-01 20:43:23,(494) 721-6384,(151) 974-1081,267 characters,Received Text
2023-01-02 11:33:51,(657) 114-8737,(151) 974-1081,155 characters,Sent Text
2023-01-03 11:03:41,(424) 551-0034,(151) 974-1081,164 characters,Sent Text
2023-01-03 18:17:58,(494) 721-6384,(151) 974-1081,267 characters,Sent Text
2023-01-04 11:54:51,(494) 721-6384,(151) 974-1081,59 minutes,Outbound Call
2023-01-04 14:07:34,(424) 551-0034,(151) 974-1081,180 characters,Sent Text
2023-01-04 14:47:30,(494) 721-6384,(151) 974-1081,62 characters,Received Text
2023-01-04 15:19:41,(657) 114-8737,(151) 974-1081,30 minutes,Outbound Call
2023-01-04 17:48:47,(424) 551-0034,(151) 974-1081,12.7 MB,Sent Media
2023-01-04 20:53:57,(424) 551-0034,(151) 974-1081,2 minutes,Outbound Call
2023-01-05 14:40:17,(424) 551-0034,(151) 974-1081,323 characters,Received Text
2023-01-06 12:14:42,(424) 551-0034,(151) 974-1081,12.1 MB,Received Media
2023-01-06 15:01:24,(494) 721-6384,(151) 974-1081,7 minutes,Outbound Call
2023-01-06 20:16:45,(494) 721-6384,(151) 974-1081,1.6 MB,Received Media
2023-01-07 08:00:08,(494) 721-6384,(151) 974-1081,90 characters,Sent Text
2023-01-07 08:57:41,(424) 551-0034,(151) 974-1081,198 characters,Received Text
2023-01-07 12:02:01,(424) 551-0034,(151) 974-1081,54 characters,Sent Text
2023-01-07 12:44:01,(494) 721-6384,(151) 974-1081,6.2 MB,Sent Media
2023-01-07 17:15:38,(424) 551-0034,(151) 974-1081,107 minutes,Outbound Call
2023-01-07 20:51:20,(657) 114-8737,(151) 974-1081,159 characters,Received Text
2023-01-08 08:43:56,(424) 551-0034,(151) 974-1081,329 characters,Received Text
2023-01-08 18:11:35,(494) 721-6384,(151) 974-1081,59 minutes,Inbound Call
2023-01-09 11:47:32,(424) 551-0034,(151) 974-1081,91 characters,Sent Text
2023-01-09 18:29:51,(657) 114-8737,(151) 974-1081,43 minutes,Outbound Call
2023-01-10 09:41:57,(657) 114-8737,(151) 974-1081,195 characters,Received Text
2023-01-10 11:43:16,(657) 114-8737,(151) 974-1081,66 minutes,Outbound Call
2023-01-11 14:43:52,(657) 114-8737,(151) 974-1081,127 characters,Sent Text
2023-01-11 17:26:12,(424) 551-0034,(151) 974-1081,50 minutes,Inbound Call
2023-01-11 20:17:50,(494) 721-6384,(151) 974-1081,258 characters,Received Text
2023-01-12 08:20:09,(494) 721-6384,(151) 974-1081,42 characters,Sent Text
2023-01-13 12:44:50,(657) 114-8737,(151) 974-1081,57 minutes,Inbound Call
2023-01-13 12:56:47,(494) 721-6384,(151) 974-1081,180 characters,Sent Text
2023-01-13 15:38:06,(657) 114-8737,(151) 974-1081,117 characters,Received Text
2023-01-14 13:11:42,(657) 114-8737,(151) 974-1081,35 characters,Received Text
2023-01-14 13:32:51,(424) 551-0034,(151) 974-1081,310 characters,Sent Text
2023-01-14 14:41:34,(494) 721-6384,(151) 974-1081,40 characters,Received Text
2023-01-14 20:00:35,(494) 721-6384,(151) 974-1081,12.7 MB,Sent Media
2023-01-15 17:10:39,(657) 114-8737,(151) 974-1081,313 characters,Sent Text
2023-01-15 18:20:57,(494) 721-6384,(151) 974-1081,113 minutes,Outbound Call
2023-01-15 18:58:41,(424) 551-0034,(151) 974-1081,29 characters,Sent Text
2023-01-16 09:42:15,(494) 721-6384,(151) 974-1081,211 characters,Received Text
2023-01-16 09:43:18,(424) 551-0034,(151) 974-1081,162 characters,Sent Text
2023-01-16 10:57:01,(657) 114-8737,(151) 974-1081,186 characters,Received Text
2023-01-16 11:10:12,(657) 114-8737,(151) 974-1081,0.7 MB,Sent Media
2023-01-16 21:45:59,(424) 551-0034,(151) 974-1081,16.8 MB,Received Media
2023-01-17 09:18:41,(424) 551-0034,(151) 974-1081,262 characters,Received Text
2023-01-17 10:16:37,(424) 551-0034,(151) 974-1081,324 characters,Sent Text
2023-01-17 11:20:48,(424) 551-0034,(151) 974-1081,51 minutes,Outbound Call
2023-01-17 14:33:12,(494) 721-6384,(151) 974-1081,71 minutes,Inbound Call
2023-01-18 11:13:13,(424) 551-0034,(151) 974-1081,50 minutes,Inbound Call
2023-01-18 11:26:43,(494) 721-6384,(151) 974-1081,4.9 MB,Sent Media
2023-01-18 18:48:40,(657) 114-8737,(151) 974-1081,310 characters,Received Text
2023-01-19 10:14:28,(424) 551-0034,(151) 974-1081,243 characters,Received Text
2023-01-20 10:56:16,(424) 551-0034,(151) 974-1081,292 characters,Received Text
2023-01-20 14:01:08,(494) 721-6384,(151) 974-1081,256 characters,Sent Text
2023-01-21 16:40:20,(424) 551-0034,(151) 974-1081,60 characters,Sent Text
2023-01-21 16:41:49,(424) 551-0034,(151) 974-1081,334 characters,Received Text
2023-01-21 17:20:53,(494) 721-6384,(151) 974-1081,25 characters,Sent Text
2023-01-21 21:49:59,(494) 721-6384,(151) 974-1081,262 characters,Received Text
2023-01-22 13:17:22,(494) 721-6384,(151) 974-1081,83 minutes,Inbound Call
2023-01-22 16:17:48,(424) 551-0034,(151) 974-1081,246 characters,Received Text
2023-01-22 16:20:33,(424) 551-0034,(151) 974-1081,60 minutes,Inbound Call
2023-01-22 17:22:48,(657) 114-8737,(151) 974-1081,50 characters,Received Text
2023-01-23 13:37:04,(657) 114-8737,(151) 974-1081,125 characters,Sent Text
2023-01-23 18:11:37,(424) 551-0034,(151) 974-1081,41 characters,Received Text
2023-01-23 19:35:04,(657) 114-8737,(151) 974-1081,16 minutes,Inbound Call
2023-01-24 12:17:13,(424) 551-0034,(151) 974-1081,10 characters,Received Text
2023-01-24 14:50:43,(424) 551-0034,(151) 974-1081,259 characters,Sent Text
2023-01-25 08:40:48,(424) 551-0034,(151) 974-1081,92 minutes,Inbound Call
2023-01-26 10:31:17,(424) 551-0034,(151) 974-1081,7.0 MB,Received Media
2023-01-26 19:05:10,(657) 114-8737,(151) 974-1081,13 characters,Received Text
2023-01-26 19:32:11,(494) 721-6384,(151) 974-1081,149 characters,Received Text
2023-01-28 18:49:02,(657) 114-8737,(151) 974-1081,271 characters,Sent Text
2023-01-29 10:54:19,(424) 551-0034,(151) 974-1081,94 minutes,Outbound Call
2023-01-29 11:54:39,(494) 721-6384,(151) 974-1081,51 minutes,Inbound Call
2023-01-29 15:58:04,(494) 721-6384,(151) 974-1081,195 characters,Sent Text
