date,description,amount,balance
2023-01-02 09:33:42,Flexin - Payment,$-42.92,"$22,402.12"
2023-01-06 20:20:52,AffordableHub - Payment,$-121.44,"$22,280.68"
2023-01-07 17:25:29,youGrocery - Payment,$-144.10,"$22,136.58"
2023-01-08 20:11:47,StrongLink - Payment,$-130.59,"$22,005.99"
2023-01-13 14:50:46,youGrocery - Payment,$-189.23,"$21,816.76"
2023-01-17 21:27:01,StrongLink - Payment,$-113.71,"$21,703.05"
2023-01-21 13:23:36,StrongLink - Payment,$-192.76,"$21,510.29"
2023-01-25 13:17:34,Fitr - Payment,$-117.91,"$21,392.38"
2023-01-27 15:34:58,Flexin - Payment,$-38.12,"$21,354.26"
2023-01-28 14:52:16,youGrocery - Payment,$-27.10,"$21,327.16"
2023-01-28 16:58:51,Flexin - Payment,$-31.10,"$21,296.06"
2023-02-04 21:30:37,Flexin - Payment,$-150.52,"$21,145.54"
2023-02-09 12:45:09,youGrocery - Payment,$-126.24,"$21,019.30"
2023-02-11 08:22:20,youGrocery - Payment,$-105.60,"$20,913.70"
2023-02-13 11:31:02,Flexin - Payment,$-180.94,"$20,732.76"
2023-02-14 15:42:56,Flexin - Payment,$-172.19,"$20,560.57"
2023-02-15 12:11:32,Flexin - Payment,$-69.24,"$20,491.33"
2023-02-20 11:25:51,Foodr - Payment,$-161.96,"$20,329.37"
2023-02-21 09:52:32,youGrocery - Payment,$-109.78,"$20,219.59"
2023-02-22 19:42:27,youGrocery - Payment,$-111.89,"$20,107.70"
2023-02-26 14:48:25,youGrocery - Payment,$-159.41,"$19,948.29"
2023-02-27 20:38:18,Flexin - Payment,$-160.14,"$19,788.15"
2023-03-01 08:34:51,StrongLink - Payment,$-166.54,"$19,621.61"
2023-03-02 11:16:26,Fitr - Payment,$-128.29,"$19,493.32"
2023-03-04 11:30:56,youGrocery - Payment,$-114.79,"$19,378.53"
2023-03-05 16:12:31,youGrocery - Payment,$-95.53,"$19,283.00"
2023-03-11 12:07:44,StrongLink - Payment,$-73.55,"$19,209.45"
2023-03-12 11:05:43,Flexin - Payment,$-61.47,"$19,147.98"
2023-03-26 08:14:29,AffordableHub - Payment,$-155.87,"$18,992.11"
2023-03-29 08:15:32,StrongLink - Payment,$-134.67,"$18,857.44"
2023-03-30 16:13:29,youGrocery - Payment,$-31.87,"$18,825.57"
2023-04-04 17:05:29,youGrocery - Payment,$-29.52,"$18,796.05"
2023-04-05 10:04:48,Flexin - Payment,$-87.71,"$18,708.34"
2023-04-06 13:58:51,youGrocery - Payment,$-36.72,"$18,671.62"
2023-04-06 14:18:07,Flexin - Payment,$-30.17,"$18,641.45"
2023-04-10 15:11:17,youGrocery - Payment,$-156.91,"$18,484.54"
2023-04-10 20:23:38,Fitr - Payment,$-122.43,"$18,362.11"
2023-04-11 15:50:10,AffordableHub - Payment,$-57.90,"$18,304.21"
2023-04-13 16:05:47,Flexin - Payment,$-148.15,"$18,156.06"
2023-04-16 11:28:26,AffordableHub - Payment,$-122.87,"$18,033.19"
2023-04-22 19:58:42,youGrocery - Payment,$-195.90,"$17,837.29"
2023-04-23 17:05:57,Flexin - Payment,$-65.68,"$17,771.61"
2023-04-25 16:23:06,Flexin - Payment,$-72.20,"$17,699.41"
2023-05-01 08:32:24,Fitr - Payment,$-99.91,"$17,599.50"
2023-05-02 17:12:06,youGrocery - Payment,$-192.23,"$17,407.27"
2023-05-03 17:55:08,Flexin - Payment,$-167.15,"$17,179.99"
2023-05-03 20:06:32,youGrocery - Payment,$-60.13,"$17,347.14"
2023-05-04 14:27:51,Foodr - Payment,$-98.12,"$17,081.87"
2023-05-08 14:44:41,StrongLink - Payment,$-37.49,"$17,044.38"
2023-05-09 10:00:24,Flexin - Payment,$-192.52,"$16,725.37"
2023-05-09 20:15:34,AffordableHub - Payment,$-126.49,"$16,917.89"
2023-05-14 19:54:52,youGrocery - Payment,$-25.11,"$16,700.26"
2023-05-19 13:51:19,youGrocery - Payment,$-47.92,"$16,652.34"
2023-05-24 21:34:37,Flexin - Payment,$-36.39,"$16,615.95"
2023-05-31 12:11:32,StrongLink - Payment,$-163.34,"$16,452.61"
2023-06-02 15:17:40,youGrocery - Payment,$-151.33,"$16,301.28"
2023-06-14 18:14:44,Flexin - Payment,$-190.30,"$16,110.98"
2023-06-16 12:13:09,Fitr - Payment,$-174.28,"$15,936.70"
2023-06-18 10:43:35,youGrocery - Payment,$-24.21,"$15,912.49"
2023-06-19 08:10:56,youGrocery - Payment,$-153.93,"$15,758.56"
2023-06-25 09:12:43,Flexin - Payment,$-23.40,"$15,588.54"
2023-06-25 21:53:09,youGrocery - Payment,$-146.62,"$15,611.94"
