date,to,from_,size,type_
2023-01-01 16:42:07,(205) 161-1637,(276) 834-1693,330 characters,Received Text
2023-01-01 21:39:20,(205) 161-1637,(276) 834-1693,74 minutes,Outbound Call
2023-01-02 09:44:46,(426) 746-3751,(276) 834-1693,307 characters,Received Text
2023-01-02 09:52:13,(205) 161-1637,(276) 834-1693,212 characters,Sent Text
2023-01-03 11:52:32,(426) 746-3751,(276) 834-1693,51 characters,Sent Text
2023-01-03 14:49:48,(205) 161-1637,(276) 834-1693,35 minutes,Inbound Call
2023-01-03 16:25:02,(426) 746-3751,(276) 834-1693,72 minutes,Inbound Call
2023-01-03 17:50:41,(205) 161-1637,(276) 834-1693,46 characters,Received Text
2023-01-04 11:01:10,(426) 746-3751,(276) 834-1693,61 minutes,Inbound Call
2023-01-04 16:24:06,(205) 161-1637,(276) 834-1693,142 characters,Received Text
2023-01-04 17:17:54,(426) 746-3751,(276) 834-1693,62 characters,Received Text
2023-01-05 15:13:57,(205) 161-1637,(276) 834-1693,41 characters,Sent Text
2023-01-06 09:39:33,(426) 746-3751,(276) 834-1693,49 characters,Sent Text
2023-01-06 16:58:58,(205) 161-1637,(276) 834-1693,61 minutes,Inbound Call
2023-01-07 10:02:05,(205) 161-1637,(276) 834-1693,13.7 MB,Sent Media
2023-01-07 12:40:26,(205) 161-1637,(276) 834-1693,77 characters,Sent Text
2023-01-08 16:55:41,(205) 161-1637,(276) 834-1693,23 characters,Received Text
2023-01-08 21:22:20,(426) 746-3751,(276) 834-1693,299 characters,Sent Text
2023-01-09 11:33:29,(426) 746-3751,(276) 834-1693,216 characters,Received Text
2023-01-10 14:47:31,(426) 746-3751,(276) 834-1693,349 characters,Received Text
2023-01-10 20:04:51,(426) 746-3751,(276) 834-1693,332 characters,Sent Text
2023-01-11 08:17:49,(205) 161-1637,(276) 834-1693,262 characters,Received Text
2023-01-11 08:38:02,(426) 746-3751,(276) 834-1693,304 characters,Received Text
2023-01-11 11:44:51,(205) 161-1637,(276) 834-1693,77 minutes,Inbound Call
2023-01-11 20:04:57,(426) 746-3751,(276) 834-1693,253 characters,Sent Text
2023-01-12 09:11:31,(426) 746-3751,(276) 834-1693,18.2 MB,Received Media
2023-01-12 15:08:28,(426) 746-3751,(276) 834-1693,101 characters,Received Text
2023-01-12 19:28:23,(205) 161-1637,(276) 834-1693,239 characters,Sent Text
2023-01-12 19:53:58,(205) 161-1637,(276) 834-1693,244 characters,Received Text
2023-01-13 12:31:59,(426) 746-3751,(276) 834-1693,212 characters,Sent Text
2023-01-13 14:33:29,(205) 161-1637,(276) 834-1693,38 characters,Received Text
2023-01-14 21:17:24,(205) 161-1637,(276) 834-1693,108 characters,Sent Text
2023-01-16 12:50:29,(426) 746-3751,(276) 834-1693,10.7 MB,Sent Media
2023-01-16 13:03:45,(205) 161-1637,(276) 834-1693,23 minutes,Outbound Call
2023-01-16 13:47:52,(205) 161-1637,(276) 834-1693,238 characters,Sent Text
2023-01-16 21:35:08,(205) 161-1637,(276) 834-1693,202 characters,Received Text
2023-01-17 18:21:45,(205) 161-1637,(276) 834-1693,71 characters,Received Text
2023-01-18 20:54:13,(426) 746-3751,(276) 834-1693,2 minutes,Outbound Call
2023-01-18 21:42:07,(426) 746-3751,(276) 834-1693,218 characters,Received Text
2023-01-19 11:33:43,(426) 746-3751,(276) 834-1693,335 characters,Sent Text
2023-01-19 19:20:23,(426) 746-3751,(276) 834-1693,19 characters,Received Text
2023-01-19 19:21:07,(205) 161-1637,(276) 834-1693,224 characters,Sent Text
2023-01-20 09:30:20,(426) 746-3751,(276) 834-1693,187 characters,Received Text
2023-01-20 11:35:02,(205) 161-1637,(276) 834-1693,105 minutes,Outbound Call
2023-01-21 21:15:18,(426) 746-3751,(276) 834-1693,296 characters,Received Text
2023-01-22 21:21:19,(426) 746-3751,(276) 834-1693,191 characters,Received Text
2023-01-23 11:12:30,(205) 161-1637,(276) 834-1693,345 characters,Sent Text
2023-01-23 19:33:09,(205) 161-1637,(276) 834-1693,17 minutes,Outbound Call
2023-01-23 19:44:33,(426) 746-3751,(276) 834-1693,134 characters,Sent Text
2023-01-24 13:41:30,(426) 746-3751,(276) 834-1693,18 minutes,Inbound Call
2023-01-24 18:47:58,(426) 746-3751,(276) 834-1693,267 characters,Received Text
2023-01-25 21:47:54,(205) 161-1637,(276) 834-1693,283 characters,Sent Text
2023-01-26 08:27:49,(426) 746-3751,(276) 834-1693,97 characters,Received Text
2023-01-26 09:25:24,(205) 161-1637,(276) 834-1693,5.9 MB,Sent Media
2023-01-26 16:44:57,(426) 746-3751,(276) 834-1693,309 characters,Sent Text
2023-01-26 20:09:39,(426) 746-3751,(276) 834-1693,101 minutes,Outbound Call
2023-01-27 08:28:12,(205) 161-1637,(276) 834-1693,119 minutes,Inbound Call
2023-01-27 18:44:13,(205) 161-1637,(276) 834-1693,261 characters,Sent Text
2023-01-28 11:10:14,(205) 161-1637,(276) 834-1693,267 characters,Received Text
2023-01-28 14:36:11,(426) 746-3751,(276) 834-1693,338 characters,Sent Text
2023-01-29 08:08:01,(426) 746-3751,(276) 834-1693,63 minutes,Outbound Call
2023-01-29 15:52:08,(426) 746-3751,(276) 834-1693,129 characters,Sent Text
2023-01-30 18:52:58,(205) 161-1637,(276) 834-1693,9.1 MB,Sent Media
2023-02-01 11:54:59,(426) 746-3751,(276) 834-1693,28 minutes,Outbound Call
2023-02-01 15:49:47,(205) 161-1637,(276) 834-1693,12 characters,Sent Text
2023-02-01 16:38:31,(205) 161-1637,(276) 834-1693,97 characters,Received Text
2023-02-01 19:46:41,(426) 746-3751,(276) 834-1693,300 characters,Sent Text
2023-02-02 14:33:25,(426) 746-3751,(276) 834-1693,1 minutes,Inbound Call
2023-02-02 15:08:37,(205) 161-1637,(276) 834-1693,349 characters,Received Text
2023-02-03 14:02:21,(426) 746-3751,(276) 834-1693,335 characters,Received Text
2023-02-03 18:27:11,(205) 161-1637,(276) 834-1693,25 minutes,Outbound Call
2023-02-03 21:57:38,(426) 746-3751,(276) 834-1693,114 minutes,Inbound Call
2023-02-04 09:10:11,(205) 161-1637,(276) 834-1693,50 minutes,Inbound Call
2023-02-04 09:47:46,(205) 161-1637,(276) 834-1693,82 characters,Received Text
2023-02-04 20:32:54,(426) 746-3751,(276) 834-1693,58 minutes,Inbound Call
2023-02-05 14:10:44,(205) 161-1637,(276) 834-1693,3 minutes,Outbound Call
2023-02-05 14:27:44,(426) 746-3751,(276) 834-1693,60 minutes,Inbound Call
2023-02-07 08:23:35,(205) 161-1637,(276) 834-1693,44 characters,Received Text
2023-02-07 15:10:45,(426) 746-3751,(276) 834-1693,334 characters,Sent Text
2023-02-07 17:35:01,(426) 746-3751,(276) 834-1693,13.7 MB,Sent Media
2023-02-09 08:47:37,(426) 746-3751,(276) 834-1693,100 characters,Sent Text
2023-02-10 09:13:13,(426) 746-3751,(276) 834-1693,20 minutes,Outbound Call
2023-02-10 11:15:45,(426) 746-3751,(276) 834-1693,278 characters,Sent Text
2023-02-10 16:18:35,(205) 161-1637,(276) 834-1693,11 characters,Sent Text
2023-02-11 13:52:06,(426) 746-3751,(276) 834-1693,2.7 MB,Sent Media
2023-02-11 15:38:39,(205) 161-1637,(276) 834-1693,108 characters,Sent Text
2023-02-12 08:21:04,(426) 746-3751,(276) 834-1693,50 characters,Received Text
2023-02-13 11:36:39,(426) 746-3751,(276) 834-1693,3 minutes,Outbound Call
2023-02-13 19:06:26,(205) 161-1637,(276) 834-1693,108 characters,Sent Text
2023-02-13 20:13:46,(426) 746-3751,(276) 834-1693,306 characters,Sent Text
2023-02-14 09:39:32,(426) 746-3751,(276) 834-1693,20 minutes,Outbound Call
2023-02-15 12:33:41,(426) 746-3751,(276) 834-1693,6 minutes,Inbound Call
2023-02-15 16:17:42,(205) 161-1637,(276) 834-1693,22 characters,Sent Text
2023-02-15 17:08:47,(205) 161-1637,(276) 834-1693,19.9 MB,Sent Media
2023-02-17 15:33:43,(205) 161-1637,(276) 834-1693,48 characters,Sent Text
2023-02-18 10:28:33,(426) 746-3751,(276) 834-1693,48 minutes,Outbound Call
