date,to,from_,size,type_
2023-01-01 17:04:15,(897) 644-2777,(278) 258-8314,45 characters,Sent Text
2023-01-05 13:14:16,(897) 644-2777,(278) 258-8314,185 characters,Received Text
2023-01-06 11:06:28,(897) 644-2777,(278) 258-8314,292 characters,Received Text
2023-01-06 14:57:06,(897) 644-2777,(278) 258-8314,241 characters,Sent Text
2023-01-06 16:13:58,(897) 644-2777,(278) 258-8314,5.3 MB,Received Media
2023-01-07 18:20:07,(897) 644-2777,(278) 258-8314,261 characters,Received Text
2023-01-07 20:33:05,(897) 644-2777,(278) 258-8314,7.2 MB,Received Media
2023-01-09 15:34:49,(897) 644-2777,(278) 258-8314,71 minutes,Inbound Call
2023-01-10 08:33:53,(897) 644-2777,(278) 258-8314,26 minutes,Inbound Call
2023-01-10 19:29:28,(897) 644-2777,(278) 258-8314,86 minutes,Outbound Call
2023-01-12 08:08:56,(897) 644-2777,(278) 258-8314,93 characters,Received Text
2023-01-12 08:58:51,(897) 644-2777,(278) 258-8314,159 characters,Sent Text
2023-01-12 16:32:56,(897) 644-2777,(278) 258-8314,54 minutes,Outbound Call
2023-01-14 15:10:57,(897) 644-2777,(278) 258-8314,69 minutes,Inbound Call
2023-01-14 16:51:09,(897) 644-2777,(278) 258-8314,30 characters,Sent Text
2023-01-17 08:11:40,(897) 644-2777,(278) 258-8314,47 minutes,Inbound Call
2023-01-17 17:47:01,(897) 644-2777,(278) 258-8314,23 characters,Sent Text
2023-01-18 11:35:19,(897) 644-2777,(278) 258-8314,300 characters,Received Text
2023-01-18 16:23:07,(897) 644-2777,(278) 258-8314,67 minutes,Outbound Call
2023-01-21 14:44:56,(897) 644-2777,(278) 258-8314,214 characters,Received Text
2023-01-21 21:35:17,(897) 644-2777,(278) 258-8314,23 characters,Sent Text
2023-01-22 10:31:18,(897) 644-2777,(278) 258-8314,328 characters,Received Text
2023-01-22 11:11:45,(897) 644-2777,(278) 258-8314,77 minutes,Outbound Call
2023-01-23 21:54:55,(897) 644-2777,(278) 258-8314,194 characters,Received Text
2023-01-24 09:54:14,(897) 644-2777,(278) 258-8314,184 characters,Sent Text
2023-01-24 14:24:41,(897) 644-2777,(278) 258-8314,67 characters,Received Text
2023-01-26 17:16:41,(897) 644-2777,(278) 258-8314,119 characters,Received Text
2023-01-27 17:23:41,(897) 644-2777,(278) 258-8314,159 characters,Received Text
2023-01-27 21:51:20,(897) 644-2777,(278) 258-8314,124 characters,Sent Text
2023-01-28 11:51:06,(897) 644-2777,(278) 258-8314,261 characters,Sent Text
2023-01-28 16:53:37,(897) 644-2777,(278) 258-8314,161 characters,Received Text
2023-01-31 18:07:25,(897) 644-2777,(278) 258-8314,192 characters,Sent Text
2023-02-01 20:38:12,(897) 644-2777,(278) 258-8314,328 characters,Received Text
2023-02-04 10:06:47,(897) 644-2777,(278) 258-8314,105 minutes,Inbound Call
2023-02-04 13:59:45,(897) 644-2777,(278) 258-8314,254 characters,Sent Text
2023-02-05 10:28:34,(897) 644-2777,(278) 258-8314,246 characters,Sent Text
2023-02-05 12:25:49,(897) 644-2777,(278) 258-8314,15 characters,Received Text
2023-02-06 10:41:52,(897) 644-2777,(278) 258-8314,13.0 MB,Sent Media
