date,description,amount,balance
2023-01-04 18:36:04,Healthn - Payment,$-165.96,"$1,702.87"
2023-01-06 00:00:00,Purchase by Fitr,"$2,000.00","$3,654.59"
2023-01-06 15:40:30,Healthn - Payment,$-48.28,"$1,654.59"
2023-01-07 20:53:53,Healthn - Payment,$-187.50,"$3,467.09"
2023-01-13 00:00:00,Purchase by Fitr,"$2,000.00","$5,467.09"
2023-01-20 00:00:00,Purchase by Fitr,"$2,000.00","$7,467.09"
2023-01-27 00:00:00,Purchase by Fitr,"$2,000.00","$9,467.09"
2023-02-03 00:00:00,Purchase by Fitr,"$2,000.00","$11,397.91"
2023-02-03 10:20:32,Healthn - Payment,$-69.18,"$9,397.91"
2023-02-06 09:44:56,Foodr - Payment,$-169.26,"$11,228.65"
2023-02-10 00:00:00,Purchase by Fitr,"$2,000.00","$13,228.65"
2023-02-17 00:00:00,Purchase by Fitr,"$2,000.00","$15,228.65"
2023-02-23 13:09:50,Healthn - Payment,$-65.22,"$15,163.43"
2023-02-24 00:00:00,Purchase by Fitr,"$2,000.00","$17,163.43"
2023-02-25 11:59:44,youGrocery - Payment,$-54.66,"$17,108.77"
2023-03-02 14:47:28,Healthn - Payment,$-44.47,"$17,064.30"
2023-03-03 00:00:00,Purchase by Fitr,"$2,000.00","$18,907.69"
2023-03-03 16:16:26,Healthn - Payment,$-156.61,"$16,907.69"
2023-03-10 00:00:00,Purchase by Fitr,"$2,000.00","$20,907.69"
2023-03-13 14:19:44,Healthn - Payment,$-130.55,"$20,777.14"
2023-03-15 20:50:42,Flexin - Payment,$-138.50,"$20,638.64"
2023-03-17 00:00:00,Purchase by Fitr,"$2,000.00","$22,638.64"
2023-03-24 00:00:00,Purchase by Fitr,"$2,000.00","$24,638.64"
2023-03-25 08:45:42,Flexin - Payment,$-72.50,"$24,408.28"
2023-03-25 13:14:11,Healthn - Payment,$-157.86,"$24,480.78"
2023-03-26 11:05:10,Healthn - Payment,$-127.86,"$24,280.42"
2023-03-27 20:59:51,AffordableHub - Payment,$-103.17,"$24,177.25"
2023-03-29 18:58:59,Healthn - Payment,$-88.78,"$24,088.47"
2023-03-30 11:14:55,Healthn - Payment,$-186.20,"$23,902.27"
2023-03-31 00:00:00,Purchase by Fitr,"$2,000.00","$25,902.27"
2023-04-02 16:49:08,Healthn - Payment,$-152.34,"$25,749.93"
2023-04-07 00:00:00,Purchase by Fitr,"$2,000.00","$27,749.93"
2023-04-08 15:01:55,Healthn - Payment,$-102.52,"$27,647.41"
2023-04-09 08:51:09,StrongLink - Payment,$-156.35,"$27,491.06"
2023-04-13 08:54:30,Healthn - Payment,$-27.28,"$27,463.78"
2023-04-14 00:00:00,Purchase by Fitr,"$2,000.00","$29,463.78"
2023-04-16 15:34:20,Foodr - Payment,$-152.29,"$29,311.49"
2023-04-18 12:29:25,youGrocery - Payment,$-49.73,"$29,261.76"
2023-04-21 00:00:00,Purchase by Fitr,"$2,000.00","$31,261.76"
2023-04-26 12:05:54,youGrocery - Payment,$-46.34,"$31,215.42"
2023-04-28 00:00:00,Purchase by Fitr,"$2,000.00","$33,215.42"
2023-04-29 16:04:22,StrongLink - Payment,$-72.92,"$33,142.50"
2023-05-01 14:28:40,youGrocery - Payment,$-70.34,"$33,072.16"
2023-05-04 15:21:04,StrongLink - Payment,$-85.28,"$32,986.88"
2023-05-05 00:00:00,Purchase by Fitr,"$2,000.00","$34,986.88"
2023-05-06 14:09:17,Healthn - Payment,$-62.51,"$34,924.37"
2023-05-06 21:55:41,StrongLink - Payment,$-193.76,"$34,730.61"
