date,description,amount,balance
2023-01-03 17:07:45,Flexin - Payment,$-104.52,"$41,807.23"
2023-01-04 18:26:07,AffordableHub - Payment,$-138.84,"$41,668.39"
2023-01-04 20:22:50,Fitr - Payment,$-165.90,"$41,502.49"
2023-01-07 16:01:04,Fitr - Payment,$-193.90,"$41,308.59"
2023-01-08 08:46:04,Fitr - Payment,$-61.79,"$41,112.26"
2023-01-08 11:03:33,AffordableHub - Payment,$-134.54,"$41,174.05"
2023-01-11 20:40:01,Flexin - Payment,$-186.33,"$40,925.93"
2023-01-12 12:18:22,Fitr - Payment,$-196.70,"$40,729.23"
2023-01-14 14:16:01,Fitr - Payment,$-59.37,"$40,669.86"
2023-01-20 21:07:58,AffordableHub - Payment,$-125.16,"$40,544.70"
2023-01-24 10:50:25,AffordableHub - Payment,$-28.18,"$40,516.52"
2023-01-27 18:32:15,Fitr - Payment,$-145.22,"$40,371.30"
2023-01-28 19:38:15,Fitr - Payment,$-60.91,"$40,310.39"
2023-02-09 08:33:44,Fitr - Payment,$-189.86,"$40,120.53"
2023-02-14 19:07:08,AffordableHub - Payment,$-126.57,"$39,993.96"
2023-02-15 14:54:08,AffordableHub - Payment,$-127.50,"$39,866.46"
2023-02-18 12:50:27,Fitr - Payment,$-93.13,"$39,773.33"
2023-02-19 16:54:52,Fitr - Payment,$-62.13,"$39,711.20"
2023-03-01 14:58:50,AffordableHub - Payment,$-26.74,"$39,684.46"
2023-03-01 18:59:44,Fitr - Payment,$-44.16,"$39,640.30"
2023-03-07 17:46:39,Fitr - Payment,$-113.81,"$39,526.49"
2023-03-11 14:16:31,Fitr - Payment,$-92.53,"$39,433.96"
2023-03-13 15:53:46,Healthn - Payment,$-72.55,"$39,361.41"
2023-03-18 10:02:42,Fitr - Payment,$-22.50,"$39,338.91"
2023-03-19 17:11:55,Fitr - Payment,$-93.80,"$39,245.11"
2023-03-23 19:15:34,Flexin - Payment,$-100.32,"$39,144.79"
2023-03-28 16:19:11,AffordableHub - Payment,$-181.50,"$38,963.29"
2023-04-01 17:08:02,Fitr - Payment,$-145.68,"$38,817.61"
2023-04-09 21:07:37,Fitr - Payment,$-23.99,"$38,793.62"
2023-04-10 11:06:08,AffordableHub - Payment,$-62.31,"$38,731.31"
2023-04-14 08:25:37,Fitr - Payment,$-149.17,"$38,388.34"
2023-04-14 13:51:16,AffordableHub - Payment,$-193.80,"$38,537.51"
2023-04-16 13:41:56,Fitr - Payment,$-59.30,"$38,329.04"
2023-04-28 14:16:25,Fitr - Payment,$-138.58,"$38,190.46"
2023-05-01 16:34:21,AffordableHub - Payment,$-54.92,"$38,135.54"
2023-05-06 10:17:52,Fitr - Payment,$-21.10,"$38,114.44"
2023-05-07 08:03:41,AffordableHub - Payment,$-199.50,"$37,914.94"
2023-05-22 21:18:21,Fitr - Payment,$-137.22,"$37,777.72"
2023-05-24 21:55:02,AffordableHub - Payment,$-148.98,"$37,628.74"
2023-05-25 19:53:51,AffordableHub - Payment,$-70.75,"$37,557.99"
2023-05-26 20:22:37,Fitr - Payment,$-22.73,"$37,535.26"
2023-05-28 21:16:32,AffordableHub - Payment,$-123.37,"$37,411.89"
2023-06-01 11:03:15,Flexin - Payment,$-134.30,"$37,277.59"
2023-06-04 11:34:53,Fitr - Payment,$-79.52,"$37,198.07"
2023-06-06 19:15:26,Fitr - Payment,$-53.56,"$37,144.51"
2023-06-25 17:20:39,Fitr - Payment,$-97.82,"$37,046.69"
2023-06-29 10:43:29,AffordableHub - Payment,$-93.83,"$36,952.86"
2023-07-02 11:42:51,AffordableHub - Payment,$-94.39,"$36,858.47"
2023-07-10 10:42:32,Fitr - Payment,$-44.36,"$36,814.11"
2023-07-14 13:28:25,youGrocery - Payment,$-25.40,"$36,788.71"
2023-07-22 19:29:06,AffordableHub - Payment,$-79.86,"$36,708.85"
2023-07-24 21:06:35,AffordableHub - Payment,$-112.36,"$36,596.49"
2023-07-26 17:02:32,Healthn - Payment,$-70.40,"$36,526.09"
2023-07-27 11:07:05,AffordableHub - Payment,$-150.63,"$36,375.46"
2023-07-27 12:30:51,StrongLink - Payment,$-144.17,"$36,231.29"
2023-08-07 21:25:35,AffordableHub - Payment,$-69.77,"$36,161.52"
2023-08-10 19:36:48,AffordableHub - Payment,$-61.90,"$36,099.62"
2023-08-11 08:38:49,AffordableHub - Payment,$-40.82,"$36,058.80"
2023-08-11 12:48:44,Flexin - Payment,$-170.88,"$35,887.92"
2023-08-22 18:47:43,Flexin - Payment,$-31.73,"$35,856.19"
2023-08-27 13:40:20,AffordableHub - Payment,$-134.86,"$35,721.33"
2023-09-03 15:07:33,Fitr - Payment,$-162.57,"$35,558.76"
2023-09-07 20:54:54,AffordableHub - Payment,$-158.50,"$35,400.26"
2023-09-08 15:25:28,AffordableHub - Payment,$-182.70,"$35,217.56"
2023-09-08 21:34:18,Fitr - Payment,$-91.68,"$35,125.88"
2023-09-11 10:44:22,Healthn - Payment,$-83.99,"$35,041.89"
2023-10-05 10:01:14,Foodr - Payment,$-48.12,"$34,993.77"
2023-10-06 19:10:17,AffordableHub - Payment,$-88.13,"$34,905.64"
2023-10-07 16:43:47,Flexin - Payment,$-20.54,"$34,885.10"
2023-10-13 08:25:24,AffordableHub - Payment,$-170.71,"$34,714.39"
2023-10-14 15:09:28,AffordableHub - Payment,$-169.60,"$34,544.79"
2023-10-15 19:54:55,Fitr - Payment,$-29.54,"$34,515.25"
2023-11-02 18:31:59,Fitr - Payment,$-147.19,"$34,368.06"
2023-11-03 14:12:58,Fitr - Payment,$-81.80,"$34,286.26"
2023-11-07 20:27:47,StrongLink - Payment,$-120.74,"$34,165.52"
2023-11-10 16:09:00,AffordableHub - Payment,$-87.65,"$34,077.87"
2023-11-10 17:32:37,Fitr - Payment,$-50.74,"$34,027.13"
2023-11-16 16:28:34,AffordableHub - Payment,$-106.94,"$33,920.19"
2023-11-18 12:09:24,AffordableHub - Payment,$-136.36,"$33,783.83"
2023-11-20 12:36:57,StrongLink - Payment,$-78.76,"$33,705.07"
2023-12-06 13:52:31,AffordableHub - Payment,$-27.74,"$33,677.33"
2023-12-15 09:57:26,StrongLink - Payment,$-40.96,"$33,636.37"
2023-12-16 13:31:12,Fitr - Payment,$-115.20,"$33,521.17"
2023-12-19 12:07:36,Healthn - Payment,$-139.81,"$33,381.36"
2023-12-21 14:19:01,youGrocery - Payment,$-112.80,"$33,268.56"
2023-12-30 12:14:35,AffordableHub - Payment,$-79.46,"$33,189.10"
2023-12-31 21:59:56,Fitr - Payment,$-158.10,"$33,031.00"
2024-01-04 19:23:40,Fitr - Payment,$-114.00,"$32,917.00"
2024-01-06 08:42:04,Fitr - Payment,$-160.18,"$32,756.82"
2024-01-07 11:22:45,Fitr - Payment,$-184.75,"$32,572.07"
2024-01-10 13:21:32,Fitr - Payment,$-139.41,"$32,432.66"
2024-01-18 21:20:01,Foodr - Payment,$-22.64,"$32,410.02"
2024-01-26 21:35:26,Fitr - Payment,$-152.90,"$32,257.12"
2024-01-27 15:52:58,AffordableHub - Payment,$-160.91,"$32,096.21"
2024-01-28 19:37:05,Fitr - Payment,$-103.00,"$31,993.21"
2024-01-29 12:52:29,Fitr - Payment,$-57.46,"$31,935.75"
