date,description,amount,balance
2023-01-03 20:58:00,Healthn - Payment,$-188.83,"$17,762.20"
2023-01-05 21:21:42,Fitr - Payment,$-40.50,"$17,721.70"
2023-01-08 12:31:07,StrongLink - Payment,$-65.84,"$17,655.86"
2023-01-10 11:36:32,StrongLink - Payment,$-70.20,"$17,491.91"
2023-01-10 12:23:38,AffordableHub - Payment,$-93.75,"$17,562.11"
2023-01-12 15:29:20,AffordableHub - Payment,$-56.80,"$17,435.11"
2023-01-13 09:20:44,StrongLink - Payment,$-143.15,"$17,160.66"
2023-01-13 11:20:56,AffordableHub - Payment,$-131.30,"$17,303.81"
2023-01-16 11:54:39,StrongLink - Payment,$-104.00,"$17,056.66"
2023-01-17 18:36:13,Fitr - Payment,$-184.37,"$16,872.29"
2023-01-19 09:06:08,AffordableHub - Payment,$-72.56,"$16,799.73"
2023-01-20 15:13:42,Flexin - Payment,$-28.72,"$16,771.01"
2023-01-21 14:22:31,StrongLink - Payment,$-151.12,"$16,619.89"
2023-01-22 17:24:21,StrongLink - Payment,$-56.88,"$16,563.01"
2023-01-24 18:19:37,Flexin - Payment,$-79.11,"$16,483.90"
2023-01-25 14:25:31,StrongLink - Payment,$-46.25,"$16,437.65"
2023-01-26 12:53:54,AffordableHub - Payment,$-106.97,"$16,330.68"
2023-01-26 14:41:02,StrongLink - Payment,$-96.71,"$16,233.97"
2023-01-28 15:42:35,StrongLink - Payment,$-160.95,"$16,073.02"
2023-01-30 10:27:13,Fitr - Payment,$-134.17,"$15,796.47"
2023-01-30 10:29:39,AffordableHub - Payment,$-142.38,"$15,930.64"
2023-02-01 12:59:57,StrongLink - Payment,$-38.60,"$15,757.87"
2023-02-02 20:48:26,StrongLink - Payment,$-57.31,"$15,700.56"
2023-02-04 14:57:00,AffordableHub - Payment,$-171.89,"$15,528.67"
2023-02-05 12:48:05,StrongLink - Payment,$-125.20,"$15,403.47"
2023-02-06 09:32:43,StrongLink - Payment,$-59.39,"$15,344.08"
2023-02-09 16:30:16,AffordableHub - Payment,$-31.27,"$15,312.81"
2023-02-10 15:01:56,StrongLink - Payment,$-186.13,"$15,126.68"
2023-02-11 21:18:40,Healthn - Payment,$-119.17,"$15,007.51"
2023-02-12 16:18:17,AffordableHub - Payment,$-47.45,"$14,960.06"
2023-02-13 13:37:54,StrongLink - Payment,$-23.69,"$14,936.37"
2023-02-14 19:12:39,StrongLink - Payment,$-60.42,"$14,875.95"
2023-02-19 11:06:00,AffordableHub - Payment,$-62.61,"$14,813.34"
2023-02-19 16:32:28,StrongLink - Payment,$-136.53,"$14,676.81"
2023-02-21 10:20:37,StrongLink - Payment,$-76.48,"$14,423.02"
2023-02-21 16:42:09,AffordableHub - Payment,$-177.31,"$14,499.50"
2023-02-22 12:41:19,Fitr - Payment,$-94.65,"$14,328.37"
2023-02-24 08:29:53,StrongLink - Payment,$-90.50,"$14,237.87"
2023-03-01 16:49:21,StrongLink - Payment,$-61.85,"$14,176.02"
2023-03-02 13:27:54,StrongLink - Payment,$-94.59,"$13,934.03"
2023-03-02 20:07:20,AffordableHub - Payment,$-147.40,"$14,028.62"
2023-03-06 08:10:44,StrongLink - Payment,$-23.23,"$13,910.80"
2023-03-17 19:04:33,StrongLink - Payment,$-84.14,"$13,826.66"
2023-03-20 08:49:57,StrongLink - Payment,$-146.31,"$13,578.16"
2023-03-20 12:59:23,AffordableHub - Payment,$-102.19,"$13,724.47"
2023-03-21 10:56:17,AffordableHub - Payment,$-88.60,"$13,489.56"
2023-03-28 14:13:37,Fitr - Payment,$-39.59,"$13,449.97"
2023-03-29 19:45:08,AffordableHub - Payment,$-104.88,"$13,345.09"
2023-03-30 12:43:27,StrongLink - Payment,$-168.42,"$13,176.67"
2023-04-01 12:54:47,StrongLink - Payment,$-126.55,"$13,050.12"
2023-04-02 16:38:32,AffordableHub - Payment,$-169.20,"$12,880.92"
2023-04-03 09:40:22,StrongLink - Payment,$-91.42,"$12,789.50"
2023-04-04 18:49:42,StrongLink - Payment,$-111.50,"$12,678.00"
2023-04-05 15:18:58,StrongLink - Payment,$-109.68,"$12,568.32"
2023-04-07 16:46:55,AffordableHub - Payment,$-50.46,"$12,517.86"
2023-04-08 15:35:09,StrongLink - Payment,$-129.15,"$12,388.71"
2023-04-09 17:38:15,StrongLink - Payment,$-194.67,"$12,194.04"
2023-04-13 13:34:34,Flexin - Payment,$-91.48,"$12,102.56"
2023-04-14 09:40:16,StrongLink - Payment,$-155.23,"$11,947.33"
