date,to,from_,size,type_
2023-01-01 14:28:35,(978) 437-8371,(858) 523-0293,125 characters,Sent Text
2023-01-01 19:32:21,(978) 437-8371,(858) 523-0293,112 minutes,Outbound Call
2023-01-02 08:41:46,(978) 437-8371,(858) 523-0293,285 characters,Received Text
2023-01-02 16:48:54,(996) 606-8812,(858) 523-0293,0.9 MB,Sent Media
2023-01-02 18:21:36,(996) 606-8812,(858) 523-0293,3.8 MB,Received Media
2023-01-02 21:48:53,(978) 437-8371,(858) 523-0293,200 characters,Sent Text
2023-01-04 13:22:04,(996) 606-8812,(858) 523-0293,298 characters,Received Text
2023-01-04 13:43:19,(978) 437-8371,(858) 523-0293,89 characters,Sent Text
2023-01-05 10:30:31,(996) 606-8812,(858) 523-0293,4.7 MB,Received Media
2023-01-05 14:52:06,(978) 437-8371,(858) 523-0293,105 minutes,Outbound Call
2023-01-05 20:20:51,(978) 437-8371,(858) 523-0293,161 characters,Sent Text
2023-01-05 21:16:17,(996) 606-8812,(858) 523-0293,25 minutes,Outbound Call
2023-01-06 10:07:08,(996) 606-8812,(858) 523-0293,35 characters,Sent Text
2023-01-06 16:04:10,(996) 606-8812,(858) 523-0293,226 characters,Received Text
2023-01-06 17:10:28,(978) 437-8371,(858) 523-0293,12.1 MB,Sent Media
2023-01-06 19:20:32,(996) 606-8812,(858) 523-0293,82 minutes,Outbound Call
2023-01-06 20:19:13,(978) 437-8371,(858) 523-0293,174 characters,Sent Text
2023-01-07 18:00:49,(996) 606-8812,(858) 523-0293,32 minutes,Inbound Call
2023-01-07 20:31:16,(978) 437-8371,(858) 523-0293,318 characters,Sent Text
2023-01-08 15:27:06,(978) 437-8371,(858) 523-0293,292 characters,Received Text
2023-01-09 10:42:20,(996) 606-8812,(858) 523-0293,130 characters,Sent Text
2023-01-09 10:50:02,(978) 437-8371,(858) 523-0293,107 minutes,Outbound Call
2023-01-09 21:37:08,(996) 606-8812,(858) 523-0293,80 characters,Received Text
2023-01-10 11:45:12,(996) 606-8812,(858) 523-0293,104 characters,Received Text
2023-01-10 17:26:38,(996) 606-8812,(858) 523-0293,184 characters,Sent Text
2023-01-11 08:05:12,(978) 437-8371,(858) 523-0293,188 characters,Received Text
2023-01-11 08:15:41,(996) 606-8812,(858) 523-0293,67 characters,Sent Text
2023-01-11 19:38:36,(996) 606-8812,(858) 523-0293,38 minutes,Outbound Call
2023-01-11 20:42:07,(978) 437-8371,(858) 523-0293,109 minutes,Inbound Call
2023-01-11 21:22:41,(996) 606-8812,(858) 523-0293,221 characters,Received Text
2023-01-12 10:14:12,(978) 437-8371,(858) 523-0293,55 characters,Received Text
2023-01-13 08:59:28,(978) 437-8371,(858) 523-0293,72 minutes,Outbound Call
2023-01-13 09:02:10,(978) 437-8371,(858) 523-0293,171 characters,Received Text
2023-01-15 13:45:02,(978) 437-8371,(858) 523-0293,241 characters,Sent Text
2023-01-15 14:50:52,(978) 437-8371,(858) 523-0293,70 minutes,Inbound Call
2023-01-15 18:03:24,(996) 606-8812,(858) 523-0293,102 minutes,Outbound Call
2023-01-17 10:54:26,(978) 437-8371,(858) 523-0293,143 characters,Sent Text
2023-01-18 09:27:47,(978) 437-8371,(858) 523-0293,89 minutes,Outbound Call
2023-01-18 20:13:52,(996) 606-8812,(858) 523-0293,31 minutes,Inbound Call
2023-01-19 12:25:17,(996) 606-8812,(858) 523-0293,242 characters,Sent Text
2023-01-19 16:08:58,(978) 437-8371,(858) 523-0293,286 characters,Received Text
2023-01-20 13:58:36,(978) 437-8371,(858) 523-0293,227 characters,Sent Text
2023-01-21 20:44:55,(996) 606-8812,(858) 523-0293,307 characters,Received Text
2023-01-22 16:55:30,(996) 606-8812,(858) 523-0293,3.5 MB,Received Media
2023-01-22 17:26:41,(996) 606-8812,(858) 523-0293,180 characters,Received Text
2023-01-22 21:47:05,(978) 437-8371,(858) 523-0293,325 characters,Sent Text
2023-01-23 21:10:14,(978) 437-8371,(858) 523-0293,84 characters,Sent Text
2023-01-24 10:27:55,(996) 606-8812,(858) 523-0293,131 characters,Received Text
2023-01-24 16:59:54,(978) 437-8371,(858) 523-0293,273 characters,Received Text
2023-01-25 18:12:22,(978) 437-8371,(858) 523-0293,166 characters,Sent Text
2023-01-26 14:42:24,(996) 606-8812,(858) 523-0293,52 minutes,Inbound Call
2023-01-27 16:59:40,(978) 437-8371,(858) 523-0293,345 characters,Sent Text
2023-01-27 21:12:05,(978) 437-8371,(858) 523-0293,5.5 MB,Received Media
2023-01-28 12:36:33,(978) 437-8371,(858) 523-0293,13 minutes,Inbound Call
2023-01-28 17:39:56,(996) 606-8812,(858) 523-0293,313 characters,Sent Text
