date,to,from_,size,type_
2023-01-01 09:01:50,(621) 669-7254,(406) 811-6484,49 characters,Sent Text
2023-01-01 12:40:06,(107) 456-1789,(406) 811-6484,160 characters,Sent Text
2023-01-01 15:38:44,(621) 669-7254,(406) 811-6484,47 minutes,Outbound Call
2023-01-01 18:08:25,(107) 456-1789,(406) 811-6484,111 minutes,Outbound Call
2023-01-01 19:46:30,(181) 128-3053,(406) 811-6484,4.7 MB,Sent Media
2023-01-01 20:52:11,(621) 669-7254,(406) 811-6484,44 characters,Received Text
2023-01-02 14:31:32,(107) 456-1789,(406) 811-6484,192 characters,Received Text
2023-01-02 17:11:39,(621) 669-7254,(406) 811-6484,136 characters,Received Text
2023-01-02 18:41:17,(107) 456-1789,(406) 811-6484,30 minutes,Inbound Call
2023-01-02 20:22:47,(181) 128-3053,(406) 811-6484,116 characters,Received Text
2023-01-03 08:06:35,(181) 128-3053,(406) 811-6484,15.2 MB,Sent Media
2023-01-03 13:33:18,(181) 128-3053,(406) 811-6484,108 characters,Sent Text
2023-01-03 14:15:39,(107) 456-1789,(406) 811-6484,228 characters,Received Text
2023-01-03 20:09:38,(107) 456-1789,(406) 811-6484,115 minutes,Outbound Call
2023-01-03 20:30:12,(621) 669-7254,(406) 811-6484,29 minutes,Outbound Call
2023-01-03 20:39:59,(621) 669-7254,(406) 811-6484,33 characters,Received Text
2023-01-04 13:39:53,(181) 128-3053,(406) 811-6484,236 characters,Received Text
2023-01-04 13:50:45,(107) 456-1789,(406) 811-6484,0.9 MB,Sent Media
2023-01-04 20:02:37,(621) 669-7254,(406) 811-6484,194 characters,Sent Text
2023-01-04 20:52:55,(107) 456-1789,(406) 811-6484,239 characters,Sent Text
2023-01-05 09:32:38,(621) 669-7254,(406) 811-6484,5.0 MB,Sent Media
2023-01-05 10:29:37,(621) 669-7254,(406) 811-6484,57 minutes,Outbound Call
2023-01-05 15:49:22,(181) 128-3053,(406) 811-6484,298 characters,Sent Text
2023-01-06 09:04:31,(107) 456-1789,(406) 811-6484,102 characters,Sent Text
