date,description,amount,balance
2023-01-01 11:49:35,Fitr - Payment,$-195.10,"$22,812.57"
2023-01-05 21:32:00,Fitr - Payment,$-164.43,"$22,648.14"
2023-01-06 08:23:29,Foodr - Payment,$-59.31,"$22,588.83"
2023-01-07 19:32:52,Fitr - Payment,$-190.51,"$22,398.32"
2023-01-09 21:24:43,Fitr - Payment,$-178.21,"$22,220.11"
2023-01-11 20:39:39,Fitr - Payment,$-111.28,"$22,108.83"
2023-01-12 15:14:28,Fitr - Payment,$-102.29,"$22,006.54"
2023-01-13 12:44:48,Fitr - Payment,$-60.55,"$21,945.99"
2023-01-15 17:00:22,Fitr - Payment,$-134.58,"$21,811.41"
2023-01-19 15:45:19,Fitr - Payment,$-44.25,"$21,767.16"
2023-01-23 08:43:46,Fitr - Payment,$-52.62,"$21,714.54"
2023-01-24 14:58:13,Fitr - Payment,$-51.43,"$21,663.11"
2023-01-29 16:35:53,Fitr - Payment,$-45.73,"$21,617.38"
2023-02-03 11:36:24,Fitr - Payment,$-87.97,"$21,411.06"
2023-02-03 16:39:12,Foodr - Payment,$-118.35,"$21,499.03"
2023-02-05 13:29:59,Fitr - Payment,$-38.81,"$21,372.25"
2023-02-06 13:29:22,Foodr - Payment,$-68.00,"$21,304.25"
2023-02-06 18:10:11,Fitr - Payment,$-197.20,"$21,107.05"
2023-02-09 15:59:55,Fitr - Payment,$-82.42,"$21,024.63"
2023-02-10 14:16:04,Foodr - Payment,$-122.44,"$20,902.19"
2023-02-13 20:42:58,Flexin - Payment,$-45.47,"$20,856.72"
2023-02-14 08:10:36,StrongLink - Payment,$-50.67,"$20,806.05"
2023-02-15 11:27:42,Fitr - Payment,$-57.86,"$20,748.19"
2023-02-16 17:38:35,AffordableHub - Payment,$-148.68,"$20,599.51"
2023-02-17 11:30:13,Fitr - Payment,$-138.61,"$20,295.60"
2023-02-17 19:02:40,Foodr - Payment,$-165.30,"$20,434.21"
2023-02-19 10:46:47,Flexin - Payment,$-29.10,"$20,266.50"
2023-02-22 11:26:44,Fitr - Payment,$-67.44,"$20,199.06"
2023-02-23 14:04:23,Fitr - Payment,$-34.29,"$20,164.77"
2023-02-24 20:23:59,Fitr - Payment,$-136.33,"$20,028.44"
2023-02-25 14:27:25,Fitr - Payment,$-103.14,"$19,925.30"
2023-02-26 14:35:09,Fitr - Payment,$-138.10,"$19,592.09"
2023-02-26 16:36:03,Foodr - Payment,$-195.11,"$19,730.19"
2023-02-27 16:26:31,Fitr - Payment,$-130.78,"$19,461.31"
2023-03-01 16:53:22,Foodr - Payment,$-157.14,"$19,304.17"
2023-03-03 09:55:02,Foodr - Payment,$-132.10,"$19,172.07"
2023-03-03 12:05:13,Fitr - Payment,$-75.88,"$19,096.19"
2023-03-04 17:19:13,Fitr - Payment,$-144.88,"$18,951.31"
2023-03-07 11:47:31,Flexin - Payment,$-59.68,"$18,891.63"
2023-03-09 08:56:46,Foodr - Payment,$-58.21,"$18,833.42"
2023-03-10 20:45:53,Foodr - Payment,$-67.36,"$18,766.06"
2023-03-11 16:44:05,Fitr - Payment,$-103.60,"$18,662.46"
2023-03-12 09:48:12,Foodr - Payment,$-94.45,"$18,568.01"
2023-03-12 20:27:55,Fitr - Payment,$-117.30,"$18,450.71"
2023-03-13 12:27:43,Fitr - Payment,$-116.55,"$18,334.16"
2023-03-15 12:02:40,Fitr - Payment,$-132.18,"$18,201.98"
2023-03-16 14:30:07,Fitr - Payment,$-33.88,"$18,168.10"
2023-03-18 18:32:44,Flexin - Payment,$-59.48,"$18,108.62"
2023-03-20 14:52:02,Foodr - Payment,$-136.83,"$17,971.79"
2023-03-23 12:12:39,youGrocery - Payment,$-180.18,"$17,791.61"
2023-03-24 10:30:40,Fitr - Payment,$-109.70,"$17,681.91"
2023-03-25 10:07:37,Fitr - Payment,$-151.50,"$17,530.41"
2023-03-26 20:21:12,Fitr - Payment,$-80.74,"$17,449.67"
2023-03-29 17:23:37,Fitr - Payment,$-138.80,"$17,310.87"
2023-04-01 21:53:29,Flexin - Payment,$-82.76,"$17,228.11"
2023-04-03 12:46:54,Foodr - Payment,$-156.43,"$17,071.68"
2023-04-06 18:25:25,StrongLink - Payment,$-189.14,"$16,882.54"
2023-04-10 12:52:32,Foodr - Payment,$-194.94,"$16,687.60"
2023-04-11 09:17:22,AffordableHub - Payment,$-113.14,"$16,574.46"
2023-04-12 14:01:19,Fitr - Payment,$-117.92,"$16,456.54"
2023-04-13 12:10:16,Fitr - Payment,$-33.73,"$16,422.81"
2023-04-15 10:20:32,Fitr - Payment,$-135.14,"$16,287.67"
2023-04-16 17:21:43,Flexin - Payment,$-113.57,"$16,174.10"
2023-04-17 19:17:37,Fitr - Payment,$-175.22,"$15,998.88"
2023-04-20 08:36:30,Foodr - Payment,$-46.24,"$15,952.64"
2023-04-21 17:44:43,Fitr - Payment,$-130.25,"$15,822.39"
2023-04-23 12:18:56,youGrocery - Payment,$-169.74,"$15,652.65"
2023-04-23 12:51:55,Fitr - Payment,$-189.61,"$15,463.04"
2023-04-24 18:52:41,Fitr - Payment,$-190.10,"$15,272.94"
2023-04-25 17:22:15,Fitr - Payment,$-167.85,"$15,105.09"
2023-04-26 17:05:26,youGrocery - Payment,$-96.21,"$15,008.88"
2023-04-27 13:20:00,Flexin - Payment,$-20.89,"$14,987.99"
2023-04-29 17:18:19,Fitr - Payment,$-165.00,"$14,822.99"
2023-04-30 20:53:38,Fitr - Payment,$-190.59,"$14,632.40"
2023-05-01 08:02:09,Fitr - Payment,$-150.79,"$14,481.61"
2023-05-02 09:58:57,Flexin - Payment,$-75.82,"$14,405.79"
2023-05-05 08:23:26,Flexin - Payment,$-119.89,"$14,285.90"
2023-05-07 09:38:27,Foodr - Payment,$-85.21,"$14,200.69"
2023-05-10 09:26:14,Fitr - Payment,$-66.12,"$14,134.57"
2023-05-11 10:58:06,Fitr - Payment,$-103.80,"$13,853.63"
2023-05-11 12:44:24,youGrocery - Payment,$-177.14,"$13,957.43"
2023-05-14 14:06:43,Fitr - Payment,$-20.20,"$13,833.43"
2023-05-16 13:38:41,StrongLink - Payment,$-37.69,"$13,795.74"
2023-05-17 19:28:28,Fitr - Payment,$-62.20,"$13,733.54"
2023-05-19 19:15:16,StrongLink - Payment,$-51.59,"$13,681.95"
2023-05-21 13:44:04,Fitr - Payment,$-155.20,"$13,526.75"
2023-05-22 18:13:13,Fitr - Payment,$-40.14,"$13,486.61"
2023-05-23 16:39:14,Foodr - Payment,$-163.13,"$13,323.48"
2023-05-23 21:05:17,Flexin - Payment,$-66.58,"$13,256.90"
2023-05-25 10:54:25,Healthn - Payment,$-46.16,"$13,210.74"
2023-05-25 16:54:19,Fitr - Payment,$-165.89,"$13,044.85"
2023-05-26 12:22:31,StrongLink - Payment,$-89.80,"$12,955.05"
2023-05-27 18:30:46,Foodr - Payment,$-39.94,"$12,915.11"
2023-05-28 11:42:43,Flexin - Payment,$-158.80,"$12,756.31"
2023-06-01 13:56:47,Fitr - Payment,$-125.90,"$12,630.41"
2023-06-05 11:59:57,Fitr - Payment,$-137.49,"$12,492.92"
2023-06-07 12:17:59,Fitr - Payment,$-171.64,"$12,321.28"
2023-06-08 13:43:28,Fitr - Payment,$-127.25,"$12,194.03"
2023-06-09 20:19:55,Fitr - Payment,$-117.60,"$12,076.43"
2023-06-10 18:42:18,Fitr - Payment,$-159.67,"$11,916.76"
2023-06-11 14:44:53,Fitr - Payment,$-105.53,"$11,811.23"
2023-06-12 11:11:44,Fitr - Payment,$-151.90,"$11,614.35"
2023-06-12 13:57:20,Foodr - Payment,$-44.98,"$11,766.25"
2023-06-14 20:11:43,Fitr - Payment,$-136.25,"$11,478.10"
2023-06-16 12:09:24,Fitr - Payment,$-177.14,"$11,300.96"
2023-06-17 10:35:42,Fitr - Payment,$-106.90,"$11,194.06"
2023-06-18 08:17:49,Fitr - Payment,$-126.34,"$11,067.72"
2023-06-19 11:24:55,Fitr - Payment,$-190.55,"$10,877.17"
2023-06-20 08:00:30,StrongLink - Payment,$-52.99,"$10,824.18"
2023-06-22 16:24:34,Healthn - Payment,$-57.78,"$10,766.40"
2023-06-23 09:27:16,Fitr - Payment,$-36.25,"$10,641.37"
2023-06-23 20:55:58,youGrocery - Payment,$-88.78,"$10,677.62"
2023-06-25 12:28:52,Fitr - Payment,$-146.20,"$10,495.17"
2023-06-26 10:25:11,Fitr - Payment,$-81.52,"$10,413.65"
2023-06-27 13:58:23,Flexin - Payment,$-93.57,"$10,320.08"
2023-06-28 09:37:02,Fitr - Payment,$-113.95,"$10,206.13"
