full_name,gender,ssn,years_lived,age,date_of_death,marital_status
Donald Adam Brown,Male,743-85-8935,2024 - 2100,75,2100-01-01,Married
Antonio Adrian Rivera,Male,876-02-2652,2028 - 2099,70,2099-01-01,Single
Jeffrey John Buck,Male,264-77-0832,2027 - 2100,72,2100-01-01,Married
Trevor Timothy Walker,Male,482-35-6391,2032 - 2099,67,2099-12-01,Married
Morgan Robin Newton,Female,851-64-3192,2026 - 2100,73,2100-01-01,Single
Tara Rebecca Cooper,Female,800-42-7219,2032 - 2099,67,2099-04-03,Single
Shelly Cunningham,Female,243-86-1260,2037 - 2100,62,2100-01-01,Single
Cristina Maria Mcgee,Female,702-60-2219,2025 - 2100,74,2100-01-01,Married
Ryan Wilson,Male,058-87-8544,2034 - 2100,65,2100-01-01,Married
Tanner Michael Wood,Male,203-62-7146,2028 - 2099,71,2099-08-13,Married
Timothy Williams,Male,688-81-1567,2034 - 2100,65,2100-01-01,Married
Patricia Anita Gonzalez,Female,625-71-4938,2035 - 2100,64,2100-01-01,Married
Jennifer Brittany Mora,Female,414-33-2206,2027 - 2099,72,2099-07-05,Single
David Michael Norman,Male,298-70-0372,2031 - 2099,67,2099-05-07,Married
Peter James Beltran,Male,326-80-7033,2036 - 2100,63,2100-01-01,Single
Laura Hannah Howard,Female,183-56-5779,2038 - 2100,61,2100-01-01,Single
Tammy Sylvia Noble,Female,515-73-3267,2034 - 2093,59,2093-11-07,Single
Robyn Moore,Female,660-92-5037,2022 - 2095,72,2095-07-25,Married
Melissa Laura Becker,Female,098-40-3106,2036 - 2100,63,2100-01-01,Single
Sheri Ashley Morrison,Female,243-82-0786,2036 - 2099,62,2099-02-06,Single
Tanya Emma Edwards,Female,877-25-4495,2026 - 2097,70,2097-08-29,Single
Stephen Anthony Lutz,Male,563-08-3375,2034 - 2099,64,2099-01-11,Single
Zachary James Garcia,Male,271-62-7200,2039 - 2100,60,2100-01-01,Married
Noah Kenneth Walsh,Male,573-52-0664,2036 - 2098,61,2098-06-13,Single
Sandra Lisa Myers,Female,173-24-3679,2024 - 2077,52,2077-01-20,Single
Michelle Jill Brown,Female,131-62-1503,2037 - 2100,62,2100-01-01,Married
Michelle Lindsey Harris,Female,648-32-1062,2036 - 2099,63,2099-07-24,Single
Linda Brenda Carrillo,Female,837-58-3328,2024 - 2100,75,2100-01-01,Married
Stephen Kevin Cruz,Male,372-05-3116,2038 - 2100,61,2100-01-01,Single
Stephanie Jean Blake,Female,007-95-4371,2031 - 2100,68,2100-01-01,Married
Donna Andrea Rodriguez,Female,073-33-9507,2020 - 2097,76,2097-03-16,Married
William Michael Alvarez,Male,802-45-4071,2031 - 2100,68,2100-01-01,Married
Randy Joseph Wilson,Male,293-32-1217,2035 - 2099,64,2099-05-04,Married
Corey Walter Brooks,Male,402-65-7787,2030 - 2100,69,2100-01-01,Single
Denise Carrie Davis,Female,661-95-6892,2023 - 2100,76,2100-01-01,Married
Christina Jasmine Sherman,Female,302-66-3524,2024 - 2100,75,2100-01-01,Married
Bradley Robert Ryan,Male,773-08-8268,2023 - 2100,76,2100-01-01,Married
Matthew Jonathan Johnson,Male,502-86-6294,2030 - 2099,68,2099-02-10,Married
Ryan Colton Sparks,Male,373-26-5784,2023 - 2099,75,2099-06-16,Married
Donna Kirsten Collins,Female,764-06-6536,2025 - 2100,74,2100-01-01,Married
Amy Krista Mitchell,Female,044-46-7164,2031 - 2100,68,2100-01-01,Single
Nicholas Louis Taylor,Male,344-63-1915,2032 - 2100,67,2100-01-01,Single
Joseph Frank,Male,749-89-4918,2028 - 2100,71,2100-01-01,Single
Wayne Jon Bartlett,Male,132-94-5250,2031 - 2100,68,2100-01-01,Married
Cindy Sparks,Female,203-41-3241,2033 - 2100,66,2100-01-01,Married
Gabrielle Emily Evans,Female,885-27-3831,2025 - 2100,74,2100-01-01,Married
Mark Hayes,Male,639-99-4612,2020 - 2096,76,2096-11-03,Single
Brian Mark Collins,Male,212-12-8238,2029 - 2089,59,2089-04-18,Married
Jason Eric Peterson,Male,419-87-9979,2026 - 2100,73,2100-01-01,Married
Jason Johnny Blake,Male,724-34-7505,2038 - 2099,60,2099-01-01,Married
Samantha Monica Garcia,Female,232-85-0597,2038 - 2100,61,2100-01-01,Married
Whitney Sharon Miller,Female,483-44-9300,2026 - 2099,73,2099-03-28,Married
Brittany Carol Brown,Female,419-04-4074,2021 - 2100,78,2100-01-01,Single
Matthew Brendan Ramirez,Male,049-06-3713,2020 - 2097,76,2097-07-15,Married
Shannon Vickie Walters,Female,508-33-3998,2046 - 2100,53,2100-01-01,Married
Deanna Misty Peterson,Female,309-97-2685,2042 - 2099,57,2099-08-13,Married
Levi Dean Buck,Male,857-47-5826,2047 - 2100,52,2100-01-01,Single
Daniel Mark Arias,Male,323-23-6884,2045 - 2099,54,2099-10-31,Single
Michael Julian Hart,Male,654-56-7409,2045 - 2099,54,2099-09-30,Single
Bailey Mcgee,Female,784-43-9221,2046 - 2100,53,2100-01-01,Single
Danielle Dawn Wilson,Female,720-14-7957,2046 - 2100,53,2100-01-01,Single
Carmen Williams,Female,389-96-8115,2041 - 2100,58,2100-01-01,Single
Mary Michelle Gonzalez,Female,211-50-7604,2050 - 2100,49,2100-01-01,Single
Jonathan Stephen Alvarez,Male,860-39-2383,2053 - 2099,46,2099-06-09,Married
Sean Jeffery Walters,Male,723-32-9449,2049 - 2100,50,2100-01-01,Married
David Mark Peterson,Male,001-45-7148,2054 - 2100,45,2100-01-01,Married
Cathy Samantha Peterson,Female,735-79-4891,2060 - 2100,39,2100-01-01,Single
Shelley Melanie Ryan,Female,781-66-0982,2046 - 2100,53,2100-01-01,Single
Sarah Ryan,Female,065-21-7698,2048 - 2099,50,2099-01-14,Single
